,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
Accumulated time steps,0.0,1000.0,1931.0,2098.0,2356.0,2609.0,3608.0,3867.0,4866.0,5126.0,5485.0,6250.0,6773.0,7125.0,7298.0,7452.0,7623.0,7907.0,8068.0,8327.0,8663.0,8823.0,9090.0,9439.0,9612.0,9777.0,10328.0,10596.0,10849.0,11278.0,11542.0,12212.0,12367.0,12615.0,12883.0,13346.0,13604.0,13852.0,14106.0,14354.0,14528.0,14812.0,15188.0,15461.0,15746.0,16021.0,16308.0,16581.0,16750.0,17026.0,17410.0,17895.0,18083.0,18356.0,18864.0,19255.0,19533.0,19706.0,19987.0
Episode reward,0.0,-59.259992694732205,45.95579060129315,90.39844200100222,86.47089933971299,86.75243065320673,-65.4938635252371,86.55799271894433,-67.9680683617641,85.46460776636083,81.82546410498962,60.274553656936156,69.93702035257564,79.85545652981864,90.28803028323381,91.35693970198825,88.98310405890653,82.87966720687321,90.82415400229537,86.53838510867993,79.86542194435656,90.58550672080747,84.07523593874456,78.46974890278224,90.78336035031364,90.71759624225082,63.13776203080759,83.58258298774562,85.10778187694599,72.85013575799184,85.1050483663067,57.344133612301796,90.41886218019903,84.66344267914103,82.77050796401403,69.3755424981541,83.82677835247726,84.70130849829498,84.24587639879012,84.67708491101851,89.16879359013792,84.79371146729004,82.93405093515538,86.9531949678202,84.84651556828061,87.23327837519656,83.62403765795673,86.87158837163611,90.86021946686179,87.25329549967827,80.83023452269758,77.07732008268616,89.83212659339556,86.944168990512,74.23643406438404,79.80568747246892,85.82382996136468,90.88654237657542,84.92516629058271
Episode feedback,0.8,0.2745490979212935,0.12580645147762748,0.07228915619102919,0.03891050568517313,0.04761904743008315,0.014028056098168281,0.038759689772249264,0.007014028049084141,0.03474903461486859,0.03072625689741269,0.019633507827704833,0.007662835234362384,0.005698005681772063,0.0,0.006535947669699688,0.005882352906574395,0.0,0.0,0.0038759689772249264,0.008955223853865003,0.018867924409635695,0.011278195446322574,0.0057471264202668786,0.0,0.0,0.001818181814876033,0.007490636676065031,0.007936507905013858,0.0,0.0038022813543639494,0.0014947683086774764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005780346787396839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,82.43995523452759,147.2031500339508,156.05354952812195,169.05306720733643,182.08750009536743,233.23518586158752,246.78100728988647,294.2754361629486,307.6734850406647,326.471302986145,363.3668465614319,388.69439029693604,405.9413845539093,414.9897389411926,423.5904026031494,432.72649335861206,447.49774169921875,455.9959177970886,469.50832772254944,486.5658075809479,495.4073386192322,509.4016983509064,527.058025598526,536.2966551780701,545.2242476940155,572.8401484489441,586.7202138900757,599.7252697944641,620.9610743522644,634.4084508419037,667.0969624519348,675.5743632316589,688.4776344299316,702.3534660339355,725.1597256660461,738.6596491336823,751.6440341472626,764.8799531459808,777.7040209770203,787.0880992412567,801.8371021747589,820.9544634819031,835.2690267562866,850.0785586833954,864.1901707649231,879.1554834842682,893.3537502288818,902.377331495285,916.6636395454407,936.1163098812103,960.700875043869,970.6871330738068,984.9511411190033,1010.3696196079254,1029.96759557724,1044.6234192848206,1054.4543988704681,1069.0648658275604
total minutes,0.0,1.373999253908793,2.4533858338991803,2.6008924921353658,2.817551120122274,3.034791668256124,3.8872530976931254,4.113016788164774,4.90459060271581,5.1278914173444115,5.441188383102417,6.056114109357198,6.478239838282267,6.765689742565155,6.916495649019877,7.059840043385823,7.2121082226435345,7.458295694986979,7.599931963284811,7.825138795375824,8.109430126349132,8.256788976987202,8.490028305848439,8.7843004266421,8.938277586301167,9.087070794900258,9.547335807482401,9.77867023150126,9.995421163241069,10.349351239204406,10.573474180698394,11.118282707532247,11.259572720527649,11.47462724049886,11.705891100565593,12.085995427767436,12.310994152228037,12.527400569121044,12.74799921909968,12.961733682950337,13.118134987354278,13.363951702912649,13.682574391365051,13.92115044593811,14.16797597805659,14.403169512748718,14.652591391404469,14.889229170481364,15.039622191588084,15.277727325757345,15.601938498020171,16.01168125073115,16.178118884563446,16.41585235198339,16.83949366013209,17.166126592954,17.410390321413676,17.57423998117447,17.817747763792674
cummulative feedback,0.0,274.0,391.0,403.0,413.0,425.0,439.0,449.0,456.0,465.0,476.0,491.0,495.0,497.0,497.0,498.0,499.0,499.0,499.0,500.0,503.0,506.0,509.0,511.0,511.0,511.0,512.0,514.0,516.0,516.0,517.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,930.0,166.0,257.0,252.0,998.0,258.0,998.0,259.0,358.0,764.0,522.0,351.0,172.0,153.0,170.0,283.0,160.0,258.0,335.0,159.0,266.0,348.0,172.0,164.0,550.0,267.0,252.0,428.0,263.0,669.0,154.0,247.0,267.0,462.0,257.0,247.0,253.0,247.0,173.0,283.0,375.0,272.0,284.0,274.0,286.0,272.0,168.0,275.0,383.0,484.0,187.0,272.0,507.0,390.0,277.0,172.0,280.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
