,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3384.0,3644.0,3907.0,4906.0,5272.0,5539.0,5798.0,6154.0,6881.0,7143.0,7396.0,7653.0,7900.0,8149.0,8416.0,8952.0,9213.0,9463.0,9717.0,10221.0,10740.0,11107.0,11467.0,11923.0,12460.0,12776.0,13148.0,13422.0,13691.0,13857.0,14131.0,14508.0,14881.0,15044.0,15319.0,15694.0,16190.0,16356.0,16624.0,16986.0,17561.0,17941.0,18287.0,18441.0,18692.0,19113.0,19268.0,19512.0,19774.0,19926.0
Episode reward,0.0,-67.02152337637233,-61.155306847201764,-60.87736693183383,76.76990618910222,86.07119689218855,86.10734194753886,-61.64625704027486,81.5028201584954,86.8529735933227,86.11758340820171,81.99695051360045,59.39519878727819,86.18454962675088,88.71608235749183,85.44027053260896,85.54443530880668,83.91239930434735,83.87887380889812,68.68962870709868,85.51429179552312,85.67639654249058,84.70389821130865,68.70137499564967,68.81507257341777,76.81160273240354,77.80076177452067,73.29197300522515,65.22938279982517,81.26191297783302,81.64945290189378,85.08190859076238,86.47821802987626,91.41145537903748,85.42916642919765,80.90106371824203,81.44711995151165,91.36922623318765,85.64492216122707,81.15509360370517,74.81201935295984,91.42601439607158,87.69051808758962,83.86004918578442,72.96753466189907,81.33149985274886,78.4097196957348,90.22828420242615,84.62375053656332,73.10110323718662,90.09652296530905,84.81750482296452,83.58665091598904,90.52153123662094
Episode feedback,0.8,0.11623246481339432,0.22845691359874057,0.06112224442773322,0.05454545440377804,0.050193049999254634,0.08015267144979897,0.012024048084144241,0.04657534233814975,0.045112781785290296,0.03100775181779941,0.025352112604641937,0.015151515130645296,0.015325670439365247,0.0,0.007812499969482422,0.0040650406338819485,0.0,0.0037593984821075246,0.005607476625032754,0.003846153831360947,0.00401606424089934,0.0,0.0,0.003861003853550186,0.0,0.0027855153125751664,0.00659340657891559,0.0,0.003174603164525069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026385224204788327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,59.554258823394775,133.42776679992676,185.5211660861969,205.13819432258606,218.358806848526,232.10874700546265,278.8794128894806,297.31291151046753,311.0326597690582,324.43624567985535,342.75733041763306,378.82865262031555,392.6070559024811,405.58376455307007,419.2679166793823,432.2398245334625,445.50652956962585,459.4057261943817,486.5292716026306,500.09659457206726,513.3864703178406,526.7432613372803,552.7527885437012,579.2713665962219,598.2313497066498,616.90389585495,640.1825928688049,667.6764395236969,684.1969041824341,703.3617503643036,717.7785999774933,732.2387523651123,741.4564726352692,755.7913334369659,775.4680502414703,794.8234014511108,803.7632842063904,818.3130257129669,837.5344891548157,862.9457545280457,872.1581830978394,886.3585276603699,905.0365664958954,933.392462015152,952.7228639125824,970.2951264381409,978.9585537910461,992.3311140537262,1013.77761054039,1022.5145497322083,1035.235065460205,1048.729073047638,1056.9026062488556
total minutes,0.0,0.9925709803899129,2.2237961133321127,3.092019434769948,3.4189699053764344,3.639313447475433,3.868479116757711,4.647990214824676,4.955215191841125,5.183877662817637,5.407270761330922,5.712622173627218,6.313810877005259,6.543450931708018,6.759729409217835,6.987798611323039,7.203997075557709,7.4251088261604306,7.6567621032396955,8.108821193377176,8.334943242867787,8.556441171964009,8.779054355621337,9.212546475728352,9.654522776603699,9.97052249511083,10.2817315975825,10.66970988114675,11.127940658728281,11.403281736373902,11.722695839405059,11.962976666291555,12.203979206085204,12.357607877254486,12.596522223949432,12.924467504024506,13.247056690851847,13.396054736773173,13.638550428549449,13.95890815258026,14.382429242134094,14.535969718297322,14.772642127672832,15.08394277493159,15.556541033585866,15.87871439854304,16.17158544063568,16.315975896517436,16.538851900895438,16.8962935090065,17.04190916220347,17.253917757670084,17.4788178841273,17.615043437480928
cummulative feedback,0.0,116.0,344.0,405.0,426.0,439.0,460.0,472.0,489.0,501.0,509.0,518.0,529.0,533.0,533.0,535.0,536.0,536.0,537.0,540.0,541.0,542.0,542.0,542.0,544.0,544.0,545.0,548.0,548.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,385.0,259.0,262.0,998.0,365.0,266.0,258.0,355.0,726.0,261.0,252.0,256.0,246.0,248.0,266.0,535.0,260.0,249.0,253.0,503.0,518.0,366.0,359.0,455.0,536.0,315.0,371.0,273.0,268.0,165.0,273.0,376.0,372.0,162.0,274.0,374.0,495.0,165.0,267.0,361.0,574.0,379.0,345.0,153.0,250.0,420.0,154.0,243.0,261.0,151.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
