,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
Accumulated time steps,0.0,1000.0,1695.0,1959.0,2421.0,2585.0,2903.0,3165.0,3622.0,3880.0,4051.0,4392.0,4559.0,4828.0,5085.0,5427.0,5582.0,5921.0,6275.0,6434.0,6687.0,7055.0,7308.0,7460.0,7705.0,7972.0,8233.0,8763.0,9008.0,9253.0,9409.0,9656.0,9918.0,10072.0,10501.0,10673.0,11025.0,11504.0,11659.0,11905.0,12263.0,12506.0,13095.0,13334.0,13669.0,13938.0,14267.0,14422.0,14758.0,14914.0,15293.0,15706.0,15859.0,16018.0,16193.0,16435.0,16588.0,16846.0,17173.0,17500.0,17873.0,18114.0,18354.0,18681.0,19009.0,19422.0,19679.0,19923.0
Episode reward,0.0,-60.66810417917268,60.98596195740057,86.32736889343602,75.22713289249317,90.87639400998133,80.99617681152438,86.57847445680392,75.36879059627692,87.76313347309531,90.6636737919457,81.63127509366441,90.78356806502082,84.7744890451719,85.4359433880848,81.60272943884597,92.00107476122014,79.00657879896261,81.88424768943878,91.4890868363882,85.94727918709475,80.31224815615366,85.42036677058798,90.76041927018004,85.94920286334914,83.93704711620356,84.82941217736064,72.12185784522961,85.68325626890056,86.03988391299637,90.13853103881404,86.68468656831593,85.04502348308259,91.38491783097459,76.57565414655608,89.53842310423242,80.5285821483413,80.94098201069383,91.6119968143679,87.38441919864512,81.71373744032654,89.04073932955984,66.79055516911716,85.49241051486403,79.9160982826783,82.05071320286555,80.21967203330911,89.96477429034611,79.84384571352663,89.8519218681556,76.02004638888546,74.612827152558,90.20024156560619,89.51859452808975,87.90290785463931,84.92606473280779,90.19666781667533,84.36839597262576,80.28444286911994,79.92123450625888,76.59118605610723,85.08155435748584,85.59160479953434,80.22382086939632,80.22635952565386,74.67866446763153,84.45131630029073,85.46372437963355
Episode feedback,0.8,0.19238476934630785,0.18011527351568404,0.04182509489800344,0.026030368707092476,0.042944785012608684,0.03154574122540776,0.05747126414761968,0.06140350863727301,0.04669260682220776,0.03529411743944637,0.017647058771626298,0.02409638539700973,0.029850746157273334,0.023437499908447266,0.011730205244192946,0.025974025805363468,0.01183431949161444,0.022662889454212777,0.0,0.007936507905013858,0.01362397816451232,0.015873015810027716,0.013245033024867332,0.0,0.007518796964215049,0.003846153831360947,0.005671077494005525,0.00819672127788229,0.004098360638941145,0.0064516128616024975,0.0,0.0,0.0,0.0,0.0,0.0028490028408860316,0.002092050204828347,0.0,0.008163265272802998,0.005602240880665992,0.0,0.0017006802692165301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,68.58771753311157,115.03643774986267,128.15534257888794,150.34900450706482,159.07948112487793,175.14666223526,188.7314293384552,212.54442596435547,226.0713665485382,235.4548215866089,252.93051290512085,262.0965905189514,275.9471333026886,289.31828927993774,307.10860896110535,315.74375557899475,333.3719091415405,351.7796070575714,360.5957419872284,373.74932980537415,392.8374226093292,406.1933219432831,414.66180896759033,427.6006305217743,441.36772894859314,455.06549549102783,482.00871300697327,494.9619116783142,508.1240234375,516.7430171966553,529.8567023277283,543.5919871330261,551.9990019798279,574.1499674320221,583.7402684688568,602.0816040039062,626.5656704902649,635.2661166191101,648.3617479801178,666.8723125457764,679.8309419155121,708.9201452732086,721.4768242835999,738.5166165828705,752.4068765640259,769.3040940761566,777.5813324451447,794.8176460266113,803.3205518722534,822.7848942279816,844.0323474407196,852.5970058441162,861.3675310611725,870.6031293869019,882.8591792583466,891.0978517532349,904.2075800895691,920.8083822727203,937.475524187088,955.949907541275,968.3400959968567,980.7935621738434,997.5195038318634,1013.6393711566925,1034.3025386333466,1047.4385380744934,1059.5940256118774
total minutes,0.0,1.1431286255518596,1.917273962497711,2.135922376314799,2.5058167417844137,2.651324685414632,2.9191110372543334,3.1455238223075868,3.5424070994059247,3.7678561091423033,3.9242470264434814,4.215508548418681,4.36827650864919,4.599118888378143,4.821971487998963,5.118476816018423,5.26239592631658,5.5561984856923425,5.862993450959523,6.009929033120473,6.229155496756236,6.547290376822153,6.769888699054718,6.9110301494598385,7.126677175362905,7.356128815809885,7.584424924850464,8.033478550116222,8.24936519463857,8.468733723958334,8.612383619944255,8.830945038795472,9.059866452217102,9.199983366330464,9.569166123867035,9.729004474480947,10.034693400065104,10.442761174837749,10.587768610318502,10.806029133001964,11.114538542429607,11.330515698591869,11.815335754553477,12.024613738059998,12.308610276381176,12.540114609400431,12.821734901269277,12.959688874085744,13.246960767110188,13.388675864537557,13.71308157046636,14.06720579067866,14.209950097401936,14.356125517686207,14.510052156448364,14.714319654305775,14.851630862553915,15.070126334826151,15.346806371212006,15.6245920697848,15.93249845902125,16.139001599947612,16.346559369564055,16.62532506386439,16.893989519278207,17.23837564388911,17.457308967908222,17.659900426864624
cummulative feedback,0.0,192.0,317.0,328.0,340.0,347.0,357.0,372.0,400.0,412.0,418.0,424.0,428.0,436.0,442.0,446.0,450.0,454.0,462.0,462.0,464.0,469.0,473.0,475.0,475.0,477.0,478.0,481.0,483.0,484.0,485.0,485.0,485.0,485.0,485.0,485.0,486.0,487.0,487.0,489.0,491.0,491.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,694.0,263.0,461.0,163.0,317.0,261.0,456.0,257.0,170.0,340.0,166.0,268.0,256.0,341.0,154.0,338.0,353.0,158.0,252.0,367.0,252.0,151.0,244.0,266.0,260.0,529.0,244.0,244.0,155.0,246.0,261.0,153.0,428.0,171.0,351.0,478.0,154.0,245.0,357.0,242.0,588.0,238.0,334.0,268.0,328.0,154.0,335.0,155.0,378.0,412.0,152.0,158.0,174.0,241.0,152.0,257.0,326.0,326.0,372.0,240.0,239.0,326.0,327.0,412.0,256.0,243.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
