,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
Accumulated time steps,0.0,713.0,1164.0,1336.0,1492.0,1841.0,2840.0,3839.0,4838.0,5837.0,6836.0,7835.0,8669.0,9005.0,9600.0,9846.0,10093.0,10434.0,10875.0,11571.0,11933.0,12291.0,12796.0,13040.0,13206.0,13552.0,13914.0,14166.0,14537.0,14896.0,15337.0,15683.0,15937.0,16493.0,16753.0,17006.0,17174.0,17450.0,17709.0,17879.0,18131.0,18384.0,18644.0,18897.0,19339.0,19710.0,19985.0
Episode reward,0.0,58.06126817886449,71.86422565354809,90.31445238328789,90.57730074421127,80.4829057960379,-66.0746703017562,-64.87550048810805,-66.37210576064732,-68.16616340383547,-57.53767417212656,-62.810676888065004,49.52856078996335,79.09088531635338,65.7669543375396,88.11771016751804,86.91996047436028,85.10666124212653,80.86454864442177,67.34767651140778,83.08681745983986,81.57209231194493,66.43345588428821,84.09172163161975,88.35503081702191,77.98746647483617,80.78321089624117,87.18612573233364,79.62597330202905,81.10147720916497,77.70455786918075,82.59520088312091,86.91236198238875,70.4274774757288,86.17239663645147,87.04851803160614,90.58656737674528,84.40675496632304,86.28258897598457,90.39120284547963,87.21507915109062,87.07999024387112,86.16595060247897,87.15331104378942,77.5872173814153,79.69366597140568,84.51098629534177
Episode feedback,0.8,0.3122362864806803,0.23111111059753087,0.15204678273656852,0.10322580578563996,0.10632183877493724,0.14228456899570685,0.01603206411219232,0.012024048084144241,0.0100200400701202,0.0300601202103606,0.01102204407713222,0.008403361334449745,0.005970149235910003,0.005050505042002517,0.004081632636401499,0.0040650406338819485,0.005882352923875432,0.0022727272675619834,0.00431654675637907,0.0027700830948197146,0.005602240880665992,0.0,0.0,0.0,0.002898550716236085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,54.809900522232056,86.07502007484436,96.21508765220642,104.85761141777039,124.32785558700562,187.16677045822144,237.0214774608612,286.84607553482056,335.2110459804535,386.16340827941895,435.7639925479889,475.78043127059937,492.3252077102661,521.3189544677734,534.0743749141693,546.958404302597,564.3109290599823,585.732346534729,619.6267554759979,637.5330934524536,655.4451038837433,681.0518698692322,693.9083199501038,702.4967095851898,719.9228937625885,738.0163102149963,751.1058337688446,770.0575735569,788.0644061565399,810.5632169246674,828.5400536060333,841.7001638412476,869.7921831607819,882.8733384609222,895.7979807853699,904.920910358429,919.1054975986481,932.2018957138062,941.319864988327,954.3028981685638,967.484911441803,980.9107148647308,993.9302363395691,1016.0232381820679,1034.857678413391,1049.3300194740295
total minutes,0.0,0.9134983420372009,1.4345836679140727,1.6035847942034402,1.7476268569628397,2.0721309264500936,3.1194461743036905,3.95035795768102,4.780767925580343,5.586850766340891,6.436056804656983,7.262733209133148,7.929673854509989,8.205420128504436,8.688649241129557,8.901239581902821,9.115973405043285,9.405182150999705,9.762205775578817,10.327112591266632,10.625551557540893,10.924085064729054,11.350864497820536,11.565138665835063,11.708278493086498,11.998714896043142,12.300271836916606,12.518430562814077,12.834292892615,13.134406769275666,13.509386948744456,13.809000893433888,14.028336064020793,14.49653638601303,14.714555641015371,14.929966346422832,15.082015172640483,15.318424959977468,15.536698261896769,15.688664416472117,15.905048302809398,16.12474852403005,16.34851191441218,16.56550393899282,16.9337206363678,17.24762797355652,17.488833657900493
cummulative feedback,0.0,222.0,326.0,352.0,368.0,405.0,547.0,563.0,575.0,585.0,615.0,626.0,633.0,635.0,638.0,639.0,640.0,642.0,643.0,646.0,647.0,649.0,649.0,649.0,649.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,711.0,450.0,171.0,155.0,348.0,998.0,998.0,998.0,998.0,998.0,998.0,833.0,335.0,594.0,245.0,246.0,340.0,440.0,695.0,361.0,357.0,504.0,243.0,165.0,345.0,361.0,251.0,370.0,358.0,440.0,345.0,253.0,555.0,259.0,252.0,167.0,275.0,258.0,169.0,251.0,252.0,259.0,252.0,441.0,370.0,274.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
