,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
Accumulated time steps,0.0,368.0,871.0,1530.0,1794.0,2793.0,3792.0,4791.0,5060.0,5487.0,6486.0,7398.0,7949.0,8919.0,9166.0,9589.0,10034.0,10636.0,11166.0,11446.0,11800.0,11967.0,12308.0,12463.0,12624.0,12880.0,13124.0,13395.0,13666.0,14004.0,14277.0,14526.0,14866.0,15112.0,15452.0,15697.0,15942.0,16100.0,16352.0,16604.0,16769.0,17014.0,17280.0,17529.0,17773.0,18022.0,18176.0,18424.0,18696.0,18943.0,19371.0,19617.0
Episode reward,0.0,77.27466607938506,66.7738514724108,56.73956253781379,83.98736475846778,-62.012193500638496,-60.95748207224013,-73.54375807779643,81.05887148143097,71.0433753809842,-68.37024562239834,49.630361426029026,65.72544611673506,37.721071983676985,87.8132208800221,76.88848802425122,75.9907049843523,67.10347087738461,71.25736444805186,83.53104491433618,81.72622224172633,90.27314859876937,83.53101087590004,90.99778351239938,90.35067481150574,85.77491522428593,86.72920118163499,85.54989361705199,87.7176574502963,81.9186376456098,84.32683659556396,86.53354176923858,81.23418472505568,86.51343868656139,81.77944941542532,86.86572900538451,86.6453987702167,90.75513260771483,85.80828152312819,86.27555078825529,90.03111828873324,86.83808947064666,84.98214405357535,86.14595803378646,86.93250092726358,86.14765144563081,91.18671531719843,86.6279693028301,83.76342136272137,86.69598803515109,77.07023323809602,86.78606169673431
Episode feedback,0.8,0.33606557285227984,0.31872509896668305,0.212765957123456,0.14068441011146612,0.14128256498869482,0.09719438868016594,0.050100200350601004,0.04477611923591,0.02112676051378695,0.03206412822438464,0.023051591632215596,0.014545454519008265,0.011351909173011446,0.0040650406338819485,0.00236966824083017,0.0067567567415388365,0.0016638935080467662,0.007561436658674033,0.0,0.011331444727106389,0.006024096349252432,0.002941176461937716,0.0,0.0,0.0,0.0,0.0037037036899862825,0.0037037036899862825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,27.26981258392334,65.67940902709961,110.63030982017517,126.59374976158142,188.30528593063354,247.0899567604065,302.4557931423187,316.5257966518402,338.3813307285309,389.1815507411957,434.1355652809143,461.97641491889954,509.5377836227417,522.5694453716278,543.8397400379181,566.5982081890106,596.7885005474091,622.9815261363983,636.8862648010254,655.0916614532471,664.3493258953094,681.7160196304321,690.2655873298645,699.1114110946655,712.4242238998413,725.2594797611237,739.5984795093536,753.7462251186371,771.0589759349823,785.5877094268799,798.9233069419861,816.5601849555969,829.1722633838654,846.6840076446533,859.1628234386444,871.3794150352478,879.6893992424011,891.980179309845,904.3201894760132,912.9243819713593,925.0154922008514,938.1427166461945,950.791200876236,963.039160490036,975.5309705734253,983.7170588970184,996.2827258110046,1010.3987786769867,1023.177844285965,1044.8236248493195,1057.7136209011078
total minutes,0.0,0.4544968763987223,1.0946568171183269,1.8438384970029196,2.1098958293596906,3.1384214321772257,4.1181659460067745,5.040929885705312,5.275429944197337,5.639688845475515,6.486359179019928,7.235592754681905,7.699606915314992,8.492296393712362,8.709490756193796,9.063995667298634,9.443303469816843,9.946475009123484,10.383025435606639,10.61477108001709,10.918194357554118,11.072488764921824,11.361933660507201,11.504426455497741,11.651856851577758,11.873737064997355,12.087657996018727,12.326641325155894,12.562437085310618,12.850982932249705,13.093128490447999,13.315388449033101,13.609336415926615,13.819537723064423,14.111400127410889,14.319380390644074,14.522990250587464,14.661489987373352,14.86633632183075,15.072003157933553,15.21540636618932,15.41692487001419,15.63571194410324,15.846520014603932,16.050652674833934,16.258849509557088,16.395284314950306,16.604712096850076,16.839979644616445,17.05296407143275,17.413727080821992,17.628560348351797
cummulative feedback,0.0,123.0,283.0,423.0,460.0,601.0,698.0,748.0,760.0,769.0,801.0,822.0,830.0,841.0,842.0,843.0,846.0,847.0,851.0,851.0,855.0,856.0,857.0,857.0,857.0,857.0,857.0,858.0,859.0,859.0,859.0,859.0,859.0,859.0,859.0,859.0,859.0,859.0,859.0,859.0,859.0,859.0,859.0,859.0,859.0,859.0,859.0,859.0,859.0,859.0,859.0,859.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,366.0,502.0,658.0,263.0,998.0,998.0,998.0,268.0,426.0,998.0,911.0,550.0,969.0,246.0,422.0,444.0,601.0,529.0,279.0,353.0,166.0,340.0,154.0,160.0,255.0,243.0,270.0,270.0,337.0,272.0,248.0,339.0,245.0,339.0,244.0,244.0,157.0,251.0,251.0,164.0,244.0,265.0,248.0,243.0,248.0,153.0,247.0,271.0,246.0,427.0,245.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
