,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Accumulated time steps,0.0,1000.0,1911.0,2173.0,2762.0,3256.0,3662.0,3939.0,4187.0,4434.0,4950.0,5194.0,5453.0,5821.0,6194.0,6448.0,6922.0,7261.0,7721.0,7990.0,8262.0,8530.0,8860.0,9101.0,9533.0,9775.0,10036.0,10382.0,10545.0,10822.0,11386.0,11613.0,11902.0,12090.0,12460.0,12928.0,13194.0,13467.0,13742.0,13919.0,14087.0,14258.0,14625.0,14788.0,15088.0,15421.0,15688.0,16048.0,16291.0,16545.0,16968.0,17212.0,17633.0,17877.0
Episode reward,0.0,-58.10927974296857,39.55280466744804,86.69132192857684,55.773608726875665,74.16039603015682,74.6738894644391,81.43767369070201,86.3546609509307,86.65421103248606,74.71464849239757,84.69993125669306,87.53581868982563,82.3814188999258,81.82121808500862,88.51380049034758,69.3157526244592,79.25967736436277,78.38906591539833,83.42109870370365,85.5483048707247,83.43280233242109,79.98663641122764,85.4519581480784,73.22842097727661,85.02090398018609,87.94327381556343,78.40771194021072,89.15221722392975,85.26126315724017,74.99561052419686,85.91116603697428,85.89989577482402,89.69153067440887,83.64305190511485,78.5959949572571,87.76532999675109,85.351195696519,85.38326025619531,90.69572531137715,91.33281104316174,91.16519005922882,82.86615214300551,91.21518492656573,82.11954074002158,78.92793065989906,82.01605722581263,77.08663062577392,85.0188043523323,83.410448711814,72.67426611654844,85.14475341286474,73.0610312900248,84.78079360651567
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,42.76131296157837,82.42588567733765,94.7847957611084,120.7451491355896,142.81474709510803,161.4365155696869,174.16732501983643,185.67341685295105,197.12462759017944,220.01055312156677,231.34178519248962,243.25125122070312,260.0702428817749,276.8247060775757,288.5891683101654,309.7769148349762,324.55676198005676,345.10891938209534,357.36095786094666,370.3051495552063,382.8147122859955,398.07775831222534,409.35228729248047,429.2856845855713,440.67694759368896,452.8273010253906,468.43311953544617,476.34892988204956,489.01572823524475,514.0610904693604,524.90238904953,538.0054752826691,546.7694094181061,563.504132270813,584.6161329746246,596.852237701416,609.2199394702911,621.9956789016724,630.4397103786469,638.638299703598,646.6878089904785,663.4379818439484,671.5850431919098,685.7914409637451,701.0409212112427,713.2921583652496,729.4075758457184,740.6030461788177,752.5413868427277,771.4444892406464,782.8145172595978,801.7904949188232,813.3062975406647
total minutes,0.0,0.7126885493596394,1.3737647612889607,1.5797465960184733,2.0124191522598265,2.380245784918467,2.6906085928281147,2.902788750330607,3.0945569475491843,3.285410459836324,3.6668425520261128,3.855696419874827,4.054187520345052,4.334504048029582,4.6137451012929285,4.80981947183609,5.1629485805829365,5.409279366334279,5.751815323034922,5.956015964349111,6.171752492586772,6.380245204766592,6.634629305203756,6.822538121541341,7.154761409759521,7.344615793228149,7.547121683756511,7.807218658924103,7.9391488313674925,8.15026213725408,8.567684841156005,8.7483731508255,8.966757921377818,9.112823490301768,9.391735537846882,9.743602216243744,9.9475372950236,10.153665657838186,10.366594648361206,10.507328506310781,10.643971661726633,10.778130149841308,11.05729969739914,11.193084053198497,11.429857349395752,11.684015353520712,11.888202639420827,12.156792930761974,12.343384102980297,12.542356447378795,12.857408154010773,13.046908620993296,13.36317491531372,13.555104959011079
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,910.0,261.0,588.0,493.0,405.0,276.0,247.0,246.0,515.0,243.0,258.0,367.0,372.0,253.0,473.0,338.0,459.0,268.0,271.0,267.0,329.0,240.0,431.0,241.0,260.0,345.0,162.0,276.0,563.0,226.0,288.0,187.0,369.0,467.0,265.0,272.0,274.0,176.0,167.0,170.0,366.0,162.0,299.0,332.0,266.0,359.0,242.0,253.0,422.0,243.0,420.0,243.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
