,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
Accumulated time steps,0.0,442.0,873.0,1357.0,1685.0,1949.0,2105.0,2370.0,2703.0,3124.0,3365.0,3607.0,3762.0,4026.0,4188.0,4340.0,4604.0,4866.0,5019.0,5167.0,5327.0,5500.0,6150.0,6411.0,6567.0,6822.0,6987.0,7255.0,7497.0,7664.0,7926.0,8370.0,8623.0,8779.0,9022.0,9459.0,9892.0,10171.0,10323.0,10513.0,10754.0,11006.0,11259.0,11513.0,11669.0,12087.0,12330.0,12592.0,12837.0,13255.0,13523.0,13681.0,14011.0,14359.0,14877.0,15142.0,15473.0,15893.0,16233.0,16501.0,16835.0,17214.0
Episode reward,0.0,76.16394854385013,86.60440813625438,84.8410174820202,79.24578311394498,86.2205465653018,92.02982561828311,88.18757967761526,80.51849273023387,76.96963857454459,87.08758750295462,88.04189423928754,91.27119164946056,84.97564300393286,90.13027347720254,90.56585783474193,87.66200664098167,80.55206701232031,89.96818956399163,91.11230580846832,92.42413548970856,92.06726374795014,79.2709251009029,91.02049314111208,91.53060804439004,87.13411605938876,88.65696120880827,84.58944388843628,84.56311891238778,90.56679618584513,85.62797913831582,76.85556619103757,86.68096000371766,91.60608786276903,85.34100279882364,78.63309700840357,79.1447206517121,81.77260398554465,90.12328711831617,86.07920142357567,84.72531940968486,87.3904850799061,87.21869849615953,87.43387042315169,91.7906517832783,72.78921059018906,84.8462794543103,83.32229552598619,84.77896794767811,72.80038136727822,82.74783537645327,89.43290934816993,78.81331397381213,77.77370211096778,66.16613828594814,81.76042123130875,78.97710305805778,72.18012122835073,77.20815182856592,82.74841512587753,78.87279684961864,74.83473272125963
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,18.82386302947998,38.14265418052673,59.92557644844055,74.8806586265564,87.24360203742981,95.02101397514343,107.22781300544739,122.48565363883972,141.42961406707764,152.643798828125,163.73394417762756,171.19332003593445,183.44156432151794,191.09734845161438,198.65420055389404,210.90544939041138,222.90900421142578,230.46114039421082,237.95805025100708,245.67095112800598,254.02145981788635,282.1719799041748,294.125191450119,301.62628054618835,313.32394433021545,321.2923140525818,333.58661794662476,344.68969082832336,352.7841818332672,364.7025375366211,384.1141674518585,396.17807173728943,403.92369198799133,415.3691749572754,435.04358100891113,454.5285813808441,467.1498489379883,474.5540120601654,483.57541036605835,495.0310754776001,506.7152154445648,518.3642890453339,530.384822845459,538.0795187950134,557.1728081703186,568.6206841468811,581.004691362381,592.3419363498688,611.002641916275,623.5801091194153,631.2784328460693,646.4475803375244,662.3850817680359,685.376785993576,697.7331204414368,713.2040634155273,732.4164531230927,748.4765176773071,760.9346001148224,776.3085134029388,793.1189725399017
total minutes,0.0,0.313731050491333,0.6357109030087789,0.9987596074740092,1.2480109771092733,1.4540600339571634,1.5836835662523905,1.7871302167574565,2.0414275606473287,2.357160234451294,2.5440633138020834,2.728899069627126,2.8532220005989073,3.0573594053586324,3.184955807526906,3.3109033425649006,3.515090823173523,3.71515007019043,3.84101900657018,3.9659675041834515,4.094515852133433,4.233690996964772,4.702866331736247,4.90208652416865,5.027104675769806,5.222065738836924,5.354871900876363,5.559776965777079,5.744828180472056,5.879736363887787,6.078375625610351,6.401902790864309,6.602967862288157,6.732061533133189,6.922819582621257,7.250726350148519,7.575476356347402,7.785830815633138,7.90923353433609,8.059590172767638,8.250517924626669,8.445253590742746,8.63940481742223,8.839747047424316,8.96799197991689,9.28621346950531,9.477011402448019,9.683411522706349,9.872365605831146,10.18337736527125,10.393001818656922,10.521307214101155,10.774126338958741,11.039751362800597,11.422946433226267,11.628885340690612,11.88673439025879,12.206940885384878,12.474608627955119,12.68224333524704,12.938475223382314,13.218649542331695
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,440.0,430.0,483.0,327.0,263.0,155.0,264.0,332.0,420.0,240.0,241.0,154.0,263.0,161.0,151.0,263.0,261.0,152.0,147.0,159.0,172.0,649.0,260.0,155.0,254.0,164.0,267.0,241.0,166.0,261.0,443.0,252.0,155.0,242.0,436.0,432.0,278.0,151.0,189.0,240.0,251.0,252.0,253.0,155.0,417.0,242.0,261.0,244.0,417.0,267.0,157.0,329.0,347.0,517.0,264.0,330.0,419.0,339.0,267.0,333.0,378.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
