,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
Accumulated time steps,0.0,1000.0,1261.0,1612.0,1943.0,2352.0,2589.0,3100.0,3339.0,3577.0,3727.0,3890.0,4152.0,4407.0,4556.0,4735.0,4976.0,5226.0,5522.0,5788.0,5947.0,6270.0,6627.0,6879.0,7031.0,7183.0,7457.0,7702.0,8127.0,8458.0,8709.0,8966.0,9246.0,9515.0,9771.0,10111.0,10275.0,10435.0,10691.0,10853.0,11301.0,11567.0,11984.0,12145.0,12479.0,12722.0,13139.0,13485.0,13879.0,14210.0,14537.0,14867.0,15021.0,15349.0,15536.0,15692.0,15954.0,16194.0,16528.0,16812.0,17225.0,17638.0,18052.0,18292.0,18547.0,18789.0,19028.0,19212.0
Episode reward,0.0,-56.566874760774674,89.10940393376775,82.96316725865856,84.30501518120032,74.21770780260223,85.14089045395384,80.0442520239435,90.5351717295484,90.62130446271014,92.60521386853011,92.10600003258119,87.56347084528035,84.61374353258054,91.58062275027055,88.69934266349168,87.8206316514654,88.02610245270377,81.6544061922731,84.98184159708737,90.86778887130956,77.05049641259717,76.16365266775124,84.78933940091045,91.04535773942717,91.10608412531717,85.52305533188982,85.89684759368998,77.2511898032067,77.75359473327431,86.14863214292154,85.57138709526838,83.1625169450501,84.3263589461423,85.67999189115916,81.60525756150363,92.1490407495038,91.11274723364203,86.38955557806885,91.1095182728909,78.92290081317456,86.62748356914403,73.89180182482498,89.31025370382845,79.99516259882807,84.80080421475277,74.80049549545976,79.0685682812235,74.58277386438029,80.14431451369182,80.18230965327528,80.21532569223513,90.06733905589752,79.70013038506838,86.73006799881843,89.85065016376673,82.74346452858853,85.6090354782004,79.98596930759045,81.96444670686651,74.87350105725079,74.80751006622768,74.86529432181536,85.65021684844959,84.62131558802777,85.58040227021749,85.64414381681152,87.02186569996951
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,43.488248348236084,56.1002893447876,72.4595832824707,87.92139983177185,106.50647521018982,117.98973274230957,141.14299774169922,152.58940148353577,163.77511286735535,171.49675512313843,179.56983184814453,191.5531623363495,203.15871691703796,210.47863912582397,218.9185175895691,230.28945016860962,242.14379382133484,255.6888928413391,267.924284696579,275.55932569503784,290.15670228004456,306.6295762062073,318.99156403541565,327.35428738594055,335.2596275806427,348.27590918540955,359.65675497055054,379.319637298584,395.28977274894714,407.5504004955292,420.15463280677795,433.6299352645874,446.68110251426697,459.18571162223816,474.6620280742645,482.75253891944885,490.48889803886414,502.18070554733276,510.1571776866913,530.2993321418762,542.827210187912,561.285727262497,569.0276930332184,584.5250062942505,596.8506338596344,614.7978582382202,629.695779800415,646.5826964378357,660.9478266239166,675.1466898918152,689.4481642246246,696.7439458370209,711.0732176303864,719.7001307010651,727.0489099025726,738.7385392189026,749.6279623508453,764.8429811000824,777.3642957210541,794.9680836200714,812.7806899547577,830.6374962329865,841.6370837688446,853.0683448314667,863.7787234783173,874.3991169929504,882.8166117668152
total minutes,0.0,0.724804139137268,0.9350048224131267,1.2076597213745117,1.4653566638628641,1.7751079201698303,1.9664955457051596,2.352383295694987,2.5431566913922627,2.7295852144559225,2.858279252052307,2.992830530802409,3.192552705605825,3.385978615283966,3.507977318763733,3.6486419598261515,3.8381575028101604,4.0357298970222475,4.261481547355652,4.465404744942983,4.592655428250631,4.835945038000743,5.110492936770121,5.316526067256928,5.455904789765676,5.5876604596773785,5.804598486423492,5.994279249509176,6.3219939549764,6.588162879149119,6.7925066749254865,7.002577213446299,7.227165587743124,7.4446850419044495,7.65309519370397,7.911033801237742,8.04587564865748,8.174814967314402,8.36967842578888,8.502619628111521,8.838322202364603,9.047120169798534,9.354762121041615,9.483794883886974,9.742083438237508,9.94751056432724,10.246630970637003,10.494929663340251,10.776378273963928,11.01579711039861,11.252444831530253,11.490802737077077,11.612399097283681,11.851220293839772,11.995002178351085,12.117481831709544,12.31230898698171,12.493799372514088,12.747383018334707,12.9560715953509,13.249468060334523,13.546344832579296,13.843958270549773,14.027284729480744,14.217805747191111,14.396312057971954,14.573318616549175,14.713610196113587
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,260.0,350.0,330.0,408.0,236.0,510.0,238.0,237.0,149.0,162.0,261.0,254.0,148.0,178.0,240.0,249.0,295.0,265.0,158.0,322.0,356.0,251.0,151.0,151.0,273.0,244.0,424.0,330.0,250.0,256.0,279.0,268.0,255.0,339.0,163.0,159.0,255.0,161.0,447.0,265.0,416.0,160.0,333.0,242.0,416.0,345.0,393.0,330.0,326.0,329.0,153.0,327.0,186.0,155.0,261.0,239.0,333.0,283.0,412.0,412.0,413.0,239.0,254.0,241.0,238.0,183.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
