,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Accumulated time steps,0.0,489.0,1090.0,1505.0,2103.0,2697.0,3112.0,3696.0,4191.0,4683.0,5019.0,5472.0,5922.0,6168.0,6340.0,6521.0,6794.0,7215.0,7547.0,7725.0,7975.0,8245.0,8499.0,8836.0,9107.0,9485.0,9965.0,10502.0,10653.0,10810.0,11140.0,11474.0,11909.0,12154.0,12396.0,12554.0,12825.0,13300.0,13542.0,13993.0,14235.0,14656.0,14808.0,15050.0,15381.0,15712.0,16060.0,16301.0,16638.0,16970.0,17305.0,17635.0,17880.0,18144.0,18412.0,18683.0,18953.0,19129.0,19294.0,19826.0
Episode reward,0.0,83.29726313548018,67.9498212073373,71.66726544793019,63.79432827285967,56.22051616391284,72.3960103648846,73.3244394754838,66.9140900941702,66.27683787837017,82.16108650385334,77.39852140670394,78.07725747163076,83.67354031027806,91.11361951830307,86.83942083982461,85.96744560029838,72.88381221800718,78.89092137302819,87.20443661473364,83.27151932360067,87.66384149380472,84.42016493988102,78.07896027790335,85.97715824567362,82.35763566087846,67.78377392597478,64.72202153599241,90.490844116925,90.11531343871604,80.44344843123142,79.7196185946913,73.99849544937669,85.75488036882743,85.92643975487411,90.00905479398617,86.83522168596119,83.30375163429747,85.58811984850506,70.79110061999177,85.76520413873091,74.11419758478617,90.68432400685094,85.58737728730786,80.37311230800505,79.99381266394265,79.07070412440339,85.714376331401,80.01602216078703,80.36608970689024,79.369144458227,80.34343190242762,85.63018787610379,83.92043854971506,89.0301282775016,87.66243879879062,89.03481550394984,91.39008022327117,91.82081915102508,79.2000095014105
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,20.40434432029724,46.2831928730011,64.20639753341675,89.53925561904907,115.04423880577087,133.32929730415344,158.16863870620728,179.5696156024933,200.82943201065063,215.56040835380554,235.1704752445221,254.854159116745,266.0882771015167,274.93281412124634,284.1666433811188,297.7132422924042,317.94997000694275,334.3114502429962,343.4924192428589,356.10151743888855,369.5329751968384,382.2669758796692,398.762770652771,412.17825508117676,430.39561653137207,453.4252028465271,479.2230405807495,487.14005756378174,495.268269777298,511.4267656803131,527.7436413764954,548.8002843856812,561.1737995147705,573.3108129501343,581.6733841896057,595.0514781475067,618.0450413227081,630.2741057872772,651.7853984832764,664.0165328979492,684.428688287735,692.3348305225372,704.5193722248077,720.7532365322113,736.6913056373596,753.8685491085052,766.0696170330048,782.5114843845367,798.6827726364136,815.1430060863495,831.3002655506134,843.613128900528,856.9004380702972,870.2157807350159,883.6336340904236,897.1674692630768,906.2745168209076,914.8242905139923,940.218517780304
total minutes,0.0,0.34007240533828736,0.7713865478833516,1.0701066255569458,1.4923209269841513,1.9174039800961813,2.222154955069224,2.6361439784367877,2.9928269267082213,3.3471572001775107,3.5926734725634257,3.919507920742035,4.247569318612417,4.434804618358612,4.582213568687439,4.736110723018646,4.96188737154007,5.2991661667823795,5.5718575040499365,5.724873654047648,5.935025290648142,6.158882919947306,6.371116264661153,6.646046177546183,6.869637584686279,7.173260275522868,7.557086714108785,7.9870506763458256,8.119000959396363,8.254471162954966,8.523779428005218,8.795727356274922,9.14667140642802,9.352896658579509,9.555180215835572,9.694556403160096,9.917524635791779,10.300750688711803,10.504568429787954,10.863089974721273,11.06694221496582,11.407144804795584,11.538913842042287,11.741989537080128,12.012553942203521,12.278188427289328,12.564475818475087,12.767826950550079,13.041858073075613,13.311379543940227,13.585716768105824,13.855004425843557,14.060218815008799,14.281673967838287,14.503596345583597,14.727227234840393,14.952791154384613,15.10457528034846,15.247071508566538,15.670308629671732
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,487.0,600.0,414.0,597.0,593.0,414.0,583.0,494.0,491.0,335.0,452.0,449.0,245.0,171.0,180.0,272.0,420.0,331.0,177.0,249.0,269.0,253.0,336.0,270.0,377.0,479.0,536.0,150.0,156.0,329.0,333.0,434.0,244.0,241.0,157.0,270.0,474.0,241.0,450.0,241.0,420.0,151.0,241.0,330.0,330.0,347.0,240.0,336.0,331.0,334.0,329.0,244.0,263.0,267.0,270.0,269.0,175.0,164.0,531.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
