,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
Accumulated time steps,0.0,829.0,1156.0,1491.0,1725.0,1967.0,2208.0,2476.0,2644.0,2917.0,3260.0,3419.0,3717.0,3958.0,4219.0,4485.0,4748.0,4928.0,5193.0,5456.0,5620.0,5813.0,6263.0,6515.0,6670.0,6936.0,7109.0,7443.0,7596.0,8037.0,8200.0,8360.0,8632.0,9096.0,9375.0,9539.0,9807.0,10156.0,10425.0,10781.0,11044.0,11202.0,11364.0,11619.0,11990.0,12147.0,12602.0,12959.0,13424.0,13772.0,13937.0,14380.0,14747.0,15020.0,15369.0,15624.0,15996.0,16266.0,16720.0,16895.0,17052.0,17510.0,17781.0
Episode reward,0.0,49.06532559302475,87.42902332121066,83.96455175410183,87.0162623306953,85.57960439501393,86.75385309352286,84.74922764734771,90.96640230354429,85.34584992217356,85.22380479382079,92.13849913292384,82.21842711474505,82.01678968705997,89.70621613679825,88.15791596207909,90.207246428914,88.29029315019076,84.99612079653335,88.39076954455444,92.55735116152817,90.40827372044114,74.10784526438371,86.6498867835054,91.40974685293902,84.92824621357603,89.61684069813289,83.14702376930676,91.8079506611223,77.15537799983315,88.47718177149143,88.85210187193621,84.59743640931711,75.79622046156841,83.8230815235661,91.27262670394765,85.10689217844208,83.2683836888304,84.97987332626826,82.63642375135302,82.88787273838803,91.63430176515287,91.43363970214162,87.5497685365644,80.00874353530196,91.61742142277704,77.2205686992745,82.01615736867832,75.70579002480548,83.27760412347982,91.1949056224366,78.93125860903294,80.84679055987739,84.46055327010068,83.27774660646087,87.53886344235971,79.8918638420084,84.81464822563333,77.32748493775429,90.26534775703234,91.57014928592874,76.51478714241931,84.69842050817608
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,37.999815225601196,54.186671018600464,70.4360339641571,82.01982998847961,94.05879878997803,106.09478998184204,119.51504755020142,128.20087933540344,141.7321000099182,158.29676866531372,166.49916815757751,181.22532081604004,193.34358859062195,206.2967712879181,219.71826577186584,232.71278285980225,241.82768487930298,254.71595120429993,267.79202485084534,276.371550321579,286.30972599983215,308.1620309352875,320.8934681415558,329.07490062713623,342.34020376205444,351.3048894405365,367.69549345970154,375.61367177963257,396.97809171676636,405.5519742965698,413.9673914909363,427.44450521469116,449.92027497291565,463.8442726135254,472.4532232284546,485.68647170066833,502.7952082157135,516.1940836906433,533.4423925876617,546.6126773357391,554.9139173030853,563.2108578681946,575.9527904987335,593.8938708305359,602.0755472183228,624.1006906032562,641.6280410289764,663.961630821228,680.9365584850311,689.5222682952881,711.0382175445557,728.9505851268768,742.4630081653595,759.5143485069275,772.3361051082611,790.4193801879883,803.890506029129,825.7298474311829,834.8462979793549,843.0362384319305,865.162291765213,878.6592330932617
total minutes,0.0,0.63333025376002,0.9031111836433411,1.1739338994026185,1.3669971664746603,1.5676466464996337,1.7682464996973672,1.9919174591700235,2.1366813222567242,2.3622016668319703,2.6382794777552285,2.774986135959625,3.020422013600667,3.2223931431770323,3.4382795214653017,3.6619710961977643,3.878546380996704,4.03046141465505,4.245265853404999,4.463200414180756,4.606192505359649,4.7718287666638695,5.136033848921458,5.34822446902593,5.484581677118937,5.705670062700907,5.855081490675608,6.128258224328359,6.260227862993876,6.616301528612772,6.759199571609497,6.899456524848938,7.124075086911519,7.498671249548594,7.73073787689209,7.87422038714091,8.094774528344471,8.379920136928558,8.603234728177389,8.890706543127695,9.110211288928985,9.248565288384755,9.386847631136577,9.599213174978892,9.898231180508931,10.034592453638712,10.401678176720937,10.693800683816274,11.066027180353801,11.348942641417185,11.492037804921468,11.850636959075928,12.14917641878128,12.374383469422659,12.658572475115458,12.872268418471018,13.173656336466472,13.398175100485483,13.762164123853047,13.914104966322581,14.05060397386551,14.419371529420216,14.644320551554362
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,827.0,326.0,334.0,233.0,241.0,240.0,267.0,167.0,272.0,342.0,158.0,297.0,240.0,260.0,265.0,262.0,179.0,264.0,262.0,163.0,192.0,449.0,251.0,154.0,265.0,172.0,333.0,152.0,440.0,162.0,159.0,271.0,463.0,278.0,163.0,267.0,348.0,268.0,355.0,262.0,157.0,161.0,254.0,370.0,156.0,454.0,356.0,464.0,347.0,164.0,442.0,366.0,272.0,348.0,254.0,371.0,269.0,453.0,174.0,156.0,457.0,270.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
