,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Accumulated time steps,0.0,1000.0,1999.0,2868.0,3867.0,4742.0,5741.0,6534.0,7533.0,8248.0,8955.0,9403.0,9977.0,10625.0,10913.0,11303.0,11664.0,12024.0,12510.0,13080.0,13816.0,14328.0,14694.0,14968.0,15436.0,15986.0,16350.0,16625.0,17099.0,17370.0,17639.0,18098.0
Episode reward,0.0,-70.83674302098875,-94.02821895926107,40.93754788684839,-92.39162617458742,44.95920413372341,-88.23198635642461,46.56363049282232,-66.32463612321898,51.83462628855466,52.855688038356,69.85294693144544,77.773043018779,64.737815494214,85.90575588723863,83.08797622229167,80.17112440219657,80.44906707698034,72.18200972535111,67.85191290222696,59.07220043196432,76.98929276216768,79.83897304699597,84.58275735256487,73.65158128876689,69.74270751604467,80.17327737222257,84.5584191118932,73.32975995877355,84.98730412211944,85.19187870952264,74.65272131609544
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,46.0336697101593,92.91920018196106,133.89331555366516,179.84017634391785,217.87244415283203,261.1901478767395,296.2472987174988,339.6525354385376,371.93697023391724,403.082631111145,422.76670002937317,447.17612886428833,474.3418140411377,487.11230874061584,504.6188654899597,520.5722978115082,536.5182781219482,557.0564277172089,581.2002940177917,612.2707259654999,634.4396860599518,650.6740250587463,663.0902698040009,683.2988271713257,706.8754274845123,723.165474653244,735.3668391704559,755.9163627624512,768.2083156108856,780.3138039112091,800.3478331565857
total minutes,0.0,0.767227828502655,1.5486533363660178,2.2315552592277528,2.997336272398631,3.6312074025472003,4.3531691312789915,4.93745497862498,5.660875590642293,6.19894950389862,6.718043851852417,7.04611166715622,7.4529354810714725,7.905696900685628,8.118538479010263,8.410314424832661,8.676204963525135,8.94197130203247,9.284273795286815,9.686671566963195,10.204512099424997,10.573994767665862,10.84456708431244,11.051504496733347,11.388313786188762,11.781257124741872,12.0527579108874,12.256113986174265,12.598606046040853,12.803471926848093,13.005230065186819,13.339130552609761
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,868.0,998.0,874.0,998.0,792.0,998.0,714.0,706.0,447.0,573.0,647.0,287.0,389.0,360.0,359.0,485.0,569.0,735.0,511.0,365.0,273.0,467.0,549.0,363.0,274.0,473.0,270.0,268.0,458.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
