,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
Accumulated time steps,0.0,613.0,1612.0,2171.0,3170.0,3847.0,4298.0,4930.0,5453.0,5882.0,6313.0,6564.0,6815.0,7189.0,7538.0,7881.0,8154.0,8633.0,8909.0,9444.0,10018.0,10442.0,10973.0,11402.0,11737.0,12108.0,12353.0,12870.0,13646.0,13931.0,14364.0,14705.0,14951.0,15228.0,15748.0,16110.0,16652.0,16898.0,17171.0,17421.0,17668.0,18096.0,18345.0,18612.0,18866.0,19118.0
Episode reward,0.0,61.492816695142515,-62.04338568693472,67.524824588619,-81.5117488284494,73.27806858375587,74.73660385732613,54.92997144533651,65.39737373022396,73.16321019635208,84.87599034173384,84.7869501388085,84.99246522163212,77.43146833986518,79.84261650451757,80.63524597335707,89.53861680858702,84.2074083520357,83.10086080418748,70.14649888873147,83.49374568216554,76.69191813223122,70.40195642325703,75.77632608743522,81.59556663424593,86.64028008756729,86.4568400798247,71.67514200466918,76.3105426332463,89.05350872328202,75.33625949296417,80.69560141501421,86.42009443156431,83.72113614491158,71.24015872067905,79.42362579822534,69.29636394980442,86.4938165537613,84.1076194336466,86.22661174769264,86.4281693846576,76.47144766759588,86.31979701614517,84.6833210591649,85.33058204786334,85.56737953003393
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,28.080825090408325,74.44803547859192,101.1749415397644,147.70792841911316,179.6428759098053,201.092524766922,230.74094557762146,255.57005786895752,276.1773154735565,296.9555358886719,309.4455201625824,321.6749653816223,339.8164348602295,356.50377202033997,373.0774607658386,386.29852414131165,409.196001291275,422.7663383483887,447.93686032295227,475.1090657711029,495.41701221466064,520.3813741207123,540.8443620204926,556.8257701396942,574.8354465961456,586.6857297420502,610.9714231491089,646.7309107780457,660.6616780757904,681.5220420360565,698.1083409786224,710.0869815349579,723.6842823028564,748.2918539047241,765.806923866272,791.4964590072632,803.602864742279,816.9900071620941,829.3487150669098,841.5681381225586,861.8524525165558,874.2532994747162,887.4700503349304,899.8642826080322,912.2695419788361
total minutes,0.0,0.4680137515068054,1.2408005913098654,1.68624902566274,2.4617988069852195,2.9940479318300883,3.3515420794487,3.845682426293691,4.259500964482625,4.602955257892608,4.949258931477865,5.1574253360430395,5.361249423027038,5.663607247670492,5.941729533672333,6.2179576794306435,6.438308735688527,6.819933354854584,7.046105639139811,7.465614338715871,7.918484429518382,8.256950203577677,8.673022902011871,9.014072700341542,9.280429502328237,9.580590776602428,9.778095495700835,10.182857052485149,10.778848512967427,11.01102796792984,11.358700700600942,11.635139016310374,11.834783025582631,12.061404705047607,12.471530898412068,12.763448731104534,13.191607650121053,13.393381079037985,13.616500119368235,13.822478584448497,14.026135635375976,14.364207541942596,14.570888324578602,14.791167505582173,14.997738043467203,15.204492366313934
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,611.0,998.0,558.0,998.0,676.0,450.0,631.0,522.0,428.0,430.0,250.0,250.0,373.0,348.0,342.0,272.0,478.0,275.0,534.0,573.0,423.0,530.0,428.0,334.0,370.0,244.0,516.0,775.0,284.0,432.0,340.0,245.0,276.0,519.0,361.0,541.0,245.0,272.0,249.0,246.0,427.0,248.0,266.0,253.0,251.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
