,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
Accumulated time steps,0.0,676.0,923.0,1440.0,1687.0,2203.0,2612.0,2762.0,3008.0,3420.0,3776.0,3931.0,4388.0,4663.0,4927.0,5114.0,5276.0,5437.0,5807.0,6138.0,6298.0,6540.0,7025.0,7305.0,7578.0,7847.0,8271.0,8607.0,8952.0,9295.0,9568.0,9995.0,10424.0,10763.0,10923.0,11183.0,11431.0,11700.0,11866.0,12208.0,12594.0,12789.0,12966.0,13352.0,13520.0,13688.0,13970.0,14142.0,14519.0,14701.0,14975.0,15248.0,15427.0,15610.0,15782.0,16166.0,16445.0,16732.0,17121.0
Episode reward,0.0,69.71002117199981,83.72325757629486,68.10967965746045,85.63797555602989,72.48221676153571,78.45101830467411,91.42577124562608,83.14369009292754,79.75719466167503,87.55991558418171,91.71442530987721,75.84335307285659,85.29203718202753,86.31834973723124,86.07230463411808,91.09522732626681,91.10777175490337,79.67375443851017,78.68444756871618,91.67140275843889,85.32422071329832,75.47003092171613,83.99633446813247,86.81293992508323,86.25327290765492,72.14960777303851,78.84284939402573,78.42391459084946,78.61147973420071,87.07705535932007,72.50323440122783,72.08938836047867,78.69388504341093,89.73231913471322,83.61271308333696,84.77171632364153,81.98107194025866,89.03769259624674,78.53190902038827,80.47202203408003,89.1986514040285,90.69621677693286,81.27488062618039,90.7211049082194,90.65162026003863,85.25266457671763,90.86703084967985,82.67013367991545,90.32313526255359,86.68617606039507,87.00873986308648,90.55786965521769,90.24652075007246,90.87679053908886,81.54433960440656,85.68373814088037,83.60993616223885,80.07300858739279
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,30.66614055633545,42.95883870124817,67.77873802185059,79.98722696304321,104.53319025039673,124.08597898483276,131.93888115882874,144.05753898620605,163.85590815544128,181.04453253746033,188.95116305351257,210.50411009788513,224.0607361793518,237.03234696388245,246.69311499595642,254.894672870636,263.0793478488922,280.9267785549164,296.9515452384949,305.321670293808,317.2643299102783,340.3647093772888,354.1440784931183,367.3735611438751,380.458692073822,400.74875235557556,417.05314779281616,433.8457179069519,450.0763142108917,463.0458014011383,482.11203718185425,500.71178245544434,515.9008502960205,523.8423478603363,536.4953670501709,548.310188293457,560.9647417068481,568.9940187931061,584.5277042388916,602.1784110069275,611.8859963417053,620.4595997333527,637.9290289878845,645.958015203476,654.5744843482971,668.8185968399048,677.1326200962067,693.8722069263458,702.7112460136414,715.3241229057312,727.7383530139923,736.1206901073456,744.9901211261749,753.5698833465576,771.5936946868896,785.224695444107,799.2664792537689,817.6559193134308
total minutes,0.0,0.5111023426055908,0.7159806450208028,1.1296456336975098,1.3331204493840536,1.7422198375066122,2.0680996497472126,2.1989813526471456,2.4009589831034344,2.730931802590688,3.017408875624339,3.1491860508918763,3.508401834964752,3.7343456029891966,3.9505391160647076,4.111551916599273,4.2482445478439335,4.384655797481537,4.682112975915273,4.949192420641581,5.088694504896799,5.287738831837972,5.672745156288147,5.902401308218638,6.1228926857312524,6.340978201230367,6.679145872592926,6.950885796546936,7.230761965115865,7.501271903514862,7.717430023352305,8.035200619697571,8.345196374257405,8.598347504933676,8.730705797672272,8.941589450836181,9.138503138224284,9.349412361780802,9.483233646551769,9.742128403981527,10.036306850115459,10.198099939028422,10.34099332888921,10.632150483131408,10.765966920057933,10.909574739138286,11.146976613998413,11.285543668270112,11.564536782105764,11.711854100227356,11.92206871509552,12.128972550233206,12.268678168455759,12.416502018769583,12.55949805577596,12.85989491144816,13.087078257401783,13.321107987562815,13.627598655223846
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,674.0,246.0,516.0,246.0,515.0,408.0,149.0,245.0,411.0,355.0,154.0,456.0,274.0,263.0,186.0,161.0,160.0,369.0,330.0,159.0,241.0,484.0,279.0,272.0,268.0,423.0,335.0,344.0,342.0,272.0,426.0,428.0,338.0,159.0,259.0,247.0,268.0,165.0,341.0,385.0,194.0,176.0,385.0,167.0,167.0,281.0,171.0,376.0,181.0,273.0,272.0,178.0,182.0,171.0,383.0,278.0,286.0,388.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
