,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
Accumulated time steps,0.0,1000.0,1607.0,2164.0,2528.0,2792.0,3266.0,3419.0,3740.0,3997.0,4157.0,4320.0,4584.0,4852.0,5019.0,5278.0,5531.0,5793.0,6176.0,6329.0,6766.0,6933.0,7086.0,7242.0,7498.0,7951.0,8315.0,8571.0,8818.0,9215.0,9484.0,9734.0,10077.0,10334.0,10589.0,10845.0,11175.0,11418.0,11668.0,11920.0,12466.0,12617.0,12865.0,13017.0,13169.0,13330.0,13675.0,13932.0,14264.0,14508.0,14808.0,14954.0,15106.0,15258.0,15414.0,15570.0,15820.0,15977.0,16244.0,16398.0,16651.0,16805.0,17055.0,17409.0,17570.0,17731.0,17989.0,18158.0,18312.0,18478.0,18744.0,18918.0,19072.0,19228.0,19487.0,19746.0,19911.0,20160.0
Episode reward,0.0,-65.11080724358317,63.79568879095748,68.02810231514866,80.83875546733324,85.55367321718637,77.0577029919574,90.71635773105469,82.88852617912578,85.00226777794758,91.20280800413471,90.53104086895713,85.72086792106795,85.94327743136142,90.96631513823779,86.6925296320781,87.0103190226792,85.58902222890151,81.59399362201569,92.40359025788563,80.09464962463821,90.81417761145173,91.44803434390019,91.78084186002066,87.12307237735786,78.44365673339452,81.547614040045,88.04315175355863,87.87999502920647,80.66820479892051,85.50128544548643,87.37770144683918,84.82662345538745,86.26004963959004,86.60095575803928,87.99103825610436,85.88610325507194,89.36834636658952,88.84436208916662,88.25388541737408,76.1444647013963,91.86526880832443,87.24398139538442,91.74425989476993,91.74250022237241,90.82657339238628,82.24339886951326,85.40264248882718,83.67933284722577,87.80238953247363,81.44568881487416,92.21169314154183,91.83634944766703,91.84161506227565,92.26180687275831,92.10454700347486,87.24317952689046,91.26573512715824,85.41055109182683,91.89254743315723,87.40824292297683,92.0797846866676,87.59724066039816,82.42154872301398,91.58441596194699,91.6260743238798,87.91025845584875,91.0057798368494,91.9195623677705,91.2837290343083,85.24050851457214,90.16911009082101,91.42676687188897,91.91365400027793,86.7745695879586,86.62607735768373,90.64215411649704,87.16869182186494
Episode feedback,0.8,0.18837675331825976,0.234323431956562,0.14388489182754516,0.15702479295585456,0.11026615927655453,0.061310782111393694,0.05921052592624654,0.049999999843750004,0.05859374977111816,0.05031446509236186,0.02469135787227557,0.05703422031545924,0.06741573008458528,0.060240963492524315,0.050387596703924044,0.03571428557256236,0.019157088049206558,0.028795811442942902,0.019736841975415514,0.020642201787517887,0.030120481746262157,0.02631578930055402,0.012903225723204995,0.011764705836216839,0.00663716812690892,0.02203856743240064,0.023529411672433678,0.0040650406338819485,0.0101010100755025,0.0074626865393183335,0.00401606424089934,0.0,0.003906249984741211,0.003937007858515717,0.00784313722414456,0.003039513668572907,0.0,0.00401606424089934,0.0,0.001834862381954381,0.0,0.004048582979560393,0.0,0.0,0.0,0.0029069767357355327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,76.92682385444641,133.86681365966797,172.57762551307678,198.94359874725342,216.6503427028656,244.86890769004822,254.49824786186218,273.60037088394165,289.0013484954834,298.9065089225769,308.62934732437134,324.0822665691376,340.2092444896698,350.63436245918274,366.175861120224,380.8347625732422,395.9459431171417,417.46526765823364,426.54217553138733,450.5599820613861,460.4521987438202,469.6432991027832,478.79853916168213,493.1316452026367,517.6095860004425,537.8059120178223,552.3581736087799,565.9745664596558,587.9671447277069,602.9363894462585,616.6489729881287,635.3022656440735,649.6260802745819,663.5315306186676,677.6541216373444,695.4456923007965,709.0959060192108,723.0591037273407,736.8826422691345,765.688639163971,774.26695561409,787.7597637176514,796.5831167697906,805.2799534797668,814.5552897453308,833.2208867073059,847.3014669418335,865.2760343551636,878.8369958400726,895.2245998382568,903.5582783222198,912.2946267127991,921.2952511310577,930.4678373336792,939.3861124515533,953.2974803447723,962.2498891353607,976.9711401462555,985.9125764369965,999.8183648586273,1008.795294046402,1022.7465369701385,1042.1837604045868,1051.6652476787567,1061.338740348816,1075.8641557693481,1085.8701357841492,1095.4734745025635,1105.3334572315216,1120.4173080921173,1130.582134962082,1140.058432340622,1149.3400468826294,1164.056340932846,1178.5469222068787,1188.3540725708008,1202.1028084754944
total minutes,0.0,1.2821137309074402,2.231113560994466,2.8762937585512796,3.315726645787557,3.61083904504776,4.081148461500804,4.24163746436437,4.560006181399028,4.81668914159139,4.981775148709615,5.143822455406189,5.401371109485626,5.67015407482783,5.843906040986379,6.1029310186704,6.347246042887369,6.599099051952362,6.957754460970561,7.109036258856455,7.509333034356435,7.674203312397003,7.82738831837972,7.979975652694702,8.218860753377278,8.626826433340709,8.963431866963704,9.205969560146332,9.432909440994262,9.79945241212845,10.048939824104309,10.277482883135479,10.588371094067892,10.8271013379097,11.05885884364446,11.294235360622405,11.590761538346609,11.81826510032018,12.050985062122345,12.281377371152242,12.761477319399516,12.904449260234832,13.129329395294189,13.27638527949651,13.421332557996115,13.575921495755514,13.887014778455098,14.121691115697224,14.421267239252726,14.64728326400121,14.920409997304281,15.059304638703663,15.204910445213319,15.354920852184296,15.507797288894654,15.65643520752589,15.888291339079538,16.037498152256013,16.282852335770926,16.431876273949943,16.663639414310456,16.813254900773366,17.045775616168974,17.369729340076447,17.52775412797928,17.6889790058136,17.93106926282247,18.097835596402486,18.25789124170939,18.422224287192027,18.673621801535287,18.843035582701365,19.0009738723437,19.155667448043822,19.400939015547433,19.64244870344798,19.805901209513348,20.035046807924907
cummulative feedback,0.0,188.0,330.0,410.0,467.0,496.0,525.0,534.0,550.0,565.0,573.0,577.0,592.0,610.0,620.0,633.0,642.0,647.0,658.0,661.0,670.0,675.0,679.0,681.0,684.0,687.0,695.0,701.0,702.0,706.0,708.0,709.0,709.0,710.0,711.0,713.0,714.0,714.0,715.0,715.0,716.0,716.0,717.0,717.0,717.0,717.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0,718.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,606.0,556.0,363.0,263.0,473.0,152.0,320.0,256.0,159.0,162.0,263.0,267.0,166.0,258.0,252.0,261.0,382.0,152.0,436.0,166.0,152.0,155.0,255.0,452.0,363.0,255.0,246.0,396.0,268.0,249.0,342.0,256.0,254.0,255.0,329.0,242.0,249.0,251.0,545.0,150.0,247.0,151.0,151.0,160.0,344.0,256.0,331.0,243.0,299.0,145.0,151.0,151.0,155.0,155.0,249.0,156.0,266.0,153.0,252.0,153.0,249.0,353.0,160.0,160.0,257.0,168.0,153.0,165.0,265.0,173.0,153.0,155.0,258.0,258.0,164.0,248.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
