,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
Accumulated time steps,0.0,1000.0,1446.0,2006.0,2472.0,2814.0,3156.0,3310.0,3661.0,3817.0,4176.0,4519.0,5100.0,5383.0,5630.0,5810.0,5966.0,6245.0,6708.0,6961.0,7205.0,7365.0,7534.0,7686.0,7838.0,8288.0,8540.0,8802.0,8953.0,9103.0,9369.0,9702.0,9940.0,10206.0,10484.0,10750.0,11094.0,11249.0,11414.0,11723.0,11992.0,12241.0,12498.0,12652.0,12820.0,12971.0,13300.0,13447.0,13690.0,14022.0,14357.0,14598.0,14870.0,15126.0,15281.0,15535.0,15790.0,16032.0,16277.0,16542.0,16880.0,17188.0,17335.0,17596.0,17849.0,18502.0,18764.0,19079.0,19259.0,19511.0,19925.0,20107.0
Episode reward,0.0,-62.54330706859195,73.71830542504607,67.82734489148001,73.1211577509811,81.22707174815626,81.37319858918909,91.03356763335543,78.53761045772649,91.04132503660006,78.30819061714197,80.83985214447866,69.42608399816191,82.63502035084869,85.84101985237784,88.18999830548178,91.11094734750597,83.96298709377864,73.4717567510303,84.64641651340027,87.52300297750499,91.42055562428115,90.40801604016302,92.25846915128066,91.65245114884337,75.08213427027185,86.58096820054867,84.79855437642004,92.09665839028324,91.40732046704619,84.69506905425865,81.9990508600809,88.18233445697855,84.71988280911347,83.9598674752038,85.84052596631888,80.27264849213184,91.79850800588973,90.91427899349164,79.70601690245559,83.54142979003939,87.89630897504301,85.95236389546052,91.15484138049557,90.97113897289363,92.13149944274156,82.82709142239096,92.25004053986457,88.96511690560115,83.29465587086545,83.3378843175804,87.53646372227007,85.49768958550983,87.89875806618265,91.57443526451132,87.01450323182526,84.99855743819387,87.77607510392485,87.34953367858219,86.00999950715907,83.87759712246239,80.9473967819998,93.20622104371093,86.03022701478578,86.56344942126502,68.88219552621375,84.88269233134659,80.0919340415737,89.23144616156947,86.03529864832066,80.4701547272914,89.02284786367169
Episode feedback,0.8,0.18637274530423573,0.2516853926928418,0.13237924842150403,0.09892473097005434,0.0791788853983024,0.06744868015410944,0.07843137203639626,0.06571428552653061,0.05806451575442248,0.05865921771324241,0.058479531992749904,0.018965517208680144,0.04255319133846386,0.03658536570493754,0.011173184295121876,0.0064516128616024975,0.014388489156875938,0.019480519438353855,0.023809523715041574,0.008230452641026944,0.0,0.005952380916950114,0.013245033024867332,0.006622516512433666,0.002227171487244607,0.01195219118744147,0.011494252829523936,0.013333333244444445,0.006711409350930139,0.0,0.0030120481836986503,0.0,0.0,0.0036101082902162155,0.0,0.005830903773087744,0.006493506451340867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003937007858515717,0.0,0.004098360638941145,0.0,0.0,0.0032573289796178208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,67.81031632423401,102.65897250175476,140.17617654800415,169.410573720932,190.69098114967346,211.19695258140564,221.217777967453,242.27432775497437,252.2221336364746,273.41585326194763,293.8696093559265,325.61586809158325,342.2189095020294,356.779230594635,367.3314468860626,376.39663314819336,392.2109875679016,417.556923866272,432.0606036186218,445.5804979801178,454.8294801712036,464.56259417533875,473.4980368614197,482.5220592021942,506.7748212814331,520.7731027603149,535.5844962596893,544.419205904007,553.2404811382294,567.8333051204681,585.8786602020264,598.8564615249634,613.5118536949158,628.7363438606262,643.3815729618073,662.6467759609222,671.6685163974762,681.0348570346832,697.6591408252716,712.6021349430084,726.4756622314453,740.7519056797028,749.6135663986206,759.2954638004303,768.2683026790619,786.2573599815369,795.1039958000183,808.7851943969727,827.3071949481964,845.8590335845947,859.5596575737,875.0320131778717,889.0445618629456,897.9924445152283,911.9933726787567,926.0745244026184,939.4331107139587,953.1151595115662,967.4901452064514,985.7914085388184,1002.6456158161163,1011.0732626914978,1025.4804692268372,1039.2632665634155,1073.4806451797485,1087.7962589263916,1104.7798075675964,1114.917869091034,1128.8556628227234,1151.1941328048706,1161.5009291172028
total minutes,0.0,1.1301719387372335,1.710982875029246,2.3362696091334025,2.8235095620155333,3.1781830191612244,3.519949209690094,3.686962966124217,4.0379054625829065,4.203702227274577,4.556930887699127,4.897826822598775,5.4269311348597205,5.70364849170049,5.946320509910583,6.1221907814343774,6.273277219136556,6.53684979279836,6.959282064437867,7.201010060310364,7.426341633001964,7.580491336186727,7.7427099029223125,7.891633947690328,8.04203432003657,8.446247021357218,8.679551712671916,8.926408270994822,9.07365343173345,9.220674685637157,9.463888418674468,9.764644336700439,9.980941025416056,10.225197561581929,10.47893906434377,10.72302621603012,11.044112932682037,11.19447527329127,11.350580950578054,11.62765234708786,11.87670224905014,12.107927703857422,12.345865094661713,12.49355943997701,12.654924396673838,12.804471711317698,13.104289333025614,13.251733263333639,13.479753239949543,13.788453249136607,14.097650559743245,14.325994292894999,14.583866886297862,14.817409364382426,14.966540741920472,15.199889544645945,15.434575406710307,15.657218511899313,15.885252658526102,16.124835753440856,16.429856808980308,16.710760263601937,16.851221044858296,17.09134115378062,17.321054442723593,17.89134408632914,18.129937648773193,18.412996792793273,18.581964484850566,18.814261047045388,19.186568880081175,19.358348818620048
cummulative feedback,0.0,186.0,298.0,372.0,418.0,445.0,468.0,480.0,503.0,512.0,533.0,553.0,564.0,576.0,585.0,587.0,588.0,592.0,601.0,607.0,609.0,609.0,610.0,612.0,613.0,614.0,617.0,620.0,622.0,623.0,623.0,624.0,624.0,624.0,625.0,625.0,627.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,629.0,629.0,630.0,630.0,630.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,445.0,559.0,465.0,341.0,341.0,153.0,350.0,155.0,358.0,342.0,580.0,282.0,246.0,179.0,155.0,278.0,462.0,252.0,243.0,159.0,168.0,151.0,151.0,449.0,251.0,261.0,150.0,149.0,265.0,332.0,237.0,265.0,277.0,265.0,343.0,154.0,164.0,308.0,268.0,248.0,256.0,153.0,167.0,150.0,328.0,146.0,242.0,331.0,334.0,240.0,271.0,255.0,154.0,253.0,254.0,241.0,244.0,264.0,337.0,307.0,146.0,260.0,252.0,652.0,261.0,314.0,179.0,251.0,413.0,181.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
