,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3323.0,4142.0,4589.0,4955.0,5216.0,5476.0,5814.0,6237.0,6693.0,6839.0,7085.0,7441.0,7590.0,8021.0,8178.0,8331.0,8596.0,8863.0,9019.0,9462.0,9720.0,10131.0,10402.0,10650.0,10928.0,11082.0,11338.0,11498.0,11965.0,12327.0,12683.0,12837.0,13205.0,13467.0,13719.0,14068.0,14339.0,14520.0,14799.0,15160.0,15404.0,15541.0,15691.0,15973.0,16235.0,16819.0,16974.0,17233.0,17496.0,17843.0,18110.0,18262.0,18417.0,18673.0,18821.0,18981.0,19440.0,19603.0,20061.0
Episode reward,0.0,-72.79789053126945,-73.42372686508395,-67.55578433464989,76.52034112908063,51.448003966996076,76.21463151181982,80.00152118645178,85.37324302084662,86.69715629851632,83.61071449201997,79.31739884924309,78.53009681669133,91.88655109795394,88.27645562185053,81.37949190305471,91.65463179960577,77.00191440513122,90.40631285105589,91.112713489692,85.18934008862728,87.74069126342373,91.69511771431964,80.60416662639327,88.2168157897872,84.6426340215288,86.08991567256373,87.88980277310225,86.30242838342616,92.51916484548464,86.88133876814753,91.48775224027422,76.58000119120638,82.40080712370097,83.52050572958231,91.83789739844636,81.32337900576373,87.05617785356397,88.66779569101209,81.57921968417472,84.45201340498619,89.5277886193966,83.18985656632628,81.62072154296658,88.4344445464876,93.13188734159704,92.45065398049437,84.69782866501039,86.94523388000073,73.78834535914866,90.36972491998392,86.01025363601514,83.63008492799497,79.897919299241,83.6323047379445,91.30321724175704,91.18790076837682,87.2632740701284,92.1586705387213,91.11153732181943,75.81648599435533,89.94858704329852,75.31671370329366
Episode feedback,0.8,0.0060120240420721205,0.00400801602804808,0.09819639268717796,0.07716049358901082,0.0843520781364889,0.060538116456192566,0.04657534233814975,0.03846153831360947,0.03088803076877208,0.03560830849967861,0.03317535537162238,0.024175824122690495,0.013793103353151011,0.0122448979092045,0.028169014005157707,0.0,0.006976744169821525,0.0,0.006578947325138505,0.011363636320592287,0.007518796964215049,0.0,0.004524886867590754,0.015564202274069253,0.004878048768590125,0.0,0.004048582979560393,0.0,0.019607843009099065,0.00392156861207228,0.0,0.0,0.0027700830948197146,0.008450704201547312,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555524691358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021834061087698557,0.0,0.0
total seconds,0.0,47.634488582611084,94.11246132850647,157.90787148475647,178.62650871276855,228.4830300807953,255.22821760177612,276.6479105949402,292.1772904396057,307.31451082229614,326.68345618247986,350.49529576301575,375.5732173919678,384.3112859725952,398.2661244869232,418.2360301017761,426.7219352722168,450.2751462459564,459.2452943325043,468.2348282337189,483.03594517707825,498.1624188423157,506.93068194389343,531.0170450210571,545.4698181152344,567.9060478210449,582.7552146911621,596.561238527298,612.0458829402924,621.2759685516357,635.5531194210052,644.980117559433,670.0072681903839,689.3355691432953,708.7847929000854,717.6340079307556,737.393717288971,751.732675075531,765.7717010974884,784.3454852104187,799.2683811187744,809.5894410610199,824.7979974746704,844.1182141304016,857.3966646194458,865.5420653820038,874.3808860778809,889.9678478240967,904.3968675136566,935.3140087127686,944.4453659057617,959.1245038509369,973.920459985733,993.017017364502,1008.1879394054413,1017.0928428173065,1026.0283787250519,1040.1600108146667,1048.8000276088715,1057.8275156021118,1082.8608193397522,1092.5126905441284,1117.697681903839
total minutes,0.0,0.7939081430435181,1.5685410221417746,2.6317978580792745,2.9771084785461426,3.808050501346588,4.253803626696269,4.61079850991567,4.8696215073267615,5.121908513704936,5.444724269707998,5.841588262716929,6.259553623199463,6.4051880995432535,6.6377687414487205,6.970600501696269,7.112032254536946,7.5045857707659405,7.6540882388750715,7.803913803895314,8.050599086284638,8.302706980705262,8.44884469906489,8.850284083684285,9.091163635253906,9.465100797017415,9.712586911519368,9.9426873087883,10.20076471567154,10.354599475860596,10.592551990350087,10.74966862599055,11.166787803173065,11.488926152388254,11.813079881668092,11.960566798845926,12.289895288149516,12.528877917925517,12.76286168495814,13.072424753506978,13.321139685312907,13.493157351016999,13.746633291244507,14.06863690217336,14.289944410324097,14.425701089700063,14.57301476796468,14.832797463734945,15.073281125227611,15.588566811879476,15.740756098429362,15.985408397515615,16.232007666428885,16.5502836227417,16.80313232342402,16.951547380288442,17.100472978750865,17.336000180244447,17.480000460147856,17.63045859336853,18.047680322329203,18.20854484240214,18.62829469839732
cummulative feedback,0.0,6.0,10.0,108.0,133.0,202.0,229.0,246.0,256.0,264.0,276.0,290.0,301.0,303.0,306.0,316.0,316.0,319.0,319.0,320.0,323.0,325.0,325.0,327.0,331.0,333.0,333.0,334.0,334.0,337.0,338.0,338.0,338.0,339.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,344.0,344.0,344.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,324.0,818.0,446.0,365.0,260.0,259.0,337.0,422.0,455.0,145.0,245.0,355.0,148.0,430.0,156.0,152.0,264.0,266.0,155.0,442.0,257.0,410.0,270.0,247.0,277.0,153.0,255.0,159.0,466.0,361.0,355.0,153.0,367.0,261.0,251.0,348.0,270.0,180.0,278.0,360.0,243.0,136.0,149.0,281.0,261.0,583.0,154.0,258.0,262.0,346.0,266.0,151.0,154.0,255.0,147.0,159.0,458.0,162.0,457.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
