,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Accumulated time steps,0.0,1000.0,1178.0,1880.0,2007.0,3006.0,3440.0,4041.0,4216.0,5215.0,6214.0,7153.0,7760.0,8196.0,8940.0,9883.0,10304.0,10701.0,11115.0,11782.0,12209.0,12826.0,13411.0,13840.0,14265.0,14852.0,15354.0,15934.0,16933.0,17417.0,17911.0,18910.0,19247.0,19678.0,20015.0
Episode reward,0.0,-65.67858032767506,89.30634333955278,40.49396774312402,89.49625855271627,-79.7822409881787,60.19254176701404,45.713020790705464,91.61819333301004,-92.28631539480644,-99.83559684008652,24.989103648705665,67.13117038790827,83.66574858399775,83.01027656887742,71.31367122641711,86.05303898401225,88.0928690021405,87.73903054418551,81.11188553506112,85.47329727612318,81.05191303992666,84.66172718595602,84.9760664523632,86.96859690234353,82.86700527523058,86.20995579525743,82.31827682625467,-28.537269854173303,87.96000764501001,82.7840280269799,-33.16578499543519,88.86402319239842,85.85445765296066,89.63837130337762
Episode feedback,0.8,0.0060120240420721205,0.2824858741102493,0.2410841651339741,0.18253968109095492,0.16132264512893524,0.1016166279408392,0.13166666644722222,0.10344827526753865,0.0851703405960217,0.026052104182312522,0.028784648156946004,0.014851485124007451,0.013793103416567578,0.01480484520214691,0.014861995737938434,0.004761904750566893,0.020202020151005,0.004842615000381078,0.0015015014992469948,0.0023474178348652165,0.0,0.0017123287641912178,0.0,0.002358490560475258,0.0,0.001996007980047888,0.0,0.0,0.002070393370454672,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,44.91245412826538,58.90615701675415,117.8294289112091,128.14657258987427,199.60949754714966,227.03874349594116,266.51826882362366,277.92351603507996,337.9445526599884,392.4809398651123,444.0549228191376,476.62552976608276,500.5358679294586,541.0394012928009,591.6758689880371,614.5173351764679,636.8014585971832,659.2571232318878,694.2561292648315,716.996152639389,749.6819779872894,781.2595226764679,804.2926812171936,827.5168058872223,859.0143518447876,885.7108018398285,916.53768491745,968.6718134880066,994.6391506195068,1021.3593196868896,1074.3326408863068,1093.0449299812317,1116.5656235218048,1135.5352568626404
total minutes,0.0,0.7485409021377564,0.9817692836125692,1.9638238151868184,2.1357762098312376,3.3268249591191608,3.783979058265686,4.441971147060395,4.632058600584666,5.632409210999807,6.5413489977518715,7.40091538031896,7.943758829434713,8.342264465490977,9.017323354880014,9.861264483133953,10.241955586274464,10.613357643286387,10.987618720531463,11.570935487747192,11.949935877323151,12.49469963312149,13.020992044607798,13.40487802028656,13.791946764787038,14.316905864079793,14.761846697330474,15.2756280819575,16.14453022480011,16.577319176991782,17.022655328114826,17.90554401477178,18.217415499687196,18.609427058696745,18.92558761437734
cummulative feedback,0.0,6.0,56.0,225.0,248.0,409.0,453.0,532.0,550.0,635.0,661.0,688.0,697.0,703.0,714.0,728.0,730.0,738.0,740.0,741.0,742.0,742.0,743.0,743.0,744.0,744.0,745.0,745.0,745.0,746.0,746.0,746.0,746.0,746.0,746.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,177.0,701.0,126.0,998.0,433.0,600.0,174.0,998.0,998.0,938.0,606.0,435.0,743.0,942.0,420.0,396.0,413.0,666.0,426.0,616.0,584.0,428.0,424.0,586.0,501.0,579.0,998.0,483.0,493.0,998.0,336.0,430.0,336.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
