,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
Accumulated time steps,0.0,1000.0,1868.0,2332.0,2591.0,3069.0,3350.0,3699.0,3954.0,4107.0,4468.0,4642.0,4900.0,5165.0,5313.0,5558.0,5820.0,6078.0,6349.0,6784.0,7040.0,7402.0,7667.0,7917.0,8070.0,8221.0,8658.0,8806.0,9048.0,9202.0,9631.0,9785.0,10044.0,10282.0,10635.0,10978.0,11220.0,11568.0,11908.0,12270.0,12419.0,12591.0,12860.0,13123.0,13743.0,14178.0,14354.0,14593.0,14852.0,15105.0,15369.0,15728.0,15890.0,16127.0,16366.0,16612.0,16884.0,17035.0,17295.0,17737.0,17886.0,18130.0,18379.0,18621.0,18940.0,19197.0,19533.0,19773.0,19928.0,20083.0
Episode reward,0.0,-69.55754441846076,49.34507319603625,73.8719009814422,85.97192484491057,74.8918696347749,83.44240579636002,81.16307152512894,86.4266982126238,91.70692958683317,79.84154249578651,89.35302892955139,85.1639088425558,85.87034205873458,91.85272578024744,85.9502833436869,85.09941570672596,88.37795501281572,85.3326253551208,76.94635202852032,86.83283086591857,80.03797634502232,84.75955121676547,87.97697478796601,91.88780617966482,91.81547880580574,76.37843996889949,92.30976010484008,88.05017349357544,92.3691148761367,77.98780514691514,92.33201431948804,88.65631613359962,87.68856539580645,82.02374198016368,82.60559851778673,87.33037201634382,84.26498069626624,86.69515868072419,85.5749803337699,91.61346075240193,91.04900686483067,87.19773785397864,87.29247095636924,75.07201514634215,80.87912056067448,90.92142126398298,89.24907361567625,88.00147673373007,87.51639907609913,86.05118237140911,82.76376298062092,90.92815333166563,88.62711745761437,89.3543843797326,88.64505979718683,84.83879683933054,92.28016680838311,85.54176868894017,79.43704050383471,91.92685016761051,87.29419156718157,86.90123115780983,87.07999358500885,84.98816331849676,86.51888871178691,83.11427356027366,88.43804289832926,92.25647660103529,91.3347196629901
Episode feedback,0.8,0.01803607212621636,0.24221453259260145,0.11015118766706007,0.10077519340784809,0.09224318638942729,0.0821428568494898,0.06896551704320254,0.05511811001922004,0.07894736790166205,0.04999999986111111,0.052023121086571554,0.035019455116655815,0.026515151414715336,0.04081632625295016,0.01639344255576458,0.038314176098413116,0.015564202274069253,0.022222222139917695,0.01843317968102954,0.02745098028450596,0.011080332379278858,0.011363636320592287,0.01204819272269802,0.006578947325138505,0.019999999866666666,0.011467889881954381,0.00680272104215836,0.016597510304574646,0.0,0.004672897185343698,0.0,0.015503875908899706,0.0,0.0028409090828383264,0.0,0.0,0.011527377488393725,0.005899704997346003,0.0027700830948197146,0.0,0.0,0.0,0.0,0.0016155088826890001,0.0,0.0,0.0,0.0,0.007936507905013858,0.0,0.0,0.0,0.0,0.0,0.004081632636401499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,44.841806173324585,112.61227130889893,143.78921484947205,161.02804493904114,191.10548281669617,208.99806427955627,230.4013011455536,246.0060634613037,256.2048225402832,277.361296415329,288.2065677642822,303.16289234161377,318.2748017311096,327.30251455307007,341.3586473464966,356.617390871048,371.036732673645,386.74424409866333,410.71557235717773,425.1185636520386,445.1927824020386,460.0157949924469,473.9141266345978,482.77023339271545,491.7909858226776,515.5479881763458,524.5540993213654,538.2616763114929,547.1543781757355,570.4486255645752,579.314918756485,593.9252727031708,607.287712097168,626.2844362258911,644.8160235881805,657.98992228508,677.1040439605713,695.8336102962494,715.4434986114502,724.1735916137695,734.0434086322784,748.7431428432465,763.277997970581,795.8509910106659,818.9912462234497,829.1805164813995,842.8701486587524,857.4955866336823,871.926656961441,886.537743806839,905.826737165451,915.3171575069427,928.6870269775391,942.1042563915253,955.9769268035889,971.091105222702,979.9735894203186,994.5305593013763,1018.147191286087,1026.8068668842316,1040.365392446518,1054.2854464054108,1067.8525624275208,1085.0410759449005,1099.3099055290222,1117.7256562709808,1130.8742516040802,1139.9493124485016,1148.9699783325195
total minutes,0.0,0.7473634362220765,1.8768711884816487,2.3964869141578675,2.683800748984019,3.1850913802782697,3.483301071325938,3.8400216857592264,4.100101057688395,4.2700803756713865,4.622688273588817,4.80344279607137,5.052714872360229,5.304580028851827,5.455041909217835,5.689310789108276,5.943623181184133,6.183945544560751,6.445737401644389,6.845259539286295,7.085309394200643,7.419879706700643,7.666929916540782,7.898568777243296,8.046170556545258,8.19651643037796,8.592466469605764,8.742568322022755,8.971027938524882,9.119239636262257,9.50747709274292,9.655248645941416,9.898754545052846,10.121461868286133,10.438073937098185,10.746933726469676,10.966498704751332,11.285067399342855,11.597226838270823,11.924058310190837,12.069559860229493,12.234056810537973,12.479052380720775,12.721299966176352,13.264183183511099,13.649854103724161,13.819675274689992,14.047835810979207,14.29159311056137,14.532110949357351,14.775629063447317,15.097112286090852,15.255285958449045,15.478117116292317,15.701737606525421,15.932948780059814,16.1848517537117,16.33289315700531,16.575509321689605,16.969119854768117,17.11344778140386,17.339423207441964,17.571424106756847,17.797542707125345,18.08401793241501,18.321831758817037,18.62876093784968,18.847904193401337,18.999155207475027,19.149499638875326
cummulative feedback,0.0,18.0,228.0,279.0,305.0,349.0,372.0,396.0,410.0,422.0,440.0,449.0,458.0,465.0,471.0,475.0,485.0,489.0,495.0,503.0,510.0,514.0,517.0,520.0,521.0,524.0,529.0,530.0,534.0,534.0,536.0,536.0,540.0,540.0,541.0,541.0,541.0,545.0,547.0,548.0,548.0,548.0,548.0,548.0,549.0,549.0,549.0,549.0,549.0,551.0,551.0,551.0,551.0,551.0,551.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0,552.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,867.0,463.0,258.0,477.0,280.0,348.0,254.0,152.0,360.0,173.0,257.0,264.0,147.0,244.0,261.0,257.0,270.0,434.0,255.0,361.0,264.0,249.0,152.0,150.0,436.0,147.0,241.0,153.0,428.0,153.0,258.0,237.0,352.0,342.0,241.0,347.0,339.0,361.0,148.0,171.0,268.0,262.0,619.0,434.0,175.0,238.0,258.0,252.0,263.0,358.0,161.0,236.0,238.0,245.0,271.0,150.0,259.0,441.0,148.0,243.0,248.0,241.0,318.0,256.0,335.0,239.0,154.0,154.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
