,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Accumulated time steps,0.0,1000.0,1999.0,2590.0,3589.0,4588.0,5587.0,6586.0,7098.0,8097.0,9096.0,9604.0,10603.0,10904.0,11903.0,12902.0,13901.0,14143.0,14522.0,14757.0,15376.0,15593.0,15846.0,16014.0,16211.0,16479.0,16653.0,17017.0,17685.0,18072.0,18333.0,18498.0,18847.0,19118.0,19777.0,20140.0
Episode reward,0.0,-54.630688992644316,-59.47772678722418,67.05401732814585,-63.042049695183216,-61.826813640765906,-66.65975772766771,-80.37355418962271,75.48932773128944,-84.12320159736129,-65.28397081443845,56.222629803045116,-50.90733539359215,89.31709750372463,-90.39095481118063,-57.64586110611237,-65.03106099354196,82.37679413460694,74.6546524501482,84.97002048027257,59.59879124148049,87.2874502978813,84.92972513958927,91.08589667344,89.92391017114414,86.00531597536552,91.5999535927583,81.8426968567365,75.15841374145418,82.46908166129961,87.12653225376657,92.0235080952839,88.05369951100023,85.59089071555984,71.50305836049625,87.86164039366516
Episode feedback,0.8,0.35470941848225507,0.34268537039811087,0.19999999966101695,0.10821643275729817,0.08817635261705777,0.05811623240669716,0.027054108189324542,0.048923678964924305,0.013026052091156261,0.013026052091156261,0.005917159751642683,0.0050100200350601,0.006666666644444445,0.00200400801402404,0.00400801602804808,0.00200400801402404,0.0,0.002645502638503961,0.0,0.0,0.0,0.0,0.005988023916239378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,81.61047720909119,168.68906784057617,211.56736302375793,273.62963247299194,334.09600138664246,391.140588760376,445.39742159843445,474.3596715927124,527.836460351944,581.1438734531403,608.8143022060394,661.3512880802155,677.9176580905914,730.0609784126282,782.9376492500305,835.5773222446442,848.7769000530243,869.1860263347626,881.9803919792175,914.497505903244,926.5849561691284,940.5988299846649,950.2167129516602,961.2648196220398,975.9261095523834,985.8882737159729,1005.33855676651,1040.4951343536377,1061.8182666301727,1075.9521486759186,1085.3050293922424,1104.5111310482025,1119.4584300518036,1154.2442467212677,1173.6475224494934
total minutes,0.0,1.3601746201515197,2.811484464009603,3.5261227170626324,4.5604938745498655,5.568266689777374,6.519009812672933,7.423290359973907,7.905994526545206,8.797274339199067,9.685731224219005,10.146905036767324,11.02252146800359,11.298627634843191,12.167682973543803,13.048960820833843,13.926288704077402,14.146281667550404,14.486433772246043,14.699673199653626,15.2416250983874,15.443082602818807,15.676647166411081,15.836945215861002,16.021080327033996,16.26543515920639,16.43147122859955,16.755642612775166,17.34158557256063,17.69697111050288,17.93253581126531,18.088417156537375,18.408518850803375,18.657640500863394,19.237404112021128,19.56079204082489
cummulative feedback,0.0,354.0,696.0,814.0,922.0,1010.0,1068.0,1095.0,1120.0,1133.0,1146.0,1149.0,1154.0,1156.0,1158.0,1162.0,1164.0,1164.0,1165.0,1165.0,1165.0,1165.0,1165.0,1166.0,1166.0,1166.0,1166.0,1166.0,1166.0,1166.0,1166.0,1166.0,1166.0,1166.0,1166.0,1166.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,590.0,998.0,998.0,998.0,998.0,511.0,998.0,998.0,507.0,998.0,300.0,998.0,998.0,998.0,241.0,378.0,234.0,618.0,216.0,252.0,167.0,196.0,267.0,173.0,363.0,667.0,386.0,260.0,164.0,348.0,270.0,658.0,362.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
