,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
Accumulated time steps,0.0,1000.0,1342.0,1686.0,1947.0,2101.0,2463.0,2717.0,2975.0,3226.0,3525.0,3786.0,4059.0,4246.0,4631.0,4901.0,5181.0,5468.0,5834.0,6090.0,6368.0,6723.0,6975.0,7131.0,7299.0,7452.0,7605.0,7954.0,8220.0,8582.0,8832.0,9095.0,9363.0,9637.0,9796.0,9955.0,10116.0,10382.0,10646.0,10975.0,11246.0,11409.0,11568.0,11738.0,12000.0,12251.0,12534.0,12809.0,13280.0,13456.0,13634.0,13979.0,14242.0,14495.0,14654.0,14925.0,15078.0,15471.0,15631.0,16156.0,16307.0,16468.0,16721.0,17277.0,17455.0,17720.0,17878.0,18026.0,18294.0,18652.0,19059.0,19212.0,19378.0,19530.0,19797.0,19945.0,20112.0
Episode reward,0.0,-60.60447385996598,78.35842398582739,80.54540824657809,85.82817497436616,91.38025831475504,80.2245380501508,85.80044553717215,87.89098667113008,87.06900064243912,81.23126506096884,87.77107529529474,84.86987234224627,88.43439382935718,78.72582633407457,86.42031338379388,84.40720456196678,83.89518146478322,81.1018355237413,88.29018213281078,85.04910372846099,82.4138911942939,88.18682070529616,90.70343176668555,90.03168551233838,92.06150834181705,91.51067004914125,82.5006500015797,84.56922181875132,81.52067652378597,87.1821518157795,89.66491242153847,87.15260197236245,85.791287561599,92.39459876589045,92.14038659028293,91.37265014625295,86.98393330473262,86.64977527148355,84.85420246014897,87.267666923221,91.19890207479169,91.09341170379074,91.1404374625178,88.62341303802937,86.32801927202462,85.53880036854278,87.25082234081407,76.62280384680159,90.62609149092421,90.24599523268701,79.41915809841511,87.0058184375012,87.72264898269506,91.70437957499408,87.06922917221846,92.01329978974653,78.74379736801079,91.96605063845809,74.98862600189193,92.6725053116827,92.18445123740595,87.09493509069223,72.46835669068822,89.70568861341374,87.40585062024056,91.75718051080777,92.11719046491642,86.71806057612864,80.87992160776712,80.67064964411477,92.2118751900486,91.12684539319295,91.91277807306102,87.44766192994092,92.66314819965638,90.9239324076901
Episode feedback,0.8,0.28256512997738964,0.23753665619490716,0.22448979526387816,0.1884615377366864,0.12418300572429408,0.16343490259436316,0.12252964378446782,0.12840466876107132,0.0999999996,0.0436241609274357,0.07692307662721894,0.07720588206909602,0.07526881679963002,0.03906249989827474,0.055762081577092636,0.028673835022674427,0.02447552438994572,0.05479452039782323,0.0196078430603614,0.028880866321729724,0.03954802248715248,0.019920318645735784,0.019354838584807493,0.0,0.019736841975415514,0.01315789465027701,0.0057471264202668786,0.011320754674261304,0.008310249284459142,0.00401606424089934,0.0038167938785618554,0.0,0.0036630036495860674,0.0,0.00632911388399295,0.0,0.0037735848914204344,0.0,0.006097560957019631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042553191398823,0.0,0.0,0.0,0.0,0.0,0.00632911388399295,0.0037037036899862825,0.0,0.00255102040165556,0.0,0.0,0.0,0.0,0.0,0.0018018017985553122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,73.46074676513672,99.52683353424072,125.45172834396362,145.50401067733765,157.16249632835388,186.74622774124146,205.77848315238953,224.75969743728638,242.06966948509216,260.2697334289551,276.7698860168457,293.9407329559326,306.3042311668396,328.90192437171936,345.84726095199585,362.25491309165955,378.82906579971313,400.6445152759552,415.3736855983734,431.3607323169708,452.92241168022156,468.9552969932556,479.4174134731293,489.83173060417175,498.9911472797394,508.1367144584656,527.4624700546265,542.1731960773468,561.8277628421783,575.6493184566498,590.2356369495392,604.8282880783081,619.9417722225189,628.9574654102325,638.2386367321014,647.5235092639923,662.2092750072479,676.5474400520325,694.428763628006,709.1466479301453,718.5662410259247,727.6734161376953,737.3256545066833,751.9930996894836,766.1695909500122,781.5559527873993,796.4488348960876,821.5108885765076,831.4602897167206,841.477742433548,859.8810882568359,874.4639761447906,888.4489116668701,897.7233157157898,912.6289126873016,921.4806714057922,942.8552629947662,952.0905244350433,979.8123610019684,988.5190722942352,997.696469783783,1011.622790813446,1040.8762922286987,1050.8819496631622,1065.539381980896,1074.483740568161,1082.985225200653,1097.749142408371,1116.9118292331696,1138.5716636180878,1147.4152417182922,1156.8282363414764,1165.5262351036072,1180.1711621284485,1188.5659956932068,1198.142231464386
total minutes,0.0,1.2243457794189454,1.658780558904012,2.0908621390660604,2.425066844622294,2.619374938805898,3.112437129020691,3.429641385873159,3.745994957288106,4.034494491418203,4.337828890482585,4.612831433614095,4.899012215932211,5.1050705194473265,5.481698739528656,5.764121015866597,6.037581884860993,6.313817763328553,6.677408587932587,6.92289475997289,7.18934553861618,7.548706861337026,7.81592161655426,7.9902902245521545,8.163862176736195,8.316519121328989,8.468945240974426,8.791041167577108,9.036219934622446,9.36379604736964,9.59415530761083,9.837260615825652,10.080471467971801,10.332362870375315,10.482624423503875,10.637310612201691,10.792058487733206,11.036821250120799,11.275790667533874,11.573812727133433,11.819110798835755,11.976104017098745,12.127890268961588,12.288760908444722,12.53321832815806,12.769493182500204,13.025932546456655,13.274147248268127,13.691848142941792,13.857671495278677,14.024629040559132,14.331351470947265,14.574399602413177,14.807481861114502,14.96205526192983,15.210481878121694,15.358011190096537,15.714254383246104,15.868175407250723,16.330206016699474,16.47531787157059,16.628274496396383,16.86037984689077,17.347938203811644,17.514699161052704,17.7589896996816,17.908062342802683,18.049753753344216,18.295819040139516,18.61519715388616,18.976194393634795,19.123587361971538,19.280470605691274,19.425437251726787,19.669519368807475,19.809433261553448,19.9690371910731
cummulative feedback,0.0,282.0,363.0,440.0,489.0,508.0,567.0,598.0,631.0,656.0,669.0,689.0,710.0,724.0,739.0,754.0,762.0,769.0,789.0,794.0,802.0,816.0,821.0,824.0,824.0,827.0,829.0,831.0,834.0,837.0,838.0,839.0,839.0,840.0,840.0,841.0,841.0,842.0,842.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,846.0,846.0,846.0,846.0,846.0,846.0,847.0,848.0,848.0,849.0,849.0,849.0,849.0,849.0,849.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,341.0,343.0,260.0,153.0,361.0,253.0,257.0,250.0,298.0,260.0,272.0,186.0,384.0,269.0,279.0,286.0,365.0,255.0,277.0,354.0,251.0,155.0,167.0,152.0,152.0,348.0,265.0,361.0,249.0,262.0,267.0,273.0,158.0,158.0,160.0,265.0,263.0,328.0,270.0,162.0,158.0,169.0,261.0,250.0,282.0,274.0,470.0,175.0,177.0,344.0,262.0,252.0,158.0,270.0,152.0,392.0,159.0,524.0,150.0,160.0,252.0,555.0,177.0,264.0,157.0,147.0,267.0,357.0,406.0,152.0,165.0,151.0,266.0,147.0,166.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
