,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
Accumulated time steps,0.0,953.0,1233.0,1623.0,1902.0,2062.0,2327.0,2629.0,2899.0,3059.0,3213.0,3463.0,3608.0,3762.0,4019.0,4383.0,4535.0,4696.0,4951.0,5217.0,5377.0,5734.0,5982.0,6250.0,6544.0,6804.0,6950.0,7104.0,7367.0,7898.0,8055.0,8321.0,8492.0,8665.0,8882.0,9157.0,9426.0,9579.0,9731.0,9885.0,10029.0,10342.0,10500.0,10788.0,10952.0,11224.0,11518.0,11871.0,12022.0,12204.0,12377.0,12557.0,12816.0,13105.0,13353.0,13504.0,13756.0,13909.0,14057.0,14208.0,14548.0,14699.0,14855.0,15289.0,15438.0,15695.0,15844.0,15994.0,16146.0,16533.0,16774.0,17120.0,17383.0,17644.0,17900.0,18069.0,18428.0,18694.0,18953.0,19312.0,19567.0,19918.0,20085.0
Episode reward,0.0,41.73938299030741,85.17496010012663,80.659692712995,82.50113578542185,91.22131017495971,87.5920873010017,85.17787198390187,84.464266616537,91.01740223234592,90.97080908337249,87.21724755271146,91.86008520530756,90.40740572989583,86.68811672890051,81.64447227617245,92.12731284747564,91.07960517316414,86.04532199071801,86.64395012063991,89.89975588885684,84.9661798922948,88.82921707488352,85.95006002577931,84.3885258443031,85.42121458552727,92.88758894575938,92.6745267306276,87.62514792367604,81.43342889438806,92.12781791723364,87.1954611394305,91.65068415191737,91.07852198530617,91.69984384496408,85.56961792763727,84.04136719908372,91.07470066122167,90.96814084461559,91.13504036396272,91.88246955784282,86.11928419969304,92.13946666700157,84.88307003257631,92.1180068058152,90.84074396008928,86.98630374659953,82.61739436882839,92.2050906378225,90.21839503066975,90.90832086371972,90.09760034863538,86.99818256762107,83.75798262310013,88.580433682919,92.06379027801776,87.98631583014507,91.96140492627354,92.17054980200632,92.09394812295596,84.83580311931301,91.9863363494641,91.88259587427169,81.19400648617248,92.10357771240808,87.23737448800043,92.17408308350991,92.10650617580131,91.86099261477746,79.0536401842503,88.47256041066522,84.8135208577145,87.43738858487384,88.47974919630484,87.93461192644247,91.00642328960028,83.59319226059428,85.78784998473894,87.1388349473927,82.31488468896777,87.8117202125049,84.46995186842344,90.95235700318806
Episode feedback,0.8,0.3501577283384251,0.2903225796045786,0.20051413830202022,0.1618705030148543,0.1949685522329022,0.2196969688647842,0.14617940150770964,0.18215613315183593,0.11320754645781418,0.15032679640309285,0.1405622484314769,0.11805555473572532,0.07189542436669658,0.06640624974060058,0.08815426972960257,0.06622516512433665,0.049999999687500005,0.051181102160704324,0.030188679131363475,0.04402515695581662,0.04213483134231789,0.04858299575472472,0.022471910028195093,0.03412969271628091,0.019305019230482553,0.03448275838287753,0.032679738348498445,0.02671755714993299,0.0018867924492702028,0.012820512738330047,0.018867924457102173,0.01176470581314879,0.011627906909140076,0.004629629608196159,0.010948905069529544,0.022388059617955,0.006578947325138505,0.006622516512433666,0.0,0.006993006944104847,0.0,0.0,0.0034843205453507996,0.0,0.0036900368867526317,0.013651877086512365,0.0,0.0066666666222222224,0.0055248618479289404,0.0,0.0,0.01162790693167478,0.0,0.004048582979560393,0.0066666666222222224,0.003984063729147156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006756756711102995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,91.71119260787964,117.26109623908997,149.30340790748596,170.93549346923828,184.4429793357849,207.35859537124634,230.01766395568848,250.5927014350891,262.3717374801636,273.9157454967499,291.48440194129944,301.7843053340912,311.95214009284973,327.97552013397217,351.41826343536377,361.35615253448486,371.5398802757263,387.2404191493988,403.8455545902252,414.44485116004944,435.7943170070648,451.06960463523865,466.6578691005707,484.06068897247314,499.1664137840271,508.3045964241028,517.9667639732361,533.3897681236267,562.0710632801056,571.4988777637482,587.0540421009064,597.28355717659,607.48965716362,620.1091682910919,635.9698865413666,652.162841796875,661.3693807125092,671.0577251911163,681.037449836731,691.3835771083832,710.1168043613434,720.0356311798096,737.268581867218,747.9187388420105,763.771116733551,781.0915367603302,801.1609947681427,810.2851855754852,821.1256773471832,831.4161496162415,842.2784643173218,857.3585214614868,874.0238516330719,887.9737064838409,897.2055041790009,911.6097989082336,920.6254661083221,929.3862392902374,938.2184982299805,957.5992021560669,966.6658623218536,975.8891489505768,999.6999411582947,1008.3566129207611,1023.1081373691559,1032.2128870487213,1041.2568690776825,1050.3395133018494,1071.931313276291,1085.381798505783,1104.277360200882,1119.2141225337982,1134.2053091526031,1148.672059059143,1158.6458382606506,1178.7757222652435,1194.0262939929962,1208.6676154136658,1228.7207279205322,1243.5061695575714,1264.0738534927368,1274.3706221580505
total minutes,0.0,1.528519876797994,1.9543516039848328,2.4883901317914328,2.8489248911539713,3.0740496555964154,3.4559765895207724,3.833627732594808,4.176545023918152,4.37286229133606,4.565262424945831,4.858073365688324,5.029738422234853,5.1992023348808285,5.4662586688995365,5.856971057256063,6.0226025422414144,6.192331337928772,6.454006985823313,6.730759243170421,6.907414186000824,7.263238616784414,7.5178267439206445,7.777631151676178,8.06767814954122,8.319440229733784,8.471743273735047,8.632779399553934,8.889829468727111,9.367851054668426,9.52498129606247,9.784234035015107,9.954725952943166,10.124827619393667,10.335152804851532,10.599498109022777,10.869380696614583,11.022823011875152,11.184295419851939,11.350624163945517,11.523059618473052,11.835280072689056,12.000593852996825,12.287809697786967,12.465312314033508,12.729518612225851,13.018192279338837,13.352683246135712,13.504753092924753,13.685427955786388,13.856935826937358,14.037974405288697,14.28930869102478,14.567064193884532,14.799561774730682,14.953425069650015,15.19349664847056,15.343757768472036,15.48977065483729,15.636974970499674,15.959986702601116,16.111097705364227,16.26481914917628,16.661665685971577,16.805943548679352,17.05180228948593,17.20354811747869,17.354281151294707,17.505658555030823,17.865521887938183,18.08969664176305,18.4046226700147,18.653568708896636,18.903421819210052,19.144534317652383,19.310763971010843,19.64626203775406,19.900438233216605,20.14446025689443,20.47867879867554,20.725102825959524,21.06789755821228,21.23951036930084
cummulative feedback,0.0,333.0,414.0,492.0,537.0,568.0,626.0,670.0,719.0,737.0,760.0,795.0,812.0,823.0,840.0,872.0,882.0,890.0,903.0,911.0,918.0,933.0,945.0,951.0,961.0,966.0,971.0,976.0,983.0,984.0,986.0,991.0,993.0,995.0,996.0,999.0,1005.0,1006.0,1007.0,1007.0,1008.0,1008.0,1008.0,1009.0,1009.0,1010.0,1014.0,1014.0,1015.0,1016.0,1016.0,1016.0,1019.0,1019.0,1020.0,1021.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1022.0,1023.0,1023.0,1023.0,1023.0,1023.0,1023.0,1023.0,1023.0,1023.0,1023.0,1023.0,1023.0,1023.0,1023.0,1023.0,1023.0,1023.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,951.0,279.0,389.0,278.0,159.0,264.0,301.0,269.0,159.0,153.0,249.0,144.0,153.0,256.0,363.0,151.0,160.0,254.0,265.0,159.0,356.0,247.0,267.0,293.0,259.0,145.0,153.0,262.0,530.0,156.0,265.0,170.0,172.0,216.0,274.0,268.0,152.0,151.0,153.0,143.0,312.0,157.0,287.0,163.0,271.0,293.0,352.0,150.0,181.0,172.0,179.0,258.0,288.0,247.0,150.0,251.0,152.0,147.0,150.0,339.0,150.0,155.0,433.0,148.0,256.0,148.0,149.0,151.0,386.0,240.0,345.0,262.0,260.0,255.0,168.0,358.0,265.0,258.0,358.0,254.0,350.0,166.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
