,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
Accumulated time steps,0.0,781.0,1115.0,1516.0,2515.0,3124.0,4123.0,5122.0,5289.0,5948.0,6410.0,7409.0,8408.0,8717.0,9397.0,9927.0,10098.0,10345.0,10753.0,11087.0,11571.0,11998.0,12379.0,12711.0,12859.0,13037.0,13331.0,13532.0,13991.0,14229.0,14484.0,14709.0,14849.0,15099.0,15371.0,15778.0,16021.0,16366.0,16621.0,17063.0,17222.0,17495.0,17860.0,18027.0,18180.0,18350.0,18606.0,19110.0,19365.0,19618.0,19888.0,20146.0
Episode reward,0.0,52.18268006160542,76.48387168394893,79.76161001908397,-60.30290147060321,63.84147380867523,-73.5306245692956,-84.54037198960732,88.86837442936323,49.09523357077963,67.72713836966501,-29.5853728754352,-35.67326763609198,88.97572825219953,74.85191857419287,79.77263726404584,92.10239143412113,90.58366699152188,86.7106957341219,87.88938081918417,81.14713058472181,84.67279760310296,82.34910119831227,84.26387717830455,93.35036322131803,90.45783996486003,90.18520029535352,89.85294893753984,82.07328620871915,89.02226724431183,88.2410063682743,91.74175358118761,94.13078954401149,88.3176702898167,85.82673701151474,87.77062464646664,91.23434700777973,87.43200073360944,89.79102928707769,84.34065127388473,92.38877809342446,86.06199042473554,83.22374619504839,91.97671507794377,93.04419365131871,91.72285278201255,88.26843774234149,76.76483257924065,88.25079045661852,88.18258202497591,86.03218347274017,87.86392710394483
Episode feedback,0.8,0.3260590496456238,0.27027026945864785,0.2849999992875,0.16132264512893524,0.12664473663380799,0.10320641272223806,0.05911823641370918,0.06626505984177675,0.037993920914902855,0.04121475045289642,0.024048096168288482,0.01803607212621636,0.0064935064724236805,0.0058910161916185325,0.00945179582334254,0.005882352906574395,0.0,0.004914004901931192,0.009009008981954928,0.0,0.004694835669730433,0.002631578940443213,0.006042296054252882,0.0,0.0,0.003412969271628091,0.0,0.0,0.0,0.0,0.004464285694355867,0.0,0.0,0.0,0.0024630541811254823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,72.871022939682,103.69463300704956,138.835444688797,210.2733178138733,251.09447932243347,315.8846893310547,383.0222406387329,394.93781781196594,436.61775159835815,466.6990444660187,525.1466059684753,581.7737650871277,599.6340277194977,636.9779834747314,666.7844407558441,676.8009498119354,690.9746360778809,713.5831391811371,732.4657905101776,758.7227551937103,782.8094298839569,803.8370153903961,822.6809911727905,831.4886927604675,841.8769035339355,858.5782480239868,870.0824687480927,895.2738969326019,908.9143958091736,923.396290063858,936.0456855297089,944.4899072647095,958.7754929065704,973.8701357841492,996.7413156032562,1010.9701135158539,1030.24604845047,1044.4149947166443,1068.6443424224854,1077.7842693328857,1093.2102768421173,1113.3426401615143,1123.0321543216705,1131.866364479065,1141.998193025589,1156.6938924789429,1184.3359215259552,1198.9898538589478,1213.4281313419342,1228.752434015274,1243.6179597377777
total minutes,0.0,1.2145170489947001,1.728243883450826,2.313924078146617,3.5045552968978884,4.1849079887072245,5.2647448221842446,6.383704010645548,6.582296963532766,7.276962526639303,7.778317407766978,8.752443432807922,9.696229418118795,9.993900461991627,10.616299724578857,11.113074012597401,11.280015830198924,11.516243934631348,11.893052319685617,12.207763175169626,12.645379253228505,13.046823831399282,13.397283589839935,13.711349852879842,13.858144879341125,14.031281725565593,14.309637467066446,14.501374479134878,14.921231615543366,15.148573263486226,15.389938167730968,15.600761425495147,15.741498454411824,15.97959154844284,16.23116892973582,16.61235526005427,16.8495018919309,17.1707674741745,17.406916578610737,17.810739040374756,17.963071155548096,18.220171280701955,18.55571066935857,18.71720257202784,18.864439407984417,19.03330321709315,19.278231541315716,19.738932025432586,19.983164230982464,20.223802189032238,20.4792072335879,20.72696599562963
cummulative feedback,0.0,254.0,344.0,458.0,619.0,696.0,799.0,858.0,869.0,894.0,913.0,937.0,955.0,957.0,961.0,966.0,967.0,967.0,969.0,972.0,972.0,974.0,975.0,977.0,977.0,977.0,978.0,978.0,978.0,978.0,978.0,979.0,979.0,979.0,979.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,779.0,333.0,400.0,998.0,608.0,998.0,998.0,166.0,658.0,461.0,998.0,998.0,308.0,679.0,529.0,170.0,246.0,407.0,333.0,483.0,426.0,380.0,331.0,147.0,177.0,293.0,200.0,458.0,237.0,254.0,224.0,139.0,249.0,271.0,406.0,242.0,344.0,254.0,441.0,158.0,272.0,364.0,166.0,152.0,169.0,255.0,503.0,254.0,252.0,269.0,257.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
