,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
Accumulated time steps,0.0,681.0,957.0,1326.0,1585.0,1837.0,2103.0,2641.0,2795.0,2947.0,3200.0,3352.0,3615.0,3969.0,4228.0,4678.0,4927.0,5082.0,5436.0,5595.0,5857.0,6137.0,6574.0,6832.0,6981.0,7129.0,7477.0,7741.0,8170.0,8421.0,8852.0,9096.0,9252.0,9496.0,9741.0,10003.0,10260.0,10404.0,10647.0,10793.0,11061.0,11316.0,11563.0,11919.0,12184.0,12443.0,12706.0,12868.0,13022.0,13174.0,13428.0,13671.0,14039.0,14201.0,14355.0,14626.0,14776.0,15040.0,15185.0,15440.0,15601.0,15856.0,16104.0,16448.0,16602.0,16857.0,17104.0,17255.0,17404.0,17557.0,17897.0,18166.0,18420.0,18576.0,18835.0,19095.0,19364.0,19514.0,19767.0,19944.0,20211.0
Episode reward,0.0,63.33388442399495,84.62041009700012,80.00113132273127,86.71162077565593,86.67236411950623,86.11996723268095,71.162214821045,91.49566240306928,91.92763003099645,86.19982256697926,91.94812597364617,86.39469706323415,81.60207630373212,87.01825244347215,75.51135977556045,86.4187772320585,92.15572476267062,81.39190957683168,91.38019634391216,85.23180750576834,83.62245686529101,78.33387498993356,85.85117024039903,92.275699605472,92.37326335971224,82.27983705051375,85.32055482122564,80.06315341158216,87.74998686395502,78.50978457738472,89.61017438216695,91.84353766815768,87.95940927578002,87.91637184551806,87.00256389571935,86.15410616797521,92.70333259348416,88.315289988524,91.81194115470383,84.99299827543382,86.7220359567184,88.17754276164271,83.984427890748,86.46963173857058,86.52248333082476,85.71443350852505,91.23495575875914,91.87967564444358,91.64221044432887,87.54956162617255,87.36997854932707,83.9102998223322,91.39844424154023,91.73834745211421,84.60974450409557,91.42768675815086,85.42064684870607,92.16599053401455,86.93813011759275,90.83906446757808,86.63959937672655,88.07535399708716,82.7482651466467,91.61985459850689,86.63696585953096,87.14449574703426,91.60539388232397,91.64513842676429,90.76663768382551,81.28978956272377,87.10818991471236,87.31979635665371,91.91319410762804,87.9836529027088,86.631924978869,86.14299883655733,91.73396030497007,87.16910241026517,89.5283174218442,85.73517369352143
Episode feedback,0.8,0.3490427093533981,0.2618181808661157,0.16032608652085303,0.14728682113454722,0.13147410306185617,0.10566037695977216,0.11173184336735224,0.06535947669699689,0.06622516512433665,0.06746031719261779,0.07284768163677033,0.0687022898141134,0.06232294599908514,0.06201550363559882,0.020044543385201462,0.04838709657908429,0.0194805193540226,0.022662889454212777,0.0379746833039577,0.019157088049206558,0.017921146889171517,0.020642201787517887,0.019455252842586566,0.0,0.00680272104215836,0.02017291060468902,0.015209125417455798,0.004672897185343698,0.011999999952,0.0023255813899405084,0.0,0.012903225723204995,0.0,0.00819672127788229,0.0038314176098413117,0.011718749954223633,0.006993006944104847,0.004132231387883341,0.0,0.0,0.0,0.008130081267763897,0.005633802801031542,0.0,0.0038759689772249264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006944444396219137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,71.79373574256897,100.57883906364441,131.28808307647705,151.71453213691711,170.89674162864685,190.76445388793945,228.01314568519592,238.6155548095703,249.2126247882843,265.8699278831482,276.1694121360779,292.8879466056824,314.85400104522705,331.2878203392029,356.9984393119812,372.47427797317505,381.9775552749634,402.4273409843445,412.2675931453705,427.70923376083374,443.96491980552673,468.9550185203552,484.19925022125244,492.95213747024536,501.76814126968384,521.6593337059021,537.4012973308563,560.8752694129944,575.1891770362854,598.7174870967865,612.4597845077515,621.8578851222992,635.8746876716614,650.0875091552734,664.9238653182983,679.579098701477,688.2271904945374,701.9762616157532,710.6383969783783,725.606773853302,739.75838971138,754.1133282184601,773.5646166801453,788.64102435112,803.1416583061218,817.7007682323456,827.0591592788696,836.1716198921204,845.0264847278595,859.2384836673737,872.9047410488129,893.2352573871613,902.8158128261566,911.8292257785797,926.8519051074982,935.8239603042603,950.5806045532227,959.3639330863953,973.6003727912903,983.2089805603027,998.2937903404236,1012.9860849380493,1032.987369298935,1042.5170829296112,1057.660647392273,1072.5576713085175,1081.9718163013458,1091.0918238162994,1101.412759065628,1122.3082060813904,1138.6067762374878,1154.2242136001587,1164.0620079040527,1178.9843754768372,1195.163292169571,1211.3701713085175,1220.5678133964539,1235.1025705337524,1245.604742050171,1260.8895056247711
total minutes,0.0,1.1965622623761496,1.6763139843940735,2.188134717941284,2.528575535615285,2.8482790271441143,3.179407564798991,3.8002190947532655,3.9769259134928387,4.153543746471405,4.431165464719137,4.602823535601298,4.881465776761373,5.247566684087118,5.521463672320048,5.94997398853302,6.207904632886251,6.366292587916056,6.707122349739075,6.871126552422841,7.128487229347229,7.399415330092112,7.8159169753392534,8.06998750368754,8.215868957837422,8.36280235449473,8.694322228431702,8.956688288847605,9.34792115688324,9.58648628393809,9.978624784946442,10.207663075129192,10.364298085371653,10.597911461194355,10.834791819254557,11.082064421971639,11.326318311691285,11.470453174908956,11.699604360262553,11.843973282972971,12.093446230888366,12.329306495189666,12.568555470307668,12.892743611335755,13.144017072518666,13.38569430510203,13.62834613720576,13.784319321314493,13.936193664868673,14.083774745464325,14.320641394456228,14.548412350813548,14.887254289786021,15.046930213769278,15.19715376297633,15.447531751791637,15.597066005071005,15.843010075887044,15.989398884773255,16.22667287985484,16.38681634267171,16.63822983900706,16.883101415634155,17.21645615498225,17.37528471549352,17.62767745653788,17.87596118847529,18.03286360502243,18.18486373027166,18.356879317760466,18.705136768023173,18.97677960395813,19.23707022666931,19.401033465067545,19.649739591280618,19.91938820282618,20.189502855141956,20.342796889940896,20.585042842229207,20.760079034169515,21.014825093746186
cummulative feedback,0.0,237.0,309.0,368.0,406.0,439.0,467.0,527.0,537.0,547.0,564.0,575.0,593.0,615.0,631.0,640.0,652.0,655.0,663.0,669.0,674.0,679.0,688.0,693.0,693.0,694.0,701.0,705.0,707.0,710.0,711.0,711.0,713.0,713.0,715.0,716.0,719.0,720.0,721.0,721.0,721.0,721.0,723.0,725.0,725.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,727.0,727.0,727.0,727.0,727.0,727.0,727.0,727.0,727.0,727.0,727.0,727.0,727.0,727.0,727.0,727.0,727.0,727.0,727.0,727.0,727.0,727.0,727.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,679.0,275.0,368.0,258.0,251.0,265.0,537.0,153.0,151.0,252.0,151.0,262.0,353.0,258.0,449.0,248.0,154.0,353.0,158.0,261.0,279.0,436.0,257.0,148.0,147.0,347.0,263.0,428.0,250.0,430.0,243.0,155.0,243.0,244.0,261.0,256.0,143.0,242.0,145.0,267.0,254.0,246.0,355.0,264.0,258.0,262.0,161.0,153.0,151.0,253.0,242.0,367.0,161.0,153.0,270.0,149.0,263.0,144.0,254.0,160.0,254.0,247.0,343.0,153.0,254.0,246.0,150.0,148.0,152.0,339.0,268.0,253.0,155.0,258.0,259.0,268.0,149.0,252.0,176.0,266.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
