,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
Accumulated time steps,0.0,1000.0,1330.0,1633.0,2005.0,2363.0,2625.0,2791.0,3144.0,3497.0,3658.0,3818.0,4160.0,4449.0,4821.0,4975.0,5226.0,5576.0,5883.0,6137.0,6580.0,6827.0,7007.0,7163.0,7332.0,7687.0,7844.0,8200.0,8444.0,8797.0,8958.0,9107.0,9545.0,9980.0,10143.0,10497.0,10927.0,11082.0,11239.0,11484.0,11814.0,12053.0,12422.0,12576.0,12828.0,13088.0,13346.0,13592.0,13853.0,14216.0,14576.0,14834.0,15176.0,15670.0,16019.0,16292.0,16650.0,17005.0,17337.0,17579.0,17848.0,18011.0,18262.0,18430.0,18767.0,19038.0,19313.0,19477.0,19729.0,19971.0,20128.0
Episode reward,0.0,-61.21529694098969,79.08376056607838,80.74976288599379,79.78614322948783,80.24304876381333,85.67964553979763,90.22906978821797,81.09784665177925,79.2230408118692,91.29137027190043,91.61693318271911,80.56297025420342,82.08720342203,79.91209889078019,91.30512027532593,88.41591717861026,82.20326552972963,81.20967073176226,87.43502551806942,78.2681951297413,88.64592350062459,90.05887796039072,91.67416244719114,91.26486610039986,80.8059222011334,91.48880857028576,79.43656614376627,88.90654266096746,82.22844668060748,91.21971528826185,92.32779686068262,78.26200188865847,76.5840729968279,91.38549834400852,83.9771379270224,80.61889061574239,92.07460981657951,91.57545386083045,87.48949352962869,85.42742573834181,89.81987496502866,81.2994801831205,92.70859311264073,86.84205549865412,84.90202142830499,86.19853895313702,87.73236284643554,86.31785432774528,82.40493058339811,82.49117927925366,87.47913980702133,85.44506992094347,76.57306545463368,83.19112855472645,86.9099436253366,83.97727376189648,82.22439203674618,85.25758268287468,88.36020283926622,88.10839013837351,91.14794637300895,87.66289148585082,90.41034781958598,82.82469199659162,87.29478849895463,85.2373429813502,91.19716310983867,87.17341922775591,89.53296619696796,91.47119126057208
Episode feedback,0.8,0.20841683345850018,0.2583586618286971,0.17880794642778824,0.1455525602545753,0.1484593833376488,0.08045976980666755,0.10303030240587696,0.07102272707095816,0.062499999822443184,0.0812499994921875,0.03144654068272616,0.0791788853983024,0.04861111094232253,0.03234501338990563,0.019607843009099065,0.027999999888,0.022922636037470957,0.026143790764235977,0.015810276617350686,0.009049773735181508,0.008130081267763897,0.02793296073780469,0.012903225723204995,0.01785714275085034,0.02542372874174088,0.006410256369165024,0.014084507002578853,0.008230452641026944,0.005681818165676653,0.006249999960937501,0.006756756711102995,0.002288329514214349,0.0023041474601286924,0.012345678936137784,0.005665722363553194,0.004662004651137518,0.0,0.006410256369165024,0.0,0.003039513668572907,0.004201680654614787,0.0,0.0,0.003984063729147156,0.0,0.0,0.0,0.0,0.005524861863190989,0.0,0.003891050568517313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,78.33800506591797,109.44039845466614,134.61803555488586,162.33841013908386,188.7032015323639,206.10185146331787,217.8826823234558,240.26726770401,262.43092489242554,273.2358341217041,283.19786310195923,304.92634892463684,322.54785919189453,344.682980298996,354.23660469055176,369.0070171356201,389.29540157318115,407.12462759017944,421.83846163749695,446.73918294906616,460.9718737602234,472.0175054073334,481.4023451805115,491.63285875320435,511.9158573150635,521.229866027832,541.2537925243378,555.3644406795502,575.1500287055969,584.5648055076599,593.3256185054779,617.3233625888824,641.244916677475,650.9786655902863,670.5930731296539,694.12482380867,703.2490386962891,712.4864885807037,726.4054865837097,744.6365942955017,758.3566863536835,778.6342561244965,787.5176522731781,802.0895516872406,816.8499166965485,831.7442235946655,845.8491623401642,860.9248652458191,881.5705275535583,902.1603784561157,917.6693620681763,937.269091129303,964.8315527439117,984.5899610519409,1000.2388005256653,1020.0707714557648,1039.9646377563477,1058.1978800296783,1072.0265700817108,1087.7045662403107,1097.6231245994568,1111.9446475505829,1121.7176814079285,1141.0931792259216,1156.3909726142883,1171.8652906417847,1181.6827175617218,1196.0041720867157,1209.921905040741,1219.2199144363403
total minutes,0.0,1.3056334177652995,1.8240066409111022,2.2436339259147644,2.705640168984731,3.1450533588727314,3.4350308577219644,3.6313780387242636,4.0044544617335,4.3738487482070925,4.553930568695068,4.719964385032654,5.082105815410614,5.3757976531982425,5.744716338316599,5.9039434115091955,6.150116952260335,6.4882566928863525,6.785410459836324,7.030641027291616,7.445653049151103,7.68286456267039,7.866958423455556,8.02337241967519,8.193880979220072,8.531930955251058,8.6871644337972,9.020896542072297,9.256074011325836,9.585833811759949,9.742746758461,9.888760308424631,10.288722709814708,10.687415277957916,10.84964442650477,11.176551218827566,11.568747063477835,11.720817311604817,11.874774809678396,12.106758109728496,12.410609904925028,12.639278105894725,12.977237602074942,13.125294204552969,13.368159194787344,13.614165278275808,13.862403726577758,14.097486039002737,14.348747754096985,14.69284212589264,15.036006307601928,15.294489367802937,15.621151518821716,16.080525879065195,16.409832684199014,16.670646675427754,17.001179524262746,17.332743962605793,17.63663133382797,17.867109501361846,18.12840943733851,18.29371874332428,18.532410792509715,18.69529469013214,19.01821965376536,19.273182876904805,19.531088177363078,19.69471195936203,19.93340286811193,20.16536508401235,20.32033190727234
cummulative feedback,0.0,208.0,293.0,347.0,401.0,454.0,475.0,492.0,517.0,539.0,552.0,557.0,584.0,598.0,610.0,613.0,620.0,628.0,636.0,640.0,644.0,646.0,651.0,653.0,656.0,665.0,666.0,671.0,673.0,675.0,676.0,677.0,678.0,679.0,681.0,683.0,685.0,685.0,686.0,686.0,687.0,688.0,688.0,688.0,689.0,689.0,689.0,689.0,689.0,691.0,691.0,692.0,692.0,692.0,692.0,692.0,692.0,692.0,692.0,692.0,692.0,692.0,692.0,692.0,692.0,692.0,692.0,692.0,692.0,692.0,692.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,329.0,302.0,371.0,357.0,261.0,165.0,352.0,352.0,160.0,159.0,341.0,288.0,371.0,153.0,250.0,349.0,306.0,253.0,442.0,246.0,179.0,155.0,168.0,354.0,156.0,355.0,243.0,352.0,160.0,148.0,437.0,434.0,162.0,353.0,429.0,154.0,156.0,244.0,329.0,238.0,368.0,153.0,251.0,259.0,257.0,245.0,260.0,362.0,359.0,257.0,341.0,493.0,348.0,272.0,357.0,354.0,331.0,241.0,268.0,162.0,250.0,167.0,336.0,270.0,274.0,163.0,251.0,241.0,156.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
