,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
Accumulated time steps,0.0,166.0,653.0,1038.0,1393.0,1668.0,1836.0,2094.0,2366.0,2904.0,3248.0,3419.0,3785.0,3941.0,4096.0,4383.0,4530.0,4788.0,4944.0,5282.0,5647.0,5801.0,5958.0,6310.0,6562.0,6710.0,6955.0,7482.0,7636.0,7781.0,7974.0,8317.0,8580.0,8746.0,9082.0,9359.0,9610.0,9865.0,10118.0,10381.0,10634.0,10884.0,11149.0,11503.0,11747.0,11895.0,12164.0,12445.0,12595.0,12747.0,13028.0,13285.0,13545.0,13809.0,14059.0,14310.0,14477.0,14630.0,14976.0,15138.0,15291.0,15606.0,15963.0,16310.0,16594.0,16946.0,17209.0,17362.0,17615.0,17869.0,18221.0,18385.0,18543.0,18795.0,19067.0,19216.0,19486.0,19740.0,19894.0,20141.0
Episode reward,0.0,90.9018666826378,74.56281360229373,79.68077969326413,80.99443279724623,84.71931181600945,90.49870814610783,86.4812686947148,84.71384481743272,70.99925852401789,81.56463908280732,89.70051318480142,80.2743322828687,91.43725509865166,91.78917528605268,83.78781283704649,92.2764451380627,87.73165972352845,91.36647438322753,83.74563995106784,81.82985477986642,91.9322619183206,91.01186077572413,80.09021389990244,88.61025784185412,92.19546496848746,86.33921195567399,70.4124827729733,91.75230707591491,92.89570474699818,88.80101405594043,82.46827295310607,85.97728662281972,89.83970070003915,81.8895708926151,85.83098020560506,86.85847412490284,86.37917436335461,85.73884455217602,85.15394100729495,85.91965628974172,86.04109985053518,84.70729901987002,81.1269151836511,87.71572149064328,91.64016706260723,87.01407961065114,84.91124630865323,92.33298079235942,92.15810545571658,88.27460387621998,87.82133027056877,86.84829169797274,85.9821121254913,87.16037676073415,87.16074711541529,90.2423909663323,91.66843263332724,82.09911728604231,90.84007558375367,91.5442794797058,84.38222015973963,83.96520255285162,84.02358814028982,87.61845149672475,85.12664247058044,86.51074775050553,91.72254822804142,87.02746548391397,87.30254533468204,81.63397928296217,90.83059891387012,91.19808948292666,86.88614540802064,85.82899885956813,91.95407749453163,85.78957481199126,87.05410273290036,92.31018234405929,88.46988029343498
Episode feedback,0.8,0.3780487781826294,0.3868312749242155,0.22135416609022351,0.1299435024577867,0.14963503595023708,0.15568862182222382,0.13229571932958864,0.15498154924361052,0.07076350079932309,0.11953352734829875,0.06470588197231834,0.07671232855695252,0.06451612861602497,0.06493506451340868,0.03846153832705756,0.08904109528054044,0.05058365739072507,0.02580645144640999,0.03857566754131849,0.04395604383528559,0.06535947669699689,0.03205128184582512,0.025641025567974287,0.02390438237488294,0.02040816312647508,0.03278688511152916,0.009505703403981552,0.006535947669699688,0.013888888792438273,0.010416666612413195,0.014619882998187476,0.0,0.0,0.0029850746179550013,0.0,0.003999999984,0.007874015717031434,0.0,0.0038167938785618554,0.003968253952506929,0.0,0.003787878773530762,0.002832861181776597,0.0,0.0,0.0,0.0,0.0,0.006622516512433666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,13.773192644119263,63.160999059677124,94.4341368675232,119.46977496147156,139.54441237449646,152.2560052871704,170.63311433792114,190.41164898872375,224.12962317466736,247.43056416511536,258.57260274887085,282.44542026519775,292.79388642311096,303.03778648376465,320.10440325737,330.20197081565857,346.1017837524414,355.938853263855,375.9622814655304,398.31707739830017,408.6815502643585,418.5342466831207,439.1200966835022,454.1180729866028,463.1933560371399,478.7629659175873,510.7499039173126,520.3141734600067,529.381786108017,541.0250632762909,560.9829766750336,576.6402342319489,586.6434841156006,605.8477520942688,622.2170522212982,637.1402273178101,652.1120946407318,666.5301620960236,681.8040261268616,696.389630317688,710.6868009567261,726.0034415721893,746.1067283153534,759.8391065597534,768.6931297779083,783.8651576042175,799.5554733276367,808.5275008678436,817.6619279384613,833.4318754673004,847.9205090999603,862.2693424224854,877.2588846683502,891.4945471286774,905.7516248226166,915.5036706924438,924.5545089244843,943.436671257019,952.8265714645386,961.8069727420807,979.2612962722778,999.0100784301758,1018.1822896003723,1034.1488773822784,1053.719614982605,1068.474952697754,1077.7731993198395,1092.1295771598816,1106.2562637329102,1125.9859595298767,1135.6470472812653,1144.912584066391,1159.3579335212708,1174.5536935329437,1183.6474096775055,1199.1044130325317,1213.612135887146,1222.7190897464752,1236.6923551559448
total minutes,0.0,0.22955321073532103,1.0526833176612853,1.5739022811253867,1.9911629160245259,2.3257402062416075,2.5376000881195067,2.843885238965352,3.173527483145396,3.7354937195777893,4.123842736085256,4.309543379147848,4.707423671086629,4.879898107051849,5.050629774729411,5.335073387622833,5.503366180260977,5.76836306254069,5.932314221064249,6.266038024425507,6.6386179566383365,6.811359171072642,6.975570778052012,7.31866827805837,7.568634549776713,7.719889267285665,7.9793827652931215,8.512498398621878,8.671902891000112,8.823029768466949,9.017084387938182,9.349716277917226,9.61067057053248,9.777391401926677,10.09746253490448,10.370284203688303,10.619003788630168,10.868534910678864,11.108836034933725,11.363400435447693,11.606493838628133,11.844780015945435,12.100057359536489,12.435112138589224,12.663985109329223,12.811552162965139,13.064419293403626,13.325924555460611,13.475458347797394,13.627698798974356,13.890531257788341,14.13200848499934,14.371155707041423,14.620981411139171,14.858242452144623,15.095860413710277,15.25839451154073,15.409241815408071,15.723944520950317,15.88044285774231,16.03011621236801,16.321021604537965,16.650167973836265,16.96970482667287,17.235814623037975,17.561993583043417,17.807915878295898,17.962886655330657,18.20215961933136,18.4376043955485,18.766432658831278,18.927450788021087,19.081876401106516,19.322632225354514,19.57589489221573,19.727456827958424,19.985073550542197,20.226868931452433,20.378651495774587,20.61153925259908
cummulative feedback,0.0,62.0,250.0,335.0,381.0,422.0,448.0,482.0,524.0,562.0,603.0,614.0,642.0,652.0,662.0,673.0,686.0,699.0,703.0,716.0,732.0,742.0,747.0,756.0,762.0,765.0,773.0,778.0,779.0,781.0,783.0,788.0,788.0,788.0,789.0,789.0,790.0,792.0,792.0,793.0,794.0,794.0,795.0,796.0,796.0,796.0,796.0,796.0,796.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0,797.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,164.0,486.0,384.0,354.0,274.0,167.0,257.0,271.0,537.0,343.0,170.0,365.0,155.0,154.0,286.0,146.0,257.0,155.0,337.0,364.0,153.0,156.0,351.0,251.0,147.0,244.0,526.0,153.0,144.0,192.0,342.0,262.0,165.0,335.0,276.0,250.0,254.0,252.0,262.0,252.0,249.0,264.0,353.0,243.0,147.0,268.0,280.0,149.0,151.0,280.0,256.0,259.0,263.0,249.0,250.0,166.0,152.0,345.0,161.0,152.0,314.0,356.0,346.0,283.0,351.0,262.0,152.0,252.0,253.0,351.0,163.0,157.0,251.0,271.0,148.0,269.0,253.0,153.0,246.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
