,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
Accumulated time steps,0.0,1000.0,1862.0,2014.0,2182.0,2345.0,2524.0,2879.0,3188.0,3446.0,3706.0,3862.0,4219.0,4385.0,4562.0,4872.0,5120.0,5371.0,5705.0,5864.0,6118.0,6289.0,6446.0,6599.0,6852.0,7291.0,7461.0,7630.0,7900.0,8304.0,8475.0,8733.0,8890.0,9433.0,9695.0,9847.0,10001.0,10152.0,10402.0,10554.0,10896.0,11157.0,11409.0,11566.0,11721.0,12005.0,12258.0,12617.0,12872.0,13247.0,13603.0,13764.0,13917.0,14186.0,14346.0,14601.0,14759.0,15022.0,15187.0,15344.0,15613.0,15865.0,16206.0,16476.0,16632.0,16813.0,17155.0,17430.0,17583.0,17938.0,18100.0,18249.0,18521.0,18787.0,19178.0,19362.0,19712.0,19869.0,20151.0
Episode reward,0.0,-59.65775687635158,47.6720432227054,90.6275403229833,89.89981863430691,90.80295733981495,90.35440553164355,80.57989085162728,80.22739786603564,86.90537114149527,86.8960049672977,91.34026880147727,80.57028388475425,91.24043556187021,89.70347431222945,85.23767241563459,86.81716147039444,87.26329273712969,83.8475724740772,92.50198388217709,86.56160902831459,90.99552172874878,91.65150878582592,91.80244058285142,86.3946591395597,79.76927107847114,91.32726079483007,90.78598186924262,86.80500374499039,80.62202867315321,90.71824246393832,87.03013801620743,92.0706628153886,72.92887469453424,86.3259006609026,92.31604567515264,91.62311175831348,92.14436795306618,87.29674656494785,91.57587649266803,80.71077958822156,87.73692622951087,86.71589636178739,91.49577883097018,91.66544720079743,83.74316432691877,88.36448996442519,82.88388080776467,88.13183966945235,81.51244127254051,81.81733643483496,91.42138594202389,91.40954390389152,85.69567176051984,91.10173392615457,86.57294832605804,91.34757669313689,85.36924751223268,90.51233056916666,91.26497036812704,86.17691489832818,87.58850488536757,83.26519374420542,85.3721429105647,91.4392079201811,88.70057096283622,82.80874744064059,85.90569918591655,91.7111556430063,83.83232351300879,91.02035038069089,91.60676668884346,86.01223473746991,86.0501247099993,79.44684523177136,88.30279189112944,81.2706339769523,90.84135430092647,85.96693430921704
Episode feedback,0.8,0.2394789576758728,0.255516840585927,0.1324503302486733,0.14371257398974507,0.13580246829751563,0.129213482420149,0.1129943499632928,0.09090909061393153,0.10505836534996744,0.08108108076802671,0.08387096720083247,0.08988764019694483,0.0787878783103765,0.03977272704674587,0.042071197274850494,0.03643724681604354,0.015999999936,0.02102102095789483,0.03164556941996475,0.015810276617350686,0.02352941162629758,0.012820512738330047,0.02631578930055402,0.015873015810027716,0.01598173512332937,0.041420118098105814,0.01785714275085034,0.011152416315418526,0.004962779144012955,0.005882352906574395,0.003891050568517313,0.012820512738330047,0.009225092233902044,0.0,0.0,0.006535947669699688,0.0,0.00401606424089934,0.0,0.00879765393314471,0.0,0.0,0.0,0.0,0.0,0.003968253952506929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037313432696591668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,77.53369641304016,142.84253692626953,153.3248369693756,165.00852751731873,175.93951678276062,187.64644026756287,209.478098154068,228.21889901161194,244.27896332740784,259.9469814300537,269.7159082889557,291.00584840774536,301.35830521583557,311.69758319854736,329.1293320655823,343.34753489494324,357.3536515235901,375.48041105270386,384.8713116645813,398.76288533210754,408.70140528678894,417.77477645874023,426.64592480659485,440.75159978866577,464.32555055618286,474.3500463962555,483.9917411804199,498.8938498497009,520.5816259384155,530.4169182777405,544.3288793563843,553.3950891494751,582.0279812812805,596.4662182331085,605.1565184593201,613.9486122131348,622.5121428966522,636.0528147220612,644.787780046463,663.2027175426483,677.1416599750519,690.7871537208557,699.643262386322,708.4835505485535,723.661502122879,737.359539270401,756.2480466365814,770.0162606239319,789.717080116272,808.8403208255768,818.0055565834045,826.7601897716522,841.3746719360352,850.47602891922,864.598614692688,873.4744384288788,887.5653686523438,896.7353172302246,905.616632938385,920.1947028636932,933.8125615119934,951.9809103012085,966.4604156017303,975.2873196601868,985.5044424533844,1003.7083833217621,1018.2410216331482,1026.8174703121185,1045.446942806244,1054.5064165592194,1062.879849433899,1077.4777591228485,1091.5283358097076,1111.9230453968048,1122.1884229183197,1140.5736379623413,1149.3099255561829,1164.3494284152985
total minutes,0.0,1.2922282735506694,2.380708948771159,2.5554139494895933,2.7501421252886455,2.932325279712677,3.1274406711260476,3.491301635901133,3.803648316860199,4.071316055456797,4.332449690500895,4.495265138149262,4.850097473462423,5.0226384202639265,5.194959719975789,5.485488867759704,5.722458914915721,5.9558941920598345,6.258006850878398,6.414521861076355,6.646048088868459,6.811690088113149,6.962912940979004,7.110765413443247,7.345859996477762,7.738759175936381,7.905834106604258,8.066529019673665,8.314897497495016,8.676360432306925,8.840281971295674,9.072147989273072,9.223251485824585,9.70046635468801,9.941103637218475,10.085941974322001,10.232476870218912,10.37520238161087,10.600880245367685,10.746463000774384,11.053378625710804,11.285694332917531,11.513119228680928,11.660721039772033,11.808059175809225,12.061025035381316,12.289325654506683,12.60413411060969,12.833604343732198,13.1619513352712,13.480672013759612,13.633425943056743,13.779336496194203,14.022911198933919,14.174600481987,14.409976911544799,14.55790730714798,14.792756144205729,14.945588620503743,15.093610548973084,15.336578381061553,15.563542691866557,15.866348505020142,16.107673593362172,16.25478866100311,16.42507404088974,16.728473055362702,16.970683693885803,17.113624505201976,17.4241157134374,17.575106942653655,17.71466415723165,17.957962652047474,18.192138930161793,18.532050756613412,18.703140381971995,19.00956063270569,19.15516542593638,19.405823806921642
cummulative feedback,0.0,239.0,459.0,479.0,503.0,525.0,548.0,588.0,616.0,643.0,664.0,677.0,709.0,722.0,729.0,742.0,751.0,755.0,762.0,767.0,771.0,775.0,777.0,781.0,785.0,792.0,799.0,802.0,805.0,807.0,808.0,809.0,811.0,816.0,816.0,816.0,817.0,817.0,818.0,818.0,821.0,821.0,821.0,821.0,821.0,821.0,822.0,822.0,822.0,822.0,822.0,822.0,822.0,822.0,822.0,822.0,822.0,822.0,822.0,822.0,823.0,823.0,823.0,823.0,823.0,823.0,823.0,823.0,823.0,823.0,823.0,823.0,823.0,823.0,823.0,823.0,823.0,823.0,823.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,861.0,151.0,167.0,162.0,178.0,354.0,308.0,257.0,259.0,155.0,356.0,165.0,176.0,309.0,247.0,250.0,333.0,158.0,253.0,170.0,156.0,152.0,252.0,438.0,169.0,168.0,269.0,403.0,170.0,257.0,156.0,542.0,261.0,151.0,153.0,150.0,249.0,151.0,341.0,260.0,251.0,156.0,154.0,283.0,252.0,358.0,254.0,374.0,355.0,160.0,152.0,268.0,159.0,254.0,157.0,262.0,164.0,156.0,268.0,251.0,340.0,269.0,155.0,180.0,341.0,274.0,152.0,354.0,161.0,148.0,271.0,265.0,390.0,183.0,349.0,156.0,281.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
