,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Accumulated time steps,0.0,1000.0,1561.0,1843.0,2098.0,2283.0,2547.0,2702.0,2962.0,3132.0,3562.0,3727.0,4092.0,4360.0,4638.0,4908.0,5363.0,5742.0,6194.0,6545.0,7544.0,8447.0,8900.0,9156.0,9598.0,9955.0,10314.0,10486.0,11186.0,11452.0,12245.0,12410.0,13122.0,13553.0,13813.0,14178.0,14338.0,14751.0,14917.0,15252.0,15507.0,15750.0,16016.0,16183.0,16350.0,16628.0,16905.0,17281.0,17760.0,18033.0,18232.0,18405.0,18889.0,19069.0,19343.0,19510.0,19784.0
Episode reward,0.0,-62.06182428571552,68.10591176306524,84.6496129069273,84.96196071208655,88.50298105682812,85.37514937216612,91.05342764286114,86.15897537867191,90.79541504212602,75.05019588661706,91.1307877966288,79.42405028792895,83.96202503498252,83.65905149378811,83.39403811062293,71.54197895420504,79.77306362536295,71.8714250289432,77.66617697122864,-66.35138390073811,46.05245836541039,76.25554257088461,86.94015540776013,68.42069438647724,75.27790572368107,78.28839964393248,90.95146077729376,49.060311661305114,80.77904189450226,44.15970941696816,90.528586681352,50.01136738142015,68.76467213233002,80.1305874248398,71.56038887572359,87.92479071984735,70.20810556276597,87.31578682247581,76.20081775425018,82.32015709077497,82.5677009620003,84.44929293577913,90.719750764889,90.4092171073441,84.96541380046979,87.35920602230365,83.07885590688285,79.3876298031242,86.94396814269528,88.88733862634489,90.98833540551941,77.52183382741639,90.5609419196337,86.5934974294651,90.43090762672458,86.5817298321658
Episode feedback,0.8,0.29859719408958196,0.18749999966517858,0.12811387854763745,0.12204724361398724,0.04891304321242911,0.07604562708727898,0.051948051610726936,0.06177606153754416,0.04733727782640664,0.044289044185806425,0.042682926569006546,0.03296703287646419,0.06741573008458528,0.05776173264345945,0.026022304735976564,0.028634361170408896,0.029100529023543573,0.02217294895305333,0.03999999988571429,0.013026052091156261,0.008869179591054125,0.01327433625381784,0.011764705836216839,0.0022675736910032344,0.005617977512309052,0.005586592163165944,0.0,0.004291845487422253,0.0037735848914204344,0.002525252522064075,0.0,0.0014064697589219835,0.0,0.0,0.0,0.0,0.004854368920256386,0.0,0.0,0.0,0.0,0.0037735848914204344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,75.5831789970398,112.3430278301239,128.3555610179901,142.52491569519043,152.2325780391693,166.06778407096863,174.4687135219574,187.86903142929077,197.44849061965942,219.71115398406982,228.85367107391357,247.24413132667542,261.1705939769745,275.7826519012451,289.8903543949127,313.02612495422363,332.620632648468,355.71544885635376,373.9967863559723,423.4439935684204,468.3999752998352,491.8601565361023,505.35273241996765,528.1115081310272,546.7460362911224,565.5063173770905,574.9629533290863,610.5781762599945,624.7337181568146,664.6721818447113,673.9577195644379,710.0026202201843,732.3974471092224,745.9954869747162,765.0250136852264,773.9946045875549,795.252587556839,804.3476943969727,821.423180103302,834.4589419364929,846.5811502933502,860.7052984237671,869.8918130397797,878.9348692893982,893.620667219162,908.1534013748169,927.4218392372131,952.122231721878,966.5429074764252,976.6902191638947,985.6447584629059,1009.0749251842499,1018.7018089294434,1031.9858469963074,1040.6222381591797,1054.0087156295776
total minutes,0.0,1.2597196499506633,1.8723837971687316,2.1392593502998354,2.375415261586507,2.5372096339861554,2.7677964011828107,2.9078118920326235,3.1311505238215127,3.290808176994324,3.661852566401164,3.814227851231893,4.120735522111257,4.352843232949575,4.596377531687419,4.831505906581879,5.217102082570394,5.5436772108078,5.928590814272563,6.233279772599539,7.057399892807007,7.806666254997253,8.197669275601704,8.422545540332795,8.801858468850453,9.112433938185374,9.425105289618175,9.582715888818106,10.176302937666575,10.41222863594691,11.077869697411854,11.232628659407299,11.833377003669739,12.20662411848704,12.43325811624527,12.750416894753775,12.899910076459248,13.254209792613983,13.405794906616212,13.690386335055033,13.907649032274882,14.109685838222504,14.345088307062785,14.498196883996327,14.648914488156636,14.893677786986034,15.135890022913616,15.457030653953552,15.868703862031301,16.10904845794042,16.278170319398246,16.42741264104843,16.8179154197375,16.978363482157388,17.199764116605124,17.343703969319662,17.566811927159627
cummulative feedback,0.0,298.0,403.0,439.0,470.0,479.0,499.0,507.0,523.0,531.0,550.0,557.0,569.0,587.0,603.0,610.0,623.0,634.0,644.0,658.0,671.0,679.0,685.0,688.0,689.0,691.0,693.0,693.0,696.0,697.0,699.0,699.0,700.0,700.0,700.0,700.0,700.0,702.0,702.0,702.0,702.0,702.0,703.0,703.0,703.0,703.0,703.0,703.0,703.0,703.0,703.0,703.0,703.0,703.0,703.0,703.0,703.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,560.0,281.0,254.0,184.0,263.0,154.0,259.0,169.0,429.0,164.0,364.0,267.0,277.0,269.0,454.0,378.0,451.0,350.0,998.0,902.0,452.0,255.0,441.0,356.0,358.0,171.0,699.0,265.0,792.0,164.0,711.0,430.0,259.0,364.0,159.0,412.0,165.0,334.0,254.0,242.0,265.0,166.0,166.0,277.0,276.0,375.0,478.0,272.0,198.0,172.0,483.0,179.0,273.0,166.0,273.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
