,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
Accumulated time steps,0.0,1000.0,1999.0,2259.0,2605.0,2919.0,3194.0,3660.0,4011.0,4164.0,4322.0,4785.0,5040.0,5207.0,5817.0,6253.0,6517.0,6776.0,7121.0,7379.0,7624.0,7892.0,8166.0,8329.0,8671.0,8830.0,9171.0,9426.0,9711.0,9968.0,10260.0,10615.0,10865.0,11028.0,11403.0,11829.0,12090.0,12256.0,12532.0,13037.0,13520.0,13808.0,14059.0,14392.0,14640.0,14990.0,15255.0,15426.0,15593.0,15762.0,15930.0,16101.0,16378.0,16545.0,16822.0,17199.0,17374.0,17557.0,17724.0,17891.0,18061.0,18234.0,18513.0,18890.0,19057.0,19337.0,19612.0,19779.0
Episode reward,0.0,-61.63704614092815,-60.94800873451048,86.10142267124559,84.33461020846913,81.41575054496737,85.19767564821524,74.94076333258064,80.37730581970126,91.3097148047918,91.35255310507212,72.76481483510821,84.40005533076344,90.39888642616924,64.64596359547099,75.59419666831381,85.19777499323182,83.04683732850718,83.43616406425167,83.81632888353363,83.68469406453423,84.20535466919793,84.36540931548282,91.37133023944001,79.90793266929565,89.7133013452473,79.87926854108139,85.81492314408594,82.24528508812305,84.86299943212747,80.75143035757031,78.81882482694596,84.73362164201188,90.48651068017844,74.81574488251756,72.83379285346443,86.54579929003934,88.59740342464495,80.59543976629368,67.14191972789042,66.09056842998697,80.00280586058902,83.97184142857722,78.46676745453935,84.26396038278564,76.94487336955987,82.96459953221547,90.74230831023698,90.44872595405133,89.42378242753685,90.59897337292033,89.05085052342864,84.51331494811052,90.41770531288012,84.55299428490478,82.23911933716008,90.56282036124901,90.06531014331436,90.08109409468184,90.54431865755103,89.24822611123298,90.67188743518517,84.66524269976752,81.27746686226723,89.94487702366719,84.80822417965659,85.53394952150408,90.31068455958523
Episode feedback,0.8,0.2244488975706925,0.14829659303777898,0.06949806922973718,0.171014492257929,0.0702875397115414,0.08394160553305983,0.04086021496589201,0.011428571395918368,0.03947368395083103,0.0318471335551138,0.036796536716890614,0.031496062868125736,0.04819277079401946,0.013136288976787702,0.013793103416567578,0.019011406771819745,0.0038759689772249264,0.0029069767357355327,0.007782101137034626,0.0,0.011235955014097547,0.007326007299172135,0.0,0.00879765393314471,0.00632911388399295,0.011764705847750865,0.007874015717031434,0.0035211267481650467,0.007812499969482422,0.0034364261050294637,0.00282485874908232,0.00401606424089934,0.006172839468068892,0.0,0.0023529411709342562,0.003846153831360947,0.0,0.003636363623140496,0.0019841269801902242,0.0,0.0,0.0,0.0,0.0,0.0,0.003787878773530762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,70.46430206298828,133.0871706008911,146.41746068000793,168.05308151245117,184.5038607120514,199.2295458316803,222.45048236846924,239.88660192489624,248.22504711151123,256.61069083213806,279.5462327003479,292.84658217430115,301.7448613643646,332.2115261554718,354.26398158073425,368.02652883529663,381.7417793273926,399.6457176208496,413.0680811405182,425.94731402397156,439.9123947620392,454.48414850234985,463.402241230011,481.3467028141022,490.187965631485,507.79406213760376,521.2093961238861,536.0102717876434,549.5371096134186,564.8934600353241,583.0869371891022,596.4439797401428,605.2289369106293,624.6988308429718,646.7036530971527,660.4700186252594,669.689802646637,684.3353502750397,709.9727532863617,734.5432922840118,749.4468235969543,762.31725025177,779.1872115135193,791.9639623165131,809.3382797241211,822.9078931808472,831.9767668247223,840.8728618621826,849.9800953865051,859.0638329982758,868.3259592056274,882.9328870773315,892.2218434810638,907.001382112503,926.356523513794,935.6306009292603,945.4694406986237,954.2540922164917,963.408789396286,972.3696377277374,981.7931985855103,996.1093771457672,1014.3504996299744,1023.2667744159698,1037.1915040016174,1050.6948957443237,1059.2321529388428
total minutes,0.0,1.174405034383138,2.218119510014852,2.4402910113334655,2.8008846918741863,3.0750643452008566,3.320492430528005,3.7075080394744875,3.998110032081604,4.137084118525187,4.276844847202301,4.659103878339132,4.880776369571686,5.02908102273941,5.536858769257863,5.9043996930122375,6.133775480588278,6.362362988789877,6.660761960347494,6.8844680190086365,7.099121900399526,7.331873246033987,7.574735808372497,7.72337068716685,8.022445046901703,8.169799427191416,8.463234368960062,8.686823268731436,8.933504529794057,9.15895182689031,9.414891000588735,9.71811561981837,9.940732995669046,10.087148948510487,10.411647180716196,10.778394218285879,11.007833643754322,11.161496710777282,11.40558917125066,11.832879221439361,12.242388204733532,12.490780393282572,12.705287504196168,12.986453525225322,13.199399371941885,13.488971328735351,13.71513155301412,13.866279447078705,14.014547697703044,14.166334923108419,14.317730549971262,14.472099320093792,14.715548117955526,14.870364058017731,15.116689701875051,15.439275391896565,15.593843348821004,15.757824011643727,15.90423487027486,16.05681315660477,16.206160628795622,16.36321997642517,16.601822952429455,16.905841660499572,17.054446240266163,17.286525066693624,17.51158159573873,17.65386921564738
cummulative feedback,0.0,224.0,372.0,390.0,449.0,471.0,494.0,513.0,517.0,523.0,528.0,545.0,553.0,561.0,569.0,575.0,580.0,581.0,582.0,584.0,584.0,587.0,589.0,589.0,592.0,593.0,597.0,599.0,600.0,602.0,603.0,604.0,605.0,606.0,606.0,607.0,608.0,608.0,609.0,610.0,610.0,610.0,610.0,610.0,610.0,610.0,611.0,611.0,611.0,611.0,611.0,611.0,611.0,611.0,611.0,611.0,611.0,611.0,611.0,611.0,611.0,611.0,611.0,611.0,611.0,611.0,611.0,611.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,259.0,345.0,313.0,274.0,465.0,350.0,152.0,157.0,462.0,254.0,166.0,609.0,435.0,263.0,258.0,344.0,257.0,244.0,267.0,273.0,162.0,341.0,158.0,340.0,254.0,284.0,256.0,291.0,354.0,249.0,162.0,374.0,425.0,260.0,165.0,275.0,504.0,482.0,287.0,250.0,332.0,247.0,349.0,264.0,170.0,166.0,168.0,167.0,170.0,276.0,166.0,276.0,376.0,174.0,182.0,166.0,166.0,169.0,172.0,278.0,376.0,166.0,279.0,274.0,166.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
