,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
Accumulated time steps,0.0,1000.0,1351.0,1616.0,2159.0,2546.0,2835.0,3094.0,3453.0,3816.0,4079.0,4539.0,4693.0,4962.0,5326.0,5478.0,6442.0,6786.0,7298.0,7634.0,7891.0,8427.0,8679.0,8925.0,9197.0,9352.0,9607.0,10026.0,10379.0,10648.0,11105.0,11349.0,11620.0,11950.0,12371.0,12610.0,12938.0,13234.0,13566.0,13918.0,14161.0,14406.0,14671.0,14941.0,15206.0,15456.0,15714.0,16162.0,16694.0,17032.0,17282.0,17543.0,17902.0,18071.0,18339.0,18583.0,18736.0,18995.0,19164.0,19318.0,19836.0,19990.0
Episode reward,0.0,-64.24165778960133,80.13587519702597,85.19517962341187,69.18577634002848,79.00007359388394,82.60758125877341,86.42133944582136,81.9429531227646,80.61050010018299,85.39059074819104,75.24614260744914,90.43253417681086,85.08020653806496,80.4041377941584,91.62655936802595,39.591081352720785,82.49517350635665,70.13173827411995,79.18840788138732,84.10477385524679,69.89699672960094,87.42269102761041,87.01856649238312,85.2930012334342,90.72341634524878,86.90500645780455,74.29820251223806,81.44886222086811,86.99871885085204,77.79406778533294,87.76412091415298,85.45086539005493,78.98673595698784,71.56866797744235,84.57399922774644,79.51618392414198,82.52297039227834,84.20377537060637,82.33121908992102,88.16375769779516,87.93271150811071,86.29420027557772,90.62944526900411,89.62248683910687,87.83427436137858,86.16905650294508,76.29294998922063,72.58610339063101,82.93119132231482,86.99939439681957,85.86610580753094,80.53716075141762,90.168991631483,85.18039096886918,87.60667521350712,91.76450386217842,86.01216382673547,90.16901074716372,91.6655070387148,73.9583632191101,91.6646495960142
Episode feedback,0.8,0.19939879739539199,0.25999999925714284,0.12121212075298439,0.06088560874375349,0.08290155418937421,0.05208333315248843,0.08527131749894838,0.07262569812115727,0.04696132583712341,0.05343511429986598,0.03485838772362007,0.026143790678798753,0.033582089426932506,0.01928374650335056,0.013245033024867332,0.008307372784727547,0.005830903773087744,0.003913894317193945,0.005970149235910003,0.015624999938964844,0.003738317750021836,0.003984063729147156,0.004081632636401499,0.0036900368867526317,0.0,0.007874015717031434,0.004784688983768687,0.00852272724851498,0.0037313432696591668,0.004385964902662358,0.008230452641026944,0.0,0.003039513668572907,0.0,0.0,0.003058103966183168,0.0,0.0,0.0,0.0,0.0,0.003787878773530762,0.0,0.0,0.00401606424089934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,66.77117872238159,92.73483180999756,108.03616380691528,136.04213070869446,157.35066437721252,172.1785969734192,185.86168885231018,204.84268617630005,223.55894684791565,237.39527034759521,260.62566113471985,268.9707567691803,282.9793162345886,301.7623658180237,310.2280704975128,358.41191005706787,376.12461853027344,402.02730417251587,419.42104029655457,432.86895751953125,460.2507483959198,473.4807517528534,486.543071269989,500.92104411125183,509.42744612693787,522.9983794689178,544.1916122436523,562.5957632064819,576.622994184494,599.8554654121399,612.9828534126282,627.4472856521606,644.757758140564,666.307778596878,679.0490427017212,695.959459066391,711.166220664978,727.9423544406891,745.8430550098419,758.4473719596863,770.8676857948303,784.8527362346649,799.0714430809021,813.0335412025452,826.2151367664337,839.9643805027008,862.3715181350708,888.5620093345642,905.6598238945007,918.6428933143616,932.1041479110718,950.0078899860382,958.8404927253723,972.432553768158,985.19105219841,993.2185726165771,1006.2452394962311,1015.2509281635284,1023.4882667064667,1048.2934370040894,1056.5689625740051
total minutes,0.0,1.11285297870636,1.5455805301666259,1.8006027301152547,2.2673688451449077,2.622511072953542,2.86964328289032,3.0976948142051697,3.4140447696050007,3.725982447465261,3.9565878391265867,4.343761018911997,4.482845946153005,4.716321937243143,5.029372763633728,5.1704678416252134,5.973531834284464,6.268743642171224,6.700455069541931,6.990350671609243,7.2144826253255205,7.670845806598663,7.891345862547556,8.10905118783315,8.348684068520864,8.490457435448965,8.716639657815298,9.069860204060872,9.376596053441366,9.610383236408234,9.99759109020233,10.21638089021047,10.457454760869345,10.745962635676067,11.1051296432813,11.317484045028687,11.599324317773183,11.852770344416301,12.132372574011486,12.430717583497366,12.640789532661438,12.847794763247173,13.080878937244416,13.317857384681702,13.550559020042419,13.770252279440562,13.99940634171168,14.372858635584514,14.809366822242737,15.094330398241679,15.310714888572694,15.535069131851197,15.833464833100637,15.980674878756206,16.2072092294693,16.4198508699735,16.553642876942952,16.77075399160385,16.920848802725473,17.05813777844111,17.471557283401488,17.609482709566752
cummulative feedback,0.0,199.0,290.0,322.0,355.0,387.0,402.0,424.0,450.0,467.0,481.0,497.0,501.0,510.0,517.0,519.0,527.0,529.0,531.0,533.0,537.0,539.0,540.0,541.0,542.0,542.0,544.0,546.0,549.0,550.0,552.0,554.0,554.0,555.0,555.0,555.0,556.0,556.0,556.0,556.0,556.0,556.0,557.0,557.0,557.0,558.0,558.0,558.0,558.0,558.0,558.0,558.0,558.0,558.0,558.0,558.0,558.0,558.0,558.0,558.0,558.0,558.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,350.0,264.0,542.0,386.0,288.0,258.0,358.0,362.0,262.0,459.0,153.0,268.0,363.0,151.0,963.0,343.0,511.0,335.0,256.0,535.0,251.0,245.0,271.0,154.0,254.0,418.0,352.0,268.0,456.0,243.0,270.0,329.0,420.0,238.0,327.0,295.0,331.0,351.0,242.0,244.0,264.0,269.0,264.0,249.0,257.0,447.0,531.0,337.0,249.0,260.0,358.0,168.0,267.0,243.0,152.0,258.0,168.0,153.0,517.0,153.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
