,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
Accumulated time steps,0.0,1000.0,1999.0,2458.0,3004.0,3265.0,3639.0,3905.0,4160.0,4315.0,4475.0,4819.0,5276.0,5523.0,5802.0,6050.0,6212.0,6913.0,7163.0,7368.0,7618.0,8320.0,8575.0,8935.0,9200.0,9467.0,9829.0,10188.0,10634.0,10897.0,11228.0,11473.0,11626.0,11784.0,11936.0,12086.0,12265.0,12506.0,12748.0,13008.0,13273.0,13435.0,13718.0,14182.0,14459.0,14916.0,15066.0,15483.0,15636.0,15965.0,16222.0,16384.0,16545.0,16824.0,17192.0,17457.0,17717.0,17981.0,18262.0,18427.0,18739.0,19114.0,19399.0,19559.0,19721.0,19881.0
Episode reward,0.0,-63.36731509551224,-57.634168788919375,75.52095102904676,72.8856922076699,86.32692239712244,79.69326632568021,85.07700419954605,86.31909313235347,91.18450041137504,91.28236755462201,81.29384028414907,73.44887072433792,85.74024656704573,84.58266326614743,86.71295896722951,90.91145489647138,58.92445998571511,87.60355684391664,87.04210054578965,86.98927372402525,52.131066334208406,87.28478678931235,81.9583194740353,85.07288069962306,85.0299491882748,81.76215960126687,78.14560124284876,69.31044362052145,85.1315246110279,78.39696915288994,84.74963751965977,90.03601936912239,89.38791322371657,90.1868252629658,90.60371376943232,87.45032730901934,85.20873733024652,84.97065976913963,82.76003895792525,84.73292225053457,91.75435861284829,83.86013635256194,78.57601469222229,84.54996407829834,79.21321028983455,91.0712731035039,75.68717137619876,90.70404453722534,80.93502605310425,85.0765626168546,92.13235910529409,92.07006070907377,84.98476004858075,85.59318182931342,89.0350039659567,89.14254526992738,87.91139559634999,84.75718548978566,92.06905699959994,84.74057949987731,82.32095074966557,84.3203154559697,92.00917006272728,92.17864967393241,92.11714788818257
Episode feedback,0.8,0.20040080140240402,0.18637274530423573,0.11572052376480235,0.09174311909771905,0.034615384482248525,0.040214477103982633,0.022641509348522607,0.031496062868125736,0.006493506451340867,0.018867924409635695,0.023323615092350976,0.026315789415974147,0.024390243803291693,0.028776978313751877,0.008097165959120786,0.02484472034257938,0.008571428559183674,0.0,0.0,0.00803212848179868,0.0057061340860112214,0.0,0.0,0.0,0.0,0.0,0.002793296081582972,0.0022471910061860876,0.0038167938785618554,0.0,0.0,0.0,0.0,0.0,0.013422818701860278,0.0,0.0,0.0,0.0,0.003787878773530762,0.0,0.0,0.0,0.0,0.002192982451331179,0.0,0.0,0.0,0.0,0.003906249984741211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,67.46649885177612,133.74167656898499,160.5068895816803,191.47866916656494,205.4329285621643,224.36047053337097,238.44718956947327,252.16484951972961,260.7848358154297,269.7542543411255,287.862181186676,311.252295255661,324.3761258125305,339.06697511672974,352.2978684902191,361.1542363166809,396.6831429004669,409.72419714927673,420.46780037879944,433.2960298061371,467.5269889831543,480.7521457672119,499.39906430244446,512.8887002468109,526.3599879741669,544.4072487354279,562.4175703525543,584.4648385047913,597.8768653869629,614.3632497787476,626.6601092815399,634.9213569164276,643.4574763774872,651.8697643280029,660.1403608322144,669.7531368732452,682.4722130298615,695.2514252662659,709.049054145813,722.9208080768585,731.6798152923584,746.4840943813324,770.032035112381,784.562262058258,807.9932522773743,816.1074450016022,836.8988115787506,845.1944365501404,861.7760026454926,874.9234936237335,883.9529526233673,892.8952720165253,907.5720157623291,926.5216183662415,939.8662610054016,953.0927813053131,966.0887660980225,980.2328970432281,988.8636293411255,1004.7298607826233,1023.5026481151581,1037.4953963756561,1045.7843868732452,1054.1601965427399,1062.493139743805
total minutes,0.0,1.124441647529602,2.2290279428164164,2.6751148263613382,3.1913111527760822,3.4238821427027384,3.739341175556183,3.974119826157888,4.202747491995494,4.346413930257161,4.495904239018758,4.797703019777933,5.187538254261017,5.406268763542175,5.651116251945496,5.871631141503652,6.019237271944681,6.611385715007782,6.828736619154612,7.007796672979991,7.221600496768952,7.792116483052571,8.012535762786865,8.323317738374074,8.548145004113515,8.772666466236114,9.073454145590464,9.373626172542572,9.741080641746521,9.964614423116048,10.239387496312458,10.444335154692332,10.582022615273793,10.72429127295812,10.864496072133383,11.002339347203572,11.162552281220753,11.374536883831023,11.587523754437765,11.81748423576355,12.048680134614308,12.194663588205973,12.441401573022207,12.833867251873016,13.076037700970968,13.466554204622904,13.601790750026703,13.94831352631251,14.086573942502339,14.362933377424875,14.582058227062225,14.732549210389456,14.881587866942088,15.126200262705485,15.442026972770691,15.66443768342336,15.884879688421885,16.10147943496704,16.33721495072047,16.48106048901876,16.74549767971039,17.058377468585967,17.291589939594267,17.429739781220754,17.569336609045664,17.708218995730082
cummulative feedback,0.0,200.0,386.0,439.0,489.0,498.0,513.0,519.0,527.0,528.0,531.0,539.0,551.0,557.0,565.0,567.0,571.0,577.0,577.0,577.0,579.0,583.0,583.0,583.0,583.0,583.0,583.0,584.0,585.0,586.0,586.0,586.0,586.0,586.0,586.0,588.0,588.0,588.0,588.0,588.0,589.0,589.0,589.0,589.0,589.0,590.0,590.0,590.0,590.0,590.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,458.0,545.0,260.0,373.0,265.0,254.0,154.0,159.0,343.0,456.0,246.0,278.0,247.0,161.0,700.0,249.0,204.0,249.0,701.0,254.0,359.0,264.0,266.0,361.0,358.0,445.0,262.0,330.0,244.0,152.0,157.0,151.0,149.0,178.0,240.0,241.0,259.0,264.0,161.0,282.0,463.0,276.0,456.0,149.0,416.0,152.0,328.0,256.0,161.0,160.0,278.0,367.0,264.0,259.0,263.0,280.0,164.0,311.0,374.0,284.0,159.0,161.0,159.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
