,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
Accumulated time steps,0.0,1000.0,1999.0,2273.0,2553.0,2821.0,3172.0,3434.0,3784.0,4247.0,4511.0,5255.0,5626.0,5977.0,6249.0,7128.0,7488.0,7849.0,8004.0,8433.0,8772.0,8927.0,9216.0,9480.0,9655.0,10143.0,10783.0,11055.0,11211.0,11555.0,11712.0,11868.0,12239.0,12428.0,12679.0,13049.0,13205.0,13361.0,13704.0,13860.0,14112.0,14268.0,14626.0,14877.0,15040.0,15203.0,15464.0,15801.0,16045.0,16295.0,16985.0,17319.0,17651.0,18250.0,18592.0,18928.0,19265.0,19684.0
Episode reward,0.0,-73.02416247877288,-58.92749317918788,84.91896818494605,84.80643537799753,84.91562886592614,79.84907116605962,85.25995644404237,80.77786683875017,75.87103566672168,85.03297186373791,58.43172130302222,80.95452752181251,78.4825373384092,85.33532844645651,45.4224485527695,79.6395643078393,77.40309856984032,90.87759994729912,74.71327777288887,80.28252711413458,90.88611675059254,82.16127019488879,84.71598519304064,91.57099101822608,69.1034656152313,65.33874116452829,82.98494869340308,90.72833480715697,79.36824770889214,90.67687157008318,90.74180521034424,76.73771212839137,87.32213538491442,85.33328080305458,76.88823145441874,90.7480393057146,90.74910536098555,79.68899547436806,90.77079896232537,85.1456619975878,90.76265207572028,78.10765271511121,85.33416119198662,90.01809808694372,90.01059253603903,84.10543230412088,73.71942935393318,81.64356729080649,81.50284678056263,46.463970877594406,74.1230311832995,74.61652982353425,53.819433755168944,73.10641654150794,73.84933557650288,73.70284829819136,67.84392561876453
Episode feedback,0.8,0.01703406811920434,0.23747494966184876,0.09890109853882381,0.13620071635770353,0.06367041174655276,0.04571428558367347,0.06130268175746099,0.051575931084309655,0.06060606047487866,0.03802281354363949,0.02826379538591683,0.018918918867786707,0.019999999942857144,0.03690036886752632,0.011389521627118995,0.016713091875451,0.011111111080246913,0.0,0.0,0.0,0.0,0.00694444442033179,0.0038022813543639494,0.005747126403752147,0.0020533880861326732,0.004694835673404013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003846153831360947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,46.94437623023987,117.49723649024963,132.71394968032837,148.8563995361328,163.1090223789215,181.34933733940125,195.186514377594,213.33274865150452,237.8874306678772,251.704922914505,288.42147636413574,307.08558440208435,324.9785325527191,338.924218416214,381.08433413505554,399.59804797172546,418.02711963653564,426.2848801612854,447.0479726791382,464.120484828949,472.3429398536682,487.0209729671478,500.8624486923218,510.0871834754944,534.3332698345184,566.7269940376282,580.8940873146057,589.3015828132629,607.1986861228943,616.0687367916107,624.8601388931274,644.2010624408722,654.5203227996826,667.7338149547577,686.3564472198486,694.5943071842194,703.2704172134399,721.34823346138,730.1351714134216,743.5543797016144,752.1706068515778,770.46599650383,783.5256838798523,792.2794713973999,801.2284350395203,814.8437016010284,832.4405210018158,845.0474667549133,857.6046166419983,890.753210067749,907.171005487442,923.3857412338257,951.8854444026947,968.7718391418457,985.6442992687225,1001.8435533046722,1022.1494448184967
total minutes,0.0,0.7824062705039978,1.958287274837494,2.211899161338806,2.48093999226888,2.7184837063153586,3.0224889556566876,3.2531085729599,3.555545810858409,3.9647905111312864,4.195082048575084,4.8070246060689295,5.1180930733680725,5.416308875878652,5.648736973603566,6.351405568917593,6.6599674661954245,6.967118660608928,7.10474800268809,7.450799544652303,7.735341413815816,7.87238233089447,8.117016216119131,8.347707478205363,8.501453057924907,8.905554497241974,9.445449900627136,9.681568121910095,9.821693046887715,10.119978102048238,10.267812279860179,10.41433564821879,10.736684374014537,10.908672046661376,11.128896915912629,11.439274120330811,11.576571786403656,11.721173620223999,12.022470557689667,12.168919523557028,12.392572995026907,12.536176780859629,12.8410999417305,13.058761397997538,13.204657856623331,13.35380725065867,13.58072836001714,13.874008683363597,14.084124445915222,14.293410277366638,14.845886834462483,15.119516758124034,15.389762353897094,15.864757406711579,16.14619731903076,16.427404987812043,16.697392555077872,17.035824080308277
cummulative feedback,0.0,17.0,254.0,281.0,319.0,336.0,352.0,368.0,386.0,414.0,424.0,445.0,452.0,459.0,469.0,479.0,485.0,489.0,489.0,489.0,489.0,489.0,491.0,492.0,493.0,494.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,273.0,279.0,267.0,350.0,261.0,349.0,462.0,263.0,743.0,370.0,350.0,271.0,878.0,359.0,360.0,154.0,428.0,338.0,154.0,288.0,263.0,174.0,487.0,639.0,271.0,155.0,343.0,156.0,155.0,370.0,188.0,250.0,369.0,155.0,155.0,342.0,155.0,251.0,155.0,357.0,250.0,162.0,162.0,260.0,336.0,243.0,249.0,689.0,333.0,331.0,598.0,341.0,335.0,336.0,418.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
