,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
Accumulated time steps,0.0,604.0,865.0,1237.0,1507.0,1674.0,1930.0,2185.0,2352.0,2700.0,2959.0,3249.0,3508.0,3771.0,4119.0,4457.0,4714.0,4977.0,5411.0,5565.0,6021.0,6175.0,6442.0,6883.0,7052.0,7219.0,7470.0,7726.0,7981.0,8320.0,8569.0,8976.0,9138.0,9478.0,9647.0,9796.0,10139.0,10590.0,11016.0,11165.0,11312.0,11646.0,11806.0,11973.0,12133.0,12378.0,12617.0,12952.0,13139.0,13397.0,13648.0,13816.0,14146.0,14385.0,14628.0,14890.0,15047.0,15507.0,15755.0,16001.0,16155.0,16415.0,16563.0,16806.0,17177.0,17524.0,17960.0,18216.0,18455.0,18784.0,19024.0,19265.0,19427.0,19781.0
Episode reward,0.0,69.59320429373528,85.65270045411975,78.90172425692865,85.20411403548984,90.75081859392698,86.40357326648835,86.55874206199827,90.50907922831323,80.28870443892151,85.90866778399422,82.98479994211314,84.90957857569758,86.08172476331794,81.28968384727067,81.18339125530856,86.45793360733009,86.73134217563216,75.18747416488807,90.4686534939872,75.42371023368631,91.42079059241561,83.95860462413593,73.57456592379944,90.24450436194056,90.1527148678222,86.42438749803435,85.57498707005695,85.66985463546591,82.08725015649331,86.73384939360983,78.65620920617442,90.27609022037572,81.59380082413047,90.44026366869304,91.6740104521222,81.79326507055812,80.40558399167324,76.92901116696783,91.6757580616186,91.86818163894571,82.03147608134356,90.09377347275678,92.63087604436832,92.56141895028603,86.89182198464646,86.99350431041964,81.47727709648318,87.67406788038882,84.59753695165817,85.52611097132521,89.55450566013681,81.97291021441649,86.9986472135952,86.59177339108275,84.39047833244713,90.67917745193091,72.46288042497606,85.85665355639021,86.08212370245187,91.00396667789181,84.83317226625786,91.660465685618,86.5905910227515,77.4040635105516,79.93235222324887,74.99011651872317,84.94109745169868,86.97817873827337,82.02579108920469,86.82264274956432,86.69205896117099,90.16441537255326,79.11280389210805
Episode feedback,0.8,0.3986710956832706,0.1384615379289941,0.1832884092094652,0.0855018584182087,0.042168674444767025,0.05490196056901192,0.03937007858515717,0.012048192698504864,0.0461095099535749,0.06976744159004868,0.04152249120580453,0.027131782840574485,0.05343511429986598,0.060518731814067056,0.04451038562459826,0.023437499908447266,0.04198473266418041,0.02078521935153529,0.019607843009099065,0.021978021929718632,0.04575163368789782,0.011278195446322574,0.020454545408057852,0.02976190458475057,0.012048192698504864,0.01999999992,0.00784313722414456,0.007874015717031434,0.00591715974580722,0.004032258048257024,0.007389162543376447,0.0,0.005899704997346003,0.011904761833900228,0.0,0.0029239765996374955,0.0022222222172839506,0.0,0.0,0.0,0.0,0.006289308136545232,0.0,0.0,0.004098360638941145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,50.701215982437134,66.35595679283142,90.68598127365112,105.46338081359863,114.48511266708374,127.92078757286072,141.3411295413971,150.6099545955658,168.75991320610046,182.51666021347046,197.77565026283264,211.56086492538452,225.38905835151672,243.83693885803223,261.1433663368225,274.25811886787415,287.81842064857483,309.50381207466125,317.7749125957489,341.2183647155762,349.6587679386139,363.252001285553,384.68365001678467,393.76190280914307,402.4166798591614,415.2103536128998,428.36927461624146,441.3088233470917,458.676411151886,471.9066689014435,492.7768349647522,501.83401226997375,519.00497174263,528.2549352645874,536.4798188209534,553.8201138973236,576.5292930603027,598.1818599700928,606.2435040473938,614.4182822704315,631.9444849491119,640.8841896057129,650.2229623794556,658.7186388969421,670.9882862567902,683.4713079929352,700.8957312107086,710.9582505226135,724.2657177448273,737.3477823734283,746.571382522583,763.381112575531,776.2810378074646,789.4743709564209,803.1138231754303,811.5049176216125,834.3687102794647,847.0698561668396,859.9465975761414,868.4193255901337,881.4013466835022,889.3481261730194,901.245786190033,919.2076642513275,936.1503582000732,957.1242816448212,970.3624114990234,982.2935645580292,998.431214094162,1010.5979249477386,1022.7157692909241,1031.2694783210754,1048.2210364341736
total minutes,0.0,0.8450202663739522,1.105932613213857,1.5114330212275187,1.7577230135599773,1.9080852111180624,2.1320131262143454,2.3556854923566184,2.5101659099260965,2.812665220101674,3.0419443368911745,3.2962608377138776,3.5260144154230755,3.756484305858612,4.063948980967203,4.352389438947042,4.570968647797902,4.796973677476247,5.158396867911021,5.2962485432624815,5.686972745259603,5.827646132310232,6.054200021425883,6.411394166946411,6.562698380152384,6.706944664319356,6.920172560214996,7.139487910270691,7.355147055784861,7.6446068525314335,7.865111148357391,8.212947249412537,8.363900204499563,8.650082862377166,8.804248921076457,8.941330313682556,9.23033523162206,9.608821551005045,9.969697666168212,10.104058400789897,10.240304704507192,10.5324080824852,10.681403160095215,10.837049372990926,10.978643981615702,11.183138104279836,11.39118846654892,11.681595520178478,11.849304175376892,12.07109529574712,12.289129706223806,12.442856375376383,12.723018542925518,12.938017296791077,13.157906182607015,13.385230386257172,13.52508196036021,13.906145171324413,14.117830936113993,14.33244329293569,14.473655426502228,14.690022444725036,14.822468769550323,15.020763103167216,15.320127737522125,15.602505970001221,15.95207136074702,16.172706858317056,16.371559409300485,16.6405202349027,16.843298749128977,17.0452628215154,17.187824638684592,17.470350607236227
cummulative feedback,0.0,240.0,276.0,344.0,367.0,374.0,388.0,398.0,400.0,416.0,434.0,446.0,453.0,467.0,488.0,503.0,509.0,520.0,529.0,532.0,542.0,549.0,552.0,561.0,566.0,568.0,573.0,575.0,577.0,579.0,580.0,583.0,583.0,585.0,587.0,587.0,588.0,589.0,589.0,589.0,589.0,589.0,590.0,590.0,590.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0,591.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,602.0,260.0,371.0,269.0,166.0,255.0,254.0,166.0,347.0,258.0,289.0,258.0,262.0,347.0,337.0,256.0,262.0,433.0,153.0,455.0,153.0,266.0,440.0,168.0,166.0,250.0,255.0,254.0,338.0,248.0,406.0,161.0,339.0,168.0,148.0,342.0,450.0,425.0,148.0,146.0,333.0,159.0,166.0,159.0,244.0,238.0,334.0,186.0,257.0,250.0,167.0,329.0,238.0,242.0,261.0,156.0,459.0,247.0,245.0,153.0,259.0,147.0,242.0,370.0,346.0,435.0,255.0,238.0,328.0,239.0,240.0,161.0,353.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
