,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
Accumulated time steps,0.0,1000.0,1167.0,1563.0,2096.0,3095.0,4094.0,4489.0,4743.0,4907.0,5369.0,5821.0,6085.0,6438.0,6592.0,6847.0,6996.0,7329.0,7591.0,7860.0,8239.0,8537.0,8690.0,8970.0,9239.0,9611.0,9885.0,10180.0,10453.0,10767.0,11044.0,11346.0,11837.0,12090.0,12436.0,12722.0,13090.0,13354.0,13820.0,14119.0,14381.0,14650.0,14909.0,15192.0,15556.0,15818.0,16096.0,16357.0,16640.0,16803.0,17071.0,17453.0,17723.0,18081.0,18547.0,18935.0,19306.0,19568.0,19828.0
Episode reward,0.0,-62.70398082201506,90.48589716516881,76.32559625656651,79.7492480572902,-62.707614202822526,-66.0980264845894,77.05070661182211,87.8822446016625,91.4000828080647,75.06757502116423,75.05363331678866,85.40885324830283,78.85016206155277,91.46063098579882,85.20879858984216,91.62667690078385,79.5832398527444,85.51878532793984,85.51479529027819,82.0988557411403,80.65160705665986,90.88787142684164,82.5916254186236,84.35187890501588,79.51798524821027,84.27544326778447,82.85403844050508,82.93444114494156,85.81865731243782,83.30741241034784,80.1011446526064,83.29001574025153,81.56286597833744,76.16485265089152,82.08030451295664,79.29075264826432,85.2912123312543,77.31381874578307,82.1669094480946,85.85759666691628,84.58317921113236,86.05576501489755,82.66309704303428,79.62471509451326,85.48929378422132,83.37906007592638,85.65638975035483,82.66434251681594,90.81586356025531,84.70084640878282,77.43893112589477,84.44669622940772,80.36854108746992,73.62969250943135,76.82395695005272,79.29609142309062,85.50498055267322,85.85848632524625
Episode feedback,0.8,0.24148296568989683,0.22289156492233997,0.22531645512578113,0.20112781917081238,0.024048096168288482,0.013026052091156261,0.04314720801231673,0.03952569154337671,0.024539877150062103,0.02386117131483477,0.008869179581221331,0.015209125417455798,0.011363636331353306,0.026143790678798753,0.007874015717031434,0.01351351342220599,0.006024096367397301,0.011494252829523936,0.02611940288761417,0.010582010554015845,0.0,0.006578947325138505,0.0035842293778343033,0.0,0.00539083556498427,0.0,0.006802721065296867,0.0036764705747188583,0.0031948881687064276,0.0,0.003322259125175219,0.004081632644731362,0.0,0.0,0.003508771917513081,0.0,0.0,0.00430107525956758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,69.36050820350647,80.37206959724426,107.46760582923889,142.45972108840942,192.4331455230713,240.39188504219055,260.01103711128235,273.29545187950134,282.0109884738922,304.8034119606018,326.97735023498535,340.45811700820923,358.3657841682434,366.90679812431335,380.0716435909271,388.07740902900696,404.837947845459,418.300253868103,432.4001703262329,452.0868728160858,467.82748556137085,476.30226945877075,490.9616422653198,504.98957872390747,523.5059473514557,537.3292319774628,551.76025557518,565.7862074375153,581.9808082580566,596.5143165588379,611.9828052520752,636.8630418777466,650.0551598072052,668.0344240665436,683.1960985660553,702.2084205150604,716.2643537521362,739.9812877178192,755.6008152961731,769.2091732025146,783.0325274467468,796.422126531601,810.9225761890411,829.1052610874176,842.4452726840973,856.7076253890991,870.4127235412598,885.0479791164398,893.800624370575,907.2878413200378,926.0627677440643,939.4334251880646,957.4097669124603,980.8936202526093,1000.6479632854462,1019.8569498062134,1033.6436293125153,1047.1158113479614
total minutes,0.0,1.1560084700584412,1.3395344932874045,1.7911267638206483,2.374328684806824,3.2072190920511883,4.0065314173698425,4.333517285188039,4.5549241979916895,4.700183141231537,5.08005686601003,5.449622503916422,5.674301950136821,5.972763069470724,6.115113302071889,6.334527393182118,6.467956817150116,6.74729913075765,6.971670897801717,7.206669505437215,7.5347812136014305,7.797124759356181,7.938371157646179,8.182694037755331,8.41649297873179,8.725099122524261,8.955487199624379,9.196004259586335,9.429770123958587,9.699680137634278,9.941905275980632,10.19971342086792,10.614384031295776,10.83425266345342,11.133907067775727,11.38660164276759,11.703473675251008,11.93773922920227,12.333021461963654,12.593346921602885,12.820152886708577,13.050542124112447,13.273702108860016,13.515376269817352,13.818421018123626,14.040754544734956,14.278460423151651,14.506878725687663,14.750799651940664,14.896677072842916,15.12146402200063,15.434379462401072,15.65722375313441,15.956829448541006,16.348227004210155,16.677466054757435,16.997615830103555,17.227393821875253,17.45193018913269
cummulative feedback,0.0,241.0,278.0,367.0,474.0,498.0,511.0,528.0,538.0,542.0,553.0,557.0,561.0,565.0,569.0,571.0,573.0,575.0,578.0,585.0,589.0,589.0,590.0,591.0,591.0,593.0,593.0,595.0,596.0,597.0,597.0,598.0,600.0,600.0,600.0,601.0,601.0,601.0,603.0,603.0,603.0,603.0,603.0,603.0,603.0,603.0,603.0,603.0,603.0,603.0,603.0,603.0,603.0,603.0,603.0,603.0,603.0,603.0,603.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,166.0,395.0,532.0,998.0,998.0,394.0,253.0,163.0,461.0,451.0,263.0,352.0,153.0,254.0,148.0,332.0,261.0,268.0,378.0,297.0,152.0,279.0,268.0,371.0,273.0,294.0,272.0,313.0,276.0,301.0,490.0,252.0,345.0,285.0,367.0,263.0,465.0,298.0,261.0,268.0,258.0,282.0,363.0,261.0,277.0,260.0,282.0,162.0,267.0,381.0,269.0,357.0,465.0,387.0,370.0,261.0,259.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
