,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
Accumulated time steps,0.0,603.0,1161.0,1681.0,1948.0,2508.0,3090.0,3600.0,3923.0,4197.0,4522.0,4858.0,5102.0,5373.0,5526.0,5772.0,5931.0,6382.0,6631.0,6896.0,7154.0,7315.0,7576.0,7732.0,7986.0,8231.0,8560.0,8740.0,8995.0,9418.0,9838.0,10110.0,10445.0,10684.0,11012.0,11510.0,11931.0,12353.0,12687.0,12934.0,13267.0,13690.0,13856.0,14122.0,14534.0,14958.0,15110.0,15356.0,15690.0,15849.0,16097.0,16358.0,16617.0,16884.0,17048.0,17292.0,17537.0,17782.0,18027.0,18274.0,18525.0,18860.0
Episode reward,0.0,61.65003171702352,80.16134580996776,78.79228403534864,90.97903010102424,72.10270259906632,66.34903927859165,75.60195584103327,84.50911945095542,81.6784592170674,81.10360641455455,78.52902575753183,85.57791124303495,87.56925547833079,91.58167630467511,87.51100634914387,91.43757610254167,77.06627113985805,87.72015708637039,85.19896721676383,87.16772474811502,91.73362824742347,84.21018939608156,92.33614856722878,85.8243290259554,86.59245498192553,83.86498213987358,89.0036591732459,90.41086651476337,80.35003350085954,79.54557581159114,85.08342647289876,83.93681725118506,84.62070502635335,78.85047698313336,67.0823452205434,80.16148407396311,80.00628751442267,84.07143718696925,87.78464931293276,84.08160630123407,80.00387016636037,92.71708185810367,89.46138630565966,87.70991806941932,78.85261464241643,91.8644141489632,87.36958202636119,83.27106861694182,91.1607410245112,87.21727588675566,85.8123404222428,86.01160815854814,85.07239049052033,90.66182980827938,87.607951769984,87.53683341619629,87.53802489333742,87.53944319177174,87.3258331342036,86.89625384075256,78.62811140021498
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,25.739946842193604,50.747976303100586,73.6797251701355,85.86656594276428,111.20048880577087,138.97304344177246,162.02948999404907,177.0327386856079,190.47165775299072,206.19951796531677,222.28800129890442,234.1685380935669,247.32614994049072,255.1427915096283,266.80793142318726,274.597119808197,294.97936940193176,306.28042221069336,318.4628903865814,330.7707870006561,338.951687335968,351.0120668411255,358.5679292678833,370.2537212371826,381.9739468097687,398.22776532173157,406.4383075237274,417.85189056396484,435.87207221984863,453.93000626564026,465.7712347507477,480.4108633995056,491.0200369358063,505.2072832584381,526.2192811965942,544.4641995429993,563.0422761440277,578.0143954753876,588.922937631607,603.4347913265228,621.8691303730011,629.7108242511749,641.6173276901245,659.3004438877106,677.3330700397491,684.4525711536407,695.429271697998,709.8597550392151,717.3386387825012,728.3603525161743,739.9868168830872,751.5795018672943,763.5269021987915,771.1027112007141,782.4399483203888,793.602105140686,804.9623997211456,815.7759566307068,826.8720877170563,837.9994716644287,852.3796682357788
total minutes,0.0,0.42899911403656005,0.8457996050516764,1.2279954195022582,1.4311094323794047,1.8533414800961812,2.316217390696208,2.700491499900818,2.950545644760132,3.174527629216512,3.4366586327552797,3.704800021648407,3.902808968226115,4.122102499008179,4.252379858493805,4.446798857053121,4.57661866346995,4.91632282336553,5.104673703511556,5.307714839776357,5.512846450010936,5.6491947889328005,5.850201114018758,5.976132154464722,6.170895353953044,6.3662324468294775,6.63712942202886,6.773971792062124,6.9641981760660805,7.264534536997477,7.565500104427338,7.762853912512461,8.006847723325093,8.183667282263437,8.420121387640636,8.77032135327657,9.074403325716654,9.384037935733796,9.633573257923127,9.815382293860118,10.057246522108715,10.364485506216685,10.495180404186248,10.693622128168743,10.988340731461843,11.288884500662485,11.40754285256068,11.590487861633301,11.830995917320251,11.955643979708354,12.139339208602905,12.333113614718119,12.526325031121571,12.725448369979858,12.851711853345234,13.040665805339813,13.226701752344768,13.416039995352428,13.596265943845113,13.781201461950937,13.966657861073811,14.206327803929646
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,601.0,557.0,519.0,266.0,559.0,581.0,509.0,322.0,273.0,324.0,335.0,243.0,270.0,152.0,245.0,158.0,450.0,248.0,264.0,257.0,160.0,260.0,155.0,253.0,244.0,328.0,179.0,254.0,422.0,419.0,271.0,334.0,238.0,327.0,497.0,420.0,421.0,333.0,246.0,332.0,422.0,165.0,265.0,411.0,423.0,151.0,245.0,333.0,158.0,247.0,260.0,258.0,266.0,163.0,243.0,244.0,244.0,244.0,246.0,250.0,334.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
