,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
Accumulated time steps,0.0,463.0,1017.0,1395.0,1799.0,2046.0,2343.0,2758.0,3184.0,3521.0,4022.0,4278.0,4515.0,4670.0,4908.0,5072.0,5218.0,5464.0,5720.0,5962.0,6300.0,6467.0,6808.0,6998.0,7177.0,7415.0,7594.0,7840.0,8171.0,8319.0,8571.0,8984.0,9363.0,9627.0,9883.0,10042.0,10202.0,10567.0,10727.0,11151.0,11323.0,11482.0,11641.0,12017.0,12353.0,12513.0,12986.0,13244.0,13609.0,13867.0,14125.0,14303.0,14463.0,14733.0,14893.0,15055.0,15214.0,15572.0,15864.0,16134.0,16424.0,16587.0,16876.0,17035.0,17389.0,17652.0,18069.0,18231.0,18559.0
Episode reward,0.0,66.92924584582272,75.6501669957942,81.0927290547204,80.12728559592321,85.40317426510599,81.71561413542474,74.51620576702253,74.3973525603221,85.33049617017426,69.34585288044705,88.64018212339028,85.7313018311273,92.69432678402944,86.27129800566541,92.16360372849223,91.38652053130279,85.16250875472066,88.13819137493321,86.37297980721004,81.09566035123586,92.0849413913375,86.02916838897241,87.34002669197311,88.43659348914858,83.10110957658557,91.89420641733865,86.56487818556921,76.96447104785457,89.86785150424885,86.76294349125949,71.09488518797463,77.61373361004335,84.69606735500314,81.41868194589539,90.70133457610362,90.40145943988237,78.84497565847403,90.40402881279951,73.7972871481054,90.0232833179682,90.83560204547052,90.81070224667164,77.58438253236909,77.48402990059408,90.53804716569738,72.17918551366756,86.03033201927461,78.78106110817204,85.68248156325299,85.99856965096316,89.45263285238849,90.88932575045972,83.70414606058998,90.80730555894985,90.87122211054269,90.68778306216835,79.87265060031731,81.36847507599795,84.92615416115027,81.57126468196242,90.79945518831796,83.02684112936367,90.81819698437035,80.79908058544405,85.6160702974384,71.52552954864476,88.36397080259903,77.75070993998645
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,18.875656604766846,42.135196685791016,58.33376169204712,75.7498733997345,86.87421536445618,100.51211261749268,118.5219738483429,137.05641412734985,152.00429463386536,174.40019488334656,185.78483748435974,196.40382146835327,203.79566478729248,214.4221544265747,222.1326389312744,229.07824540138245,240.19449543952942,251.56960606575012,262.36525988578796,277.12802815437317,285.00717067718506,299.79667377471924,308.51676201820374,316.76947927474976,327.50500297546387,335.7065007686615,346.79120540618896,361.86677718162537,369.0856854915619,380.4302306175232,398.25465273857117,415.1644096374512,427.06383633613586,438.56234407424927,445.99175667762756,453.6213767528534,469.6069872379303,477.3075821399689,495.9659790992737,504.04775190353394,511.65996265411377,519.3349614143372,535.9605593681335,550.914618730545,558.363522529602,578.6651365756989,590.6825020313263,606.5627117156982,618.0152399539948,629.5157532691956,637.7332334518433,645.2389616966248,657.3412711620331,665.0094594955444,672.5367014408112,679.9325392246246,695.5098347663879,708.505693435669,720.6105031967163,733.6297895908356,741.2720742225647,754.0440812110901,761.4441983699799,776.8279366493225,789.02805352211,807.4995033740997,815.2650113105774,829.8508982658386
total minutes,0.0,0.3145942767461141,0.7022532780965169,0.9722293615341187,1.262497889995575,1.4479035894076029,1.6752018769582113,1.975366230805715,2.2842735687891644,2.5334049105644225,2.9066699147224426,3.096413958072662,3.2733970244725543,3.3965944131215413,3.573702573776245,3.7022106488545736,3.8179707566897076,4.003241590658823,4.192826767762502,4.3727543314298,4.618800469239553,4.750119511286417,4.996611229578654,5.141946033636729,5.279491321245829,5.458416716257731,5.595108346144358,5.7798534234364825,6.0311129530270895,6.151428091526031,6.340503843625386,6.637577545642853,6.919406827290853,7.117730605602264,7.309372401237487,7.433195944627126,7.560356279214223,7.826783120632172,7.955126368999482,8.266099651654562,8.4007958650589,8.527666044235229,8.655582690238953,8.932675989468892,9.18191031217575,9.3060587088267,9.644418942928315,9.84470836718877,10.10937852859497,10.300253999233245,10.49192922115326,10.628887224197388,10.753982694943746,10.955687852700551,11.083490991592408,11.20894502401352,11.332208987077077,11.591830579439799,11.808428223927816,12.010175053278605,12.22716315984726,12.354534570376078,12.567401353518168,12.690736639499665,12.94713227748871,13.150467558701832,13.458325056234996,13.587750188509624,13.830848304430644
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,461.0,553.0,377.0,403.0,246.0,296.0,414.0,425.0,336.0,500.0,255.0,236.0,154.0,237.0,163.0,145.0,245.0,255.0,241.0,337.0,166.0,340.0,189.0,178.0,237.0,178.0,245.0,330.0,147.0,251.0,412.0,378.0,263.0,255.0,158.0,159.0,364.0,159.0,423.0,171.0,158.0,158.0,375.0,335.0,159.0,472.0,257.0,364.0,257.0,257.0,177.0,159.0,269.0,159.0,161.0,158.0,357.0,291.0,269.0,289.0,162.0,288.0,158.0,353.0,262.0,416.0,161.0,327.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
