,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Accumulated time steps,0.0,266.0,556.0,1386.0,1684.0,2050.0,2295.0,2624.0,2971.0,3404.0,3860.0,4134.0,4377.0,4633.0,4981.0,5232.0,5481.0,5724.0,6185.0,6338.0,6584.0,6847.0,7017.0,7287.0,7449.0,7788.0,8124.0,8461.0,8800.0,9237.0,9499.0,9846.0,10114.0,10384.0,10543.0,10813.0,11154.0,11496.0,11686.0,12054.0,12259.0,12642.0,12943.0,13430.0,13810.0,14252.0,14430.0,14589.0,14939.0,15382.0,15638.0,15902.0,16269.0,16519.0,16675.0,16947.0,17107.0,17365.0,17526.0,17682.0,17932.0
Episode reward,0.0,82.20540442616579,84.5413313638958,43.550328954849036,83.51147300614657,79.02809095335786,85.08787919021752,85.134184586862,86.28338840829562,77.72976579446697,77.46676435664469,81.8876005009289,91.65847860656079,87.04387834779536,83.54216758307449,84.91435088980943,85.06141382401395,85.70455955604325,71.17188562135794,90.83959377033726,85.42741088205005,83.70458762587202,89.15166976197521,86.20569101090061,91.65290312664212,80.30744449009991,80.46061186650547,80.27339109991466,79.94793668182889,73.62951069559672,85.19544538298437,81.20150390596274,85.25008589540462,84.85698219018532,91.54744992383574,85.2848456205261,83.53481655390847,83.41437150234975,88.54794134507121,80.17710586757312,89.5633501402711,86.00015649910657,83.75008149593168,84.09975058298748,88.25771869693199,84.95433625608752,91.86723564553077,91.33479344095669,81.7144859231608,77.09299005204524,86.6266789132441,85.80909538046384,79.55121081715947,87.17449423861892,91.58450070182187,84.47255633581717,91.23889995034547,86.10391899462452,91.14845739496874,91.56635897784614,87.14875170544815
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,12.188974857330322,25.450631856918335,60.475817918777466,73.48254084587097,89.2990951538086,100.42799353599548,114.81014823913574,130.338871717453,149.3594720363617,169.17249059677124,181.6695158481598,192.64853692054749,204.0964915752411,219.60770344734192,231.1064236164093,242.51024985313416,253.67187762260437,274.10232424736023,281.5072407722473,292.6974935531616,304.72599244117737,312.6694037914276,324.8884816169739,332.5590989589691,347.3376410007477,362.1801838874817,377.2189562320709,392.3328740596771,411.41788363456726,423.4127357006073,438.60264921188354,450.7095670700073,463.0033416748047,470.5749909877777,482.9969058036804,498.27531147003174,513.5164706707001,522.479544878006,538.5647351741791,548.0048773288727,564.7226829528809,577.8737008571625,598.9611587524414,616.154052734375,635.6286311149597,643.9904747009277,651.6160643100739,667.0370717048645,686.3926079273224,697.8918097019196,709.5594613552094,725.4188289642334,736.6076786518097,743.9928505420685,756.1525566577911,763.813713312149,775.3852381706238,783.0324075222015,790.4024493694305,801.6895942687988
total minutes,0.0,0.20314958095550537,0.4241771976153056,1.007930298646291,1.2247090140978496,1.4883182525634766,1.6737998922665913,1.9135024706522623,2.172314528624217,2.4893245339393615,2.819541509946187,3.0278252641359966,3.2108089486757914,3.4016081929206847,3.660128390789032,3.851773726940155,4.041837497552236,4.227864627043406,4.568372070789337,4.691787346204122,4.8782915592193605,5.078766540686289,5.211156729857127,5.414808026949564,5.542651649316152,5.7889606833457945,6.0363363981246945,6.286982603867849,6.538881234327952,6.856964727242787,7.056878928343455,7.3100441535313925,7.511826117833455,7.716722361246744,7.842916516462962,8.04994843006134,8.304588524500529,8.558607844511668,8.707992414633432,8.976078919569652,9.133414622147878,9.412044715881347,9.631228347619375,9.982685979207357,10.269234212239583,10.593810518582663,10.733174578348796,10.86026773850123,11.117284528414409,11.439876798788706,11.63153016169866,11.825991022586823,12.090313816070557,12.276794644196828,12.399880842367809,12.602542610963186,12.730228555202483,12.92308730284373,13.050540125370025,13.173374156157175,13.361493237813313
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,264.0,289.0,829.0,297.0,365.0,244.0,328.0,346.0,432.0,455.0,273.0,242.0,255.0,347.0,250.0,248.0,242.0,460.0,152.0,245.0,262.0,169.0,269.0,161.0,338.0,335.0,336.0,338.0,436.0,261.0,346.0,267.0,269.0,158.0,269.0,340.0,341.0,189.0,367.0,204.0,382.0,300.0,486.0,379.0,441.0,177.0,158.0,349.0,442.0,255.0,263.0,366.0,249.0,155.0,271.0,159.0,257.0,160.0,155.0,249.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
