,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
Accumulated time steps,0.0,257.0,431.0,678.0,1001.0,1659.0,1903.0,2138.0,2387.0,2626.0,2866.0,3131.0,3503.0,3663.0,4001.0,4592.0,4964.0,5117.0,5301.0,5451.0,5976.0,6215.0,6555.0,6889.0,7309.0,7603.0,7962.0,8421.0,8752.0,8921.0,9090.0,9240.0,9504.0,9657.0,9907.0,10061.0,10402.0,10754.0,11113.0,11360.0,11744.0,12045.0,12342.0,12496.0,12655.0,13012.0,13168.0,13506.0,13660.0,13812.0,14060.0,14306.0,14566.0,14812.0,14964.0,15216.0,15391.0,15644.0,15797.0,15949.0,16101.0,16253.0,16405.0,16589.0,16835.0,17131.0,17288.0,17655.0,17999.0,18386.0
Episode reward,0.0,85.32100205440594,90.93651874340361,90.63865431307973,82.73503967479384,76.98471822925276,89.92472139209593,85.22898876701862,83.35870162768632,85.26504300201256,84.99409162205578,83.34201505192924,84.0687168545448,92.23696200745594,79.61560158128964,52.15764995367246,84.67189491019927,90.31223933294534,87.06628804246883,90.60425806405837,81.435589141059,85.56675976510184,78.99781225358893,79.2215961130184,66.88445233536223,84.10447033561907,78.12070545237178,71.25914345794865,80.81555106396671,91.71702630447554,91.73081101196058,91.1511906393249,83.8720654160156,90.8936457334147,85.09430061397474,90.78901601827826,79.59327595814739,78.45381907720949,77.6259371406785,85.50184264210235,74.97453946786194,88.6999920832677,87.24557567059112,90.808480794406,90.23123770956977,77.79795481725557,90.5652016436913,79.66006389443666,90.80270036318983,91.02421342187205,85.22019596045295,85.48950702935338,84.08425564384707,85.62713352169348,91.01875356039537,84.9443692955147,88.53213019377756,84.84294800377566,90.83413838296528,90.96559413943798,90.97541033453336,90.98897334369352,90.95470382544109,87.62164683079045,85.62715524269667,80.07314789154461,90.46014542662222,76.69208799657414,79.3192337990059,74.45951686757796
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,10.707782745361328,18.869216442108154,29.93196678161621,44.2315411567688,72.34229278564453,83.36902570724487,93.96369695663452,105.22122478485107,116.00002026557922,126.92907667160034,139.0934591293335,157.2775321006775,165.71662878990173,182.1398537158966,210.1840898990631,228.11742734909058,236.17458653450012,245.6204559803009,253.37758922576904,278.6008098125458,290.58147859573364,307.1199414730072,323.4322645664215,343.58212089538574,358.208904504776,375.6770966053009,397.7829728126526,414.03989577293396,422.79510474205017,431.6827142238617,439.597674369812,452.83412504196167,460.906441450119,473.4973385334015,481.59606766700745,498.31722593307495,515.5481858253479,533.0922739505768,545.4622578620911,564.0574288368225,578.9142439365387,593.6831996440887,601.6864302158356,610.0183763504028,627.5233080387115,635.7732558250427,652.3993923664093,660.433260679245,668.2784702777863,680.7035374641418,693.1602039337158,706.1179666519165,718.5533685684204,726.5925378799438,739.1889243125916,748.2752485275269,760.9494137763977,769.0212414264679,776.9143190383911,784.8370833396912,792.831182718277,800.812822341919,810.3861622810364,822.7390666007996,837.2984566688538,845.5678818225861,863.5588109493256,880.498425245285,899.2846357822418
total minutes,0.0,0.17846304575602215,0.31448694070180255,0.49886611302693684,0.7371923526128134,1.2057048797607421,1.3894837617874145,1.5660616159439087,1.753687079747518,1.9333336710929871,2.115484611193339,2.318224318822225,2.6212922016779583,2.7619438131650287,3.035664228598277,3.503068164984385,3.801957122484843,3.9362431089083354,4.093674266338349,4.222959820429484,4.643346830209096,4.843024643262227,5.118665691216787,5.390537742773692,5.726368681589762,5.970148408412934,6.261284943421682,6.62971621354421,6.900664929548899,7.04658507903417,7.1947119037310285,7.326627906163534,7.547235417366028,7.68177402416865,7.891622308890025,8.026601127783458,8.305287098884582,8.592469763755798,8.884871232509614,9.091037631034851,9.400957147280375,9.648570732275646,9.894719994068145,10.028107170263926,10.16697293917338,10.458721800645192,10.59622093041738,10.873323206106821,11.00722101132075,11.13797450462977,11.345058957735697,11.55267006556193,11.768632777531941,11.97588947614034,12.109875631332397,12.319815405209859,12.471254142125447,12.682490229606628,12.817020690441131,12.948571983973185,13.08061805566152,13.213853045304615,13.346880372365316,13.506436038017274,13.712317776679992,13.954974277814229,14.092798030376434,14.392646849155426,14.674973754088084,14.988077263037363
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,255.0,173.0,246.0,322.0,657.0,243.0,234.0,248.0,238.0,239.0,264.0,371.0,159.0,337.0,590.0,371.0,152.0,183.0,149.0,524.0,238.0,339.0,333.0,419.0,293.0,358.0,458.0,330.0,168.0,168.0,149.0,263.0,152.0,249.0,153.0,340.0,351.0,358.0,246.0,383.0,300.0,296.0,153.0,158.0,356.0,155.0,337.0,153.0,151.0,247.0,245.0,259.0,245.0,151.0,251.0,174.0,252.0,152.0,151.0,151.0,151.0,151.0,183.0,245.0,295.0,156.0,366.0,343.0,386.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
