,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Accumulated time steps,0.0,438.0,1060.0,1395.0,1883.0,2491.0,2903.0,3282.0,3620.0,3871.0,4516.0,4941.0,5219.0,5791.0,5953.0,6367.0,6624.0,6865.0,7206.0,7454.0,7878.0,8219.0,8464.0,8796.0,9070.0,9229.0,9557.0,9729.0,9970.0,10136.0,10517.0,10932.0,11296.0,11446.0,11703.0,11852.0,12191.0,12437.0,12720.0,12874.0,13120.0,13275.0,13603.0,13844.0,14276.0,14613.0,14853.0,15017.0,15351.0,15507.0,15747.0,16049.0,16464.0,16704.0,16945.0
Episode reward,0.0,87.10343839662944,54.43177055803922,79.99156428992364,83.03872903191696,54.40245469835175,69.36123394324423,84.74916038754594,74.5990059769294,88.05063811215115,70.91468673752365,70.03734069358626,85.24115645477197,77.85962683892079,88.42934331130293,72.90446189579475,83.69040844444478,84.86588467761646,78.48835846080544,84.60096326131826,73.00938780938861,77.0177273324427,84.87368109791842,79.31647765369254,86.74145784664579,89.24447596449316,78.99008848288567,91.8362959233168,85.1491773632473,91.44058977024633,75.61219988013386,74.24555271673873,77.24154731136906,90.61925498544704,84.35484513438571,90.76217630227667,79.48091766308826,85.28937493119336,81.90386454143453,90.09379017348598,85.29678116255195,89.97376105622854,79.77435464226764,85.60647892900818,73.46701359809356,79.64625874755271,85.25990193967439,88.99756847744705,79.8531385789126,89.86959169722076,85.66279672179813,80.05961984698655,74.5547438357772,85.56005318436713,85.11135366762207
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,20.123603582382202,49.775803089141846,66.2266902923584,89.77297306060791,118.54600954055786,138.5973904132843,156.96035599708557,173.3051302433014,185.83265829086304,216.7310597896576,237.4204740524292,251.2955150604248,278.4598653316498,286.9907739162445,306.9230217933655,319.6243050098419,331.7314682006836,348.2351815700531,360.5177092552185,381.1945712566376,397.77616024017334,410.1292448043823,426.49777722358704,440.085294008255,448.4508309364319,464.66003584861755,473.7200918197632,485.7402226924896,494.3566915988922,512.7654013633728,532.7663118839264,550.4718577861786,558.3974137306213,571.2270503044128,579.0599277019501,595.6078786849976,607.8664953708649,621.9586369991302,630.106329202652,642.3689801692963,650.4865958690643,666.5280692577362,678.6988003253937,699.6126837730408,716.2556867599487,728.3562667369843,736.8628952503204,753.2099027633667,761.2458815574646,773.2449767589569,788.2861864566803,808.3519265651703,820.3961584568024,832.5580456256866
total minutes,0.0,0.3353933930397034,0.8295967181523641,1.1037781715393067,1.4962162176767986,1.9757668256759644,2.3099565068880716,2.6160059332847596,2.8884188373883566,3.097210971514384,3.6121843298276266,3.95700790087382,4.188258584340414,4.640997755527496,4.783179565270742,5.1153836965560915,5.327071750164032,5.528857803344726,5.803919692834218,6.008628487586975,6.353242854277293,6.629602670669556,6.835487413406372,7.108296287059784,7.334754900137583,7.474180515607198,7.744333930810293,7.89533486366272,8.09567037820816,8.23927819331487,8.54609002272288,8.879438531398772,9.174530963102976,9.306623562177021,9.52045083840688,9.650998795032502,9.926797978083293,10.131108256181081,10.365977283318838,10.501772153377534,10.706149669488271,10.841443264484406,11.108801154295604,11.311646672089894,11.660211396217345,11.937594779332478,12.13927111228307,12.281048254172008,12.553498379389445,12.687431359291077,12.887416279315948,13.138103107611338,13.472532109419506,13.673269307613372,13.875967427094777
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,436.0,621.0,334.0,487.0,607.0,411.0,378.0,337.0,250.0,644.0,424.0,277.0,571.0,161.0,413.0,256.0,240.0,340.0,247.0,423.0,340.0,244.0,331.0,273.0,158.0,327.0,171.0,240.0,165.0,380.0,414.0,363.0,149.0,256.0,148.0,338.0,245.0,282.0,153.0,245.0,154.0,327.0,240.0,431.0,336.0,239.0,163.0,333.0,155.0,239.0,301.0,414.0,239.0,240.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
