,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
Accumulated time steps,0.0,1000.0,1755.0,2295.0,2557.0,2903.0,3070.0,3322.0,3471.0,3731.0,3968.0,4116.0,4359.0,4512.0,4664.0,4815.0,5059.0,5213.0,5370.0,5524.0,5679.0,5840.0,6201.0,6358.0,6623.0,6910.0,7075.0,7415.0,7685.0,8018.0,8264.0,8600.0,8850.0,9002.0,9155.0,9488.0,9884.0,10151.0,10393.0,10648.0,10812.0,11072.0,11335.0,11495.0,11661.0,12114.0,12446.0,12872.0,13112.0,13442.0,13703.0,13967.0,14229.0,14489.0,14655.0,15013.0,15202.0,15380.0,15642.0,15809.0,16167.0,16527.0,16919.0,17287.0,17645.0,18025.0
Episode reward,0.0,-92.0684532968152,54.874586749438514,65.47966694443777,88.96695362903847,81.60936494297894,88.71100271440892,84.9089727509874,90.96649169540068,87.64204915572978,86.18273913525472,91.32399103546292,86.05026126730445,91.1438673668053,91.28028180062131,91.49142688552858,87.67935491902094,91.72916148627203,91.64597288108176,91.6213918013298,91.64292319834146,91.37742804262187,80.6761277948677,91.4549476587797,85.04652463772798,82.55604579420928,91.07909110102042,77.69266454424871,84.26443845829914,78.84001757840682,83.83244826399059,78.6609397583938,83.33116096310914,90.1447899075846,90.02499364802276,78.82751643944272,73.7490122743273,83.17365476533774,84.94133260888448,84.31663437952258,91.69270655940534,88.0128144082816,88.17677814626866,91.36299328785731,91.6084742963458,72.73276998991862,80.89439443882897,74.26316163388567,86.22808706062523,80.67059898996123,89.16591164952253,87.89996831068655,88.28231229746692,89.0735968561878,91.98231698585822,86.06188937347787,90.0383307259458,91.05004735141841,89.1776433191604,91.92966299325144,85.94342224224293,86.03384636401746,83.39945497499974,83.73016827201525,85.99832340052257,84.53225420448227
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,46.16781663894653,82.0871479511261,107.80381679534912,120.8917510509491,137.73806238174438,146.35173416137695,158.54642367362976,166.39080381393433,179.37574887275696,191.16721177101135,198.80176162719727,210.91418886184692,218.91890382766724,226.81489634513855,234.56907629966736,246.83048677444458,254.9966859817505,263.274484872818,270.85670709609985,278.6985824108124,286.98573994636536,304.6307125091553,312.8472843170166,325.9503667354584,340.22220516204834,348.73331451416016,365.39535117149353,378.87738943099976,395.21957206726074,407.3497459888458,423.6525151729584,436.2969374656677,444.14053773880005,452.0722064971924,468.22922229766846,487.49965929985046,500.77789759635925,512.9025518894196,525.5384876728058,534.0760209560394,547.0682196617126,560.0547816753387,568.4545950889587,577.0307607650757,598.9126415252686,615.2069876194,635.73548579216,647.8024771213531,663.9854531288147,676.9222369194031,690.0792844295502,703.2007472515106,716.2295160293579,724.9384667873383,742.5660030841827,752.2472383975983,761.4922728538513,774.5965573787689,783.2796466350555,800.686573266983,818.2212781906128,837.3759388923645,855.3332171440125,872.7994182109833,890.2071928977966
total minutes,0.0,0.7694636106491088,1.3681191325187683,1.7967302799224854,2.014862517515818,2.295634373029073,2.4391955693562823,2.642440394560496,2.773180063565572,2.9895958145459494,3.1861201961835226,3.313362693786621,3.515236481030782,3.648648397127787,3.7802482724189757,3.909484604994456,4.113841446240743,4.249944766362508,4.3879080812136335,4.5142784516016645,4.64497637351354,4.783095665772756,5.077178541819254,5.21412140528361,5.43250611225764,5.670370086034139,5.812221908569336,6.089922519524892,6.31462315718333,6.5869928677876795,6.78916243314743,7.0608752528826395,7.271615624427795,7.402342295646667,7.534536774953207,7.803820371627808,8.124994321664174,8.346298293272655,8.54837586482366,8.758974794546763,8.90126701593399,9.117803661028544,9.334246361255646,9.474243251482646,9.617179346084594,9.981877358754476,10.253449793656667,10.595591429869334,10.796707952022553,11.066424218813578,11.282037281990052,11.50132140715917,11.720012454191844,11.9371586004893,12.082307779788971,12.376100051403046,12.537453973293305,12.691537880897522,12.909942622979482,13.054660777250925,13.344776221116383,13.63702130317688,13.956265648206076,14.255553619066875,14.546656970183054,14.83678654829661
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,754.0,539.0,261.0,345.0,166.0,251.0,148.0,259.0,236.0,147.0,242.0,152.0,151.0,150.0,243.0,153.0,156.0,153.0,154.0,160.0,360.0,156.0,264.0,286.0,164.0,339.0,269.0,332.0,245.0,335.0,249.0,151.0,152.0,332.0,395.0,266.0,241.0,254.0,163.0,259.0,262.0,159.0,165.0,452.0,331.0,425.0,239.0,329.0,260.0,263.0,261.0,259.0,165.0,357.0,188.0,177.0,261.0,166.0,357.0,359.0,391.0,367.0,357.0,379.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
