,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
Accumulated time steps,0.0,1000.0,1999.0,2494.0,2733.0,3061.0,3715.0,4305.0,4707.0,4951.0,5373.0,5696.0,6158.0,6401.0,6647.0,7010.0,7296.0,7460.0,7712.0,7885.0,8227.0,8475.0,8723.0,9023.0,9180.0,9602.0,9856.0,10208.0,10468.0,10813.0,11066.0,11321.0,11575.0,11737.0,11893.0,12049.0,12207.0,12489.0,12864.0,13119.0,13369.0,13624.0,13895.0,14167.0,14522.0,14681.0,14925.0,15261.0,15507.0,15785.0,16373.0,16618.0,17042.0,17546.0,18050.0,18216.0,18548.0,18983.0
Episode reward,0.0,-75.42640273754054,-84.01280258696126,74.04178178549327,86.49018055309153,76.28444560677426,54.8389334641587,60.994393219108304,75.20536209565182,85.7820838184347,77.10522476786029,89.82258823173954,81.01200204144544,84.61987988568626,84.95374364251633,77.47958992983222,81.71625084508352,89.85620127549313,85.09846959055899,88.90328962264238,79.72656530757195,85.71637426214681,85.69815369500203,83.98395389235941,90.68709199446674,81.82128520512109,84.86290469901047,78.74222597704127,84.13747560387705,79.49106188772119,85.09774882052868,84.73936224611901,84.98123977994484,90.12940330971875,90.7528839946759,90.75335603986792,90.56942465215054,81.69965650293786,76.17793587897087,84.74073365914506,85.42058867242494,84.87172845122555,82.95743055493355,82.9838434923297,78.04171536872178,90.459582134939,81.45576328979125,73.8364156667227,81.6141360591232,77.55823718919282,53.889659437752684,81.69483469242923,66.6887191785026,60.94021292996063,60.602608697525916,86.73266162664376,74.50188095958117,65.43809473620044
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,40.586238384246826,81.94796991348267,103.87972450256348,115.02600812911987,129.79806327819824,157.19824171066284,3205.6484999656677,3223.6253321170807,3234.6508185863495,3253.0773651599884,3268.281824350357,3289.3061950206757,3300.5851707458496,3311.964094400406,3328.118063211441,3340.7113258838654,3348.583657979965,3360.4488899707794,3369.545014858246,3385.9747076034546,3398.1567413806915,3410.234794855118,3424.246644258499,3432.010505437851,3451.097823381424,3463.5499317646027,3480.2644441127777,3492.5135493278503,3508.9465148448944,3520.6296730041504,3533.2482986450195,3545.049316883087,3552.87721824646,3560.5027611255646,3568.381973028183,3576.321969985962,3589.3940086364746,3606.262284517288,3618.2396943569183,3630.0142860412598,3641.7557604312897,3654.348478794098,3667.0255150794983,3683.0277268886566,3690.8400316238403,3702.1664321422577,3717.2869284152985,3728.64221739769,3741.507133245468,3767.9367265701294,3779.608120918274,3799.4669432640076,3823.0236756801605,3846.073114156723,3854.7245559692383,3869.816493034363,3888.280941963196
total minutes,0.0,0.6764373064041138,1.3657994985580444,1.7313287417093912,1.9171001354853312,2.1633010546366376,2.619970695177714,53.427474999427794,53.72708886861801,53.91084697643916,54.21795608599981,54.47136373917262,54.82176991701126,55.00975284576416,55.1994015733401,55.46863438685735,55.67852209806442,55.80972763299942,56.00748149951299,56.159083580970766,56.43291179339091,56.635945689678195,56.83724658091863,57.070777404308316,57.20017509063085,57.51829705635706,57.72583219607671,58.004407401879625,58.20855915546417,58.482441914081576,58.67716121673584,58.88747164408366,59.08415528138479,59.21462030410767,59.341712685426074,59.47303288380305,59.605366166432695,59.82323347727458,60.10437140862147,60.30399490594864,60.50023810068766,60.695929340521495,60.90580797990163,61.11709191799164,61.38379544814428,61.514000527064006,61.70277386903763,61.95478214025498,62.14403695662816,62.358452220757805,62.79894544283549,62.99346868197123,63.32444905440013,63.717061261336006,64.10121856927871,64.24540926615397,64.49694155057271,64.80468236605326
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,494.0,238.0,327.0,653.0,589.0,401.0,243.0,421.0,322.0,461.0,242.0,245.0,362.0,285.0,163.0,251.0,172.0,341.0,247.0,247.0,299.0,156.0,421.0,253.0,351.0,259.0,344.0,252.0,254.0,253.0,161.0,155.0,155.0,157.0,281.0,374.0,254.0,249.0,254.0,270.0,271.0,354.0,158.0,243.0,335.0,245.0,277.0,587.0,244.0,423.0,503.0,503.0,165.0,331.0,434.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
