,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
Accumulated time steps,0.0,1000.0,1541.0,2232.0,2754.0,3271.0,3953.0,4952.0,5289.0,5882.0,6227.0,6498.0,6742.0,6994.0,7238.0,7507.0,7751.0,7903.0,8376.0,8717.0,9276.0,9436.0,9685.0,9929.0,10180.0,10511.0,10795.0,10950.0,11394.0,11601.0,11852.0,12125.0,12573.0,12812.0,13054.0,13218.0,13474.0,13743.0,14086.0,14344.0,14594.0,14958.0,15218.0,15488.0,15653.0,15936.0,16274.0,16429.0,16683.0,16837.0,17088.0,17426.0,17706.0,18115.0,18395.0,18674.0,19149.0,19399.0,19676.0
Episode reward,0.0,-47.6720829126719,61.91372276033007,64.06711744711833,88.20841435960803,61.392465958846245,78.30465062214928,-98.11492007965111,79.33935541668735,65.98636653129779,80.35310595775432,84.04754819252938,86.00075907731846,85.5386177428194,86.18252612041726,86.2898976811558,86.04892249652701,91.07933539347913,80.488239343235,81.67895634276816,68.26894625497542,90.95299069540646,87.32460430112778,87.88410083283657,87.19596811882579,77.89578415065066,82.97828583672609,91.76029385256307,77.53709666838989,86.81847036147238,87.21098613212857,85.72910213174109,77.89038104090129,85.33437033169943,85.31880944618285,91.51118596353885,88.12166773045172,85.39432652266882,79.53678936647735,88.1932116142315,85.16367048935315,83.48226564581452,88.07358818768583,85.96800661690116,91.30254780685296,84.0787072604729,79.34099170776427,90.46349141274247,83.96365181222907,90.62192980658146,84.83275844926541,79.31533688150063,84.72080172106016,77.62551450606072,84.79132750755522,85.52575022818695,68.19608730872787,84.57327388305703,81.89307342951919
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,44.1063015460968,69.51819086074829,100.63596367835999,124.71179509162903,148.09446382522583,177.90989542007446,219.9698851108551,234.91527581214905,260.67057752609253,275.87847995758057,288.0996754169464,299.15900111198425,310.605836391449,321.59721302986145,333.6633710861206,344.819495677948,351.99405884742737,372.4283208847046,387.4102973937988,411.3205442428589,418.8703844547272,430.1870787143707,441.5774621963501,453.4242091178894,468.27022790908813,481.301308631897,488.8043563365936,508.64368081092834,518.2442398071289,529.8700420856476,542.394773721695,561.9363164901733,572.7325127124786,583.9364476203918,591.8951184749603,603.6753664016724,615.9771871566772,631.4272904396057,643.1987771987915,654.7394933700562,670.9916968345642,682.8051674365997,695.0045506954193,702.7911591529846,715.4390678405762,730.3771758079529,737.8657956123352,749.5246708393097,756.8803749084473,768.4180026054382,783.4152889251709,795.8565232753754,813.6914055347443,826.4098422527313,839.1006441116333,860.0201072692871,871.4549293518066,884.0807154178619
total minutes,0.0,0.7351050257682801,1.1586365143458048,1.6772660613059998,2.078529918193817,2.468241063753764,2.9651649236679076,3.666164751847585,3.915254596869151,4.344509625434876,4.5979746659596765,4.801661256949107,4.9859833518664045,5.176763939857483,5.359953550497691,5.561056184768677,5.746991594632466,5.8665676474571224,6.2071386814117435,6.456838289896647,6.855342404047648,6.9811730742454525,7.169784645239512,7.359624369939168,7.557070151964823,7.804503798484802,8.021688477198284,8.14673927227656,8.477394680182138,8.637403996785482,8.831167368094127,9.039912895361583,9.365605274836222,9.54554187854131,9.73227412700653,9.86491864124934,10.06125610669454,10.266286452611288,10.52378817399343,10.719979619979858,10.912324889500935,11.183194947242736,11.380086123943329,11.58340917825699,11.713185985883078,11.923984464009603,12.172952930132547,12.297763260205587,12.492077847321829,12.614672915140789,12.806966710090638,13.056921482086182,13.264275387922924,13.561523425579072,13.773497370878856,13.985010735193889,14.333668454488118,14.52424882253011,14.7346785902977
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,540.0,690.0,521.0,516.0,681.0,998.0,336.0,592.0,344.0,270.0,243.0,251.0,243.0,268.0,243.0,151.0,472.0,340.0,558.0,159.0,248.0,243.0,250.0,330.0,283.0,154.0,443.0,206.0,250.0,272.0,447.0,238.0,241.0,163.0,255.0,268.0,342.0,257.0,249.0,363.0,259.0,269.0,164.0,282.0,337.0,154.0,253.0,153.0,250.0,337.0,279.0,408.0,279.0,278.0,474.0,249.0,276.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
