,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
Accumulated time steps,0.0,463.0,759.0,1088.0,1312.0,1650.0,1804.0,1959.0,2113.0,2267.0,2827.0,2985.0,3319.0,3471.0,3920.0,4225.0,4493.0,4642.0,4791.0,5051.0,5214.0,5633.0,5878.0,6326.0,6590.0,6751.0,6906.0,7332.0,7577.0,7815.0,7975.0,8305.0,8545.0,8697.0,9026.0,9264.0,9441.0,9682.0,9934.0,10197.0,10549.0,10698.0,10962.0,11279.0,11449.0,11784.0,12117.0,12267.0,12422.0,12756.0,12904.0,13053.0,13292.0,13537.0,13696.0,13846.0,14103.0,14250.0,14399.0,14656.0,14993.0,15234.0,15381.0,15621.0,15778.0,16025.0,16182.0,16330.0,16478.0,16625.0,16774.0,17014.0,17253.0,17590.0
Episode reward,0.0,80.50743807353815,92.49312981007851,89.10478201629297,91.8912754167564,84.13056167293493,91.7856282135977,92.20843653445787,92.35280290097221,92.22123791070385,76.05723236652929,91.95944839659484,79.63864600247662,90.88650795714437,92.06468875201486,89.20709410477804,89.67626089568938,92.0438728270107,90.17869062960037,86.10714862168301,91.28744614739479,73.09163863377371,80.78551890745877,71.72612543365014,88.12896371388047,91.24687169163076,90.6395103825996,76.77390104873943,86.5926558797648,87.35697500074171,92.33691874736651,82.44899145030737,87.20153326198364,91.54272932016733,82.60710734247994,87.41927132471714,92.07308413471486,86.96505034387872,85.71656606210655,84.34603324265153,79.81493208772716,91.67249241025988,88.20694130849378,87.58606708415043,92.48399057669816,81.47729198777964,81.67850924764517,91.44029615384328,90.89825562112438,81.28197683721294,91.65792854961722,91.55555032384538,87.00600725233312,86.19760700994406,90.4709660663068,91.43609871296862,84.94587092295373,91.75494434582504,91.55541359455842,85.17118782611286,81.27699291045165,86.80583791296075,91.7418466181876,86.82479920575904,90.68214342058364,85.963707816429,90.68342062316148,91.660570690795,91.66041431314041,91.75013749368539,91.55472983041156,86.81887546500514,86.97080410194584,81.27698911425745
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,20.801109552383423,35.31328320503235,51.08097839355469,62.15894961357117,78.3102536201477,86.32416892051697,94.35250115394592,102.39201998710632,110.25848484039307,136.47443103790283,144.73549246788025,160.84693026542664,168.65785193443298,189.87030625343323,204.8205292224884,218.16840410232544,225.95174860954285,233.7941586971283,246.77225184440613,255.19348096847534,275.2809419631958,287.3244287967682,308.53211402893066,321.48698139190674,329.84940481185913,338.00869703292847,358.57876658439636,370.44583010673523,382.1896159648895,390.4429700374603,406.5615348815918,418.5205352306366,426.5044689178467,442.4710512161255,454.1706340312958,464.0318298339844,476.0437822341919,488.4509644508362,501.4426939487457,518.4898209571838,526.3661143779755,539.3742921352386,554.9077320098877,563.6138558387756,579.7268681526184,595.8070080280304,603.7140665054321,611.7457461357117,627.9609048366547,635.7807929515839,643.5890836715698,655.5188167095184,667.6825733184814,675.9657955169678,683.825291633606,696.3107669353485,704.0477468967438,711.7584483623505,724.4762272834778,740.9158637523651,752.9351735115051,760.5865786075592,772.5778300762177,780.5592863559723,792.7743401527405,800.9179170131683,808.5339233875275,816.2487704753876,824.0570652484894,831.7376854419708,843.5659654140472,855.4772510528564,871.7449457645416
total minutes,0.0,0.34668515920639037,0.5885547200838724,0.8513496398925782,1.0359824935595194,1.3051708936691284,1.4387361486752828,1.5725416858990988,1.706533666451772,1.8376414140065511,2.2745738506317137,2.412258207798004,2.680782171090444,2.8109641989072163,3.164505104223887,3.4136754870414734,3.636140068372091,3.7658624768257143,3.896569311618805,4.112870864073435,4.2532246828079225,4.588015699386597,4.788740479946137,5.142201900482178,5.358116356531779,5.497490080197652,5.633478283882141,5.976312776406606,6.174097168445587,6.3698269327481585,6.5073828339576725,6.776025581359863,6.975342253843944,7.108407815297444,7.374517520268758,7.569510567188263,7.733863830566406,7.934063037236531,8.140849407513937,8.357378232479096,8.641497015953064,8.772768572966259,8.989571535587311,9.248462200164795,9.393564263979593,9.662114469210307,9.930116800467173,10.06190110842387,10.195762435595194,10.46601508061091,10.596346549193065,10.726484727859496,10.925313611825308,11.128042888641357,11.266096591949463,11.397088193893433,11.605179448922476,11.734129114945729,11.862640806039174,12.074603788057964,12.348597729206086,12.548919558525085,12.676442976792654,12.876297167936961,13.009321439266206,13.212905669212342,13.348631950219472,13.475565389792125,13.604146174589793,13.734284420808157,13.86229475736618,14.059432756900787,14.257954184214274,14.529082429409026
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,461.0,295.0,328.0,223.0,337.0,153.0,154.0,153.0,153.0,559.0,157.0,333.0,151.0,448.0,304.0,267.0,148.0,148.0,259.0,162.0,418.0,244.0,447.0,263.0,160.0,154.0,425.0,244.0,237.0,159.0,329.0,239.0,151.0,328.0,237.0,176.0,240.0,251.0,262.0,351.0,148.0,263.0,316.0,169.0,334.0,332.0,149.0,154.0,333.0,147.0,148.0,238.0,244.0,158.0,149.0,256.0,146.0,148.0,256.0,336.0,240.0,146.0,239.0,156.0,246.0,156.0,147.0,147.0,146.0,148.0,239.0,238.0,336.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
