,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Accumulated time steps,0.0,1000.0,1909.0,2908.0,3659.0,4095.0,4923.0,5164.0,5583.0,5827.0,6069.0,6237.0,6508.0,7281.0,7618.0,7959.0,8396.0,8563.0,8825.0,9416.0,9854.0,10024.0,10460.0,10615.0,10870.0,11146.0,11403.0,11663.0,12172.0,12447.0,12616.0,12778.0,12944.0,13103.0,13434.0,13783.0,14055.0,14232.0,14681.0,15050.0,15232.0,15655.0,16074.0,16321.0,16566.0,16811.0,17056.0,17649.0,18156.0,18506.0,19024.0,19284.0,19708.0,19953.0
Episode reward,0.0,-74.98584180801525,29.321184139303142,-69.84584248688549,52.830536005710265,76.94980183979379,44.79096892105858,83.71173951777294,87.79241557061894,84.03443662334864,84.46594967178159,91.30216709925463,87.05327040012696,70.54268076398537,78.69034672049749,79.45260680611932,73.07492465631351,88.93685057768079,84.19721553322839,54.74896824777562,76.31480292070708,89.85129839067675,76.33701071604509,91.58585784066415,86.4541158313337,84.14903618125751,86.74209233152622,86.43992404870563,62.658509087289744,83.99078426712384,90.58196620615675,91.18188186197297,90.86142944967426,91.27401881553672,76.65167529062157,76.06204922154451,84.94509147517908,90.1743432325776,78.72447968921276,80.97364613261051,89.69458703473937,70.49328583373682,70.31504401242665,83.27572986056789,83.2388200098517,82.82125087055222,83.33287457014933,57.55620875666036,64.03984527312025,74.2505864976369,61.80907259027687,80.9150847114993,70.44415207415335,82.7799064706866
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,45.65420699119568,88.05467820167542,134.27595233917236,169.30674719810486,190.2300591468811,228.8977828025818,240.89129948616028,260.7308523654938,272.92373728752136,284.97517490386963,293.5695354938507,306.9884715080261,343.34786224365234,359.6944844722748,376.2509114742279,397.0971510410309,405.61626529693604,418.443722486496,446.2064878940582,467.28500747680664,476.00710940361023,496.8164441585541,505.0115740299225,517.6660850048065,531.1408953666687,543.7045171260834,556.4342341423035,580.5462386608124,594.0984706878662,602.8859422206879,611.2267370223999,619.8209180831909,628.0930888652802,644.1638906002045,661.0072429180145,674.5079779624939,683.5711541175842,705.1058683395386,722.9597215652466,732.3627557754517,752.540632724762,772.5562279224396,784.7841687202454,796.9549932479858,809.0998265743256,821.2716059684753,849.1629295349121,873.1976647377014,890.0093851089478,914.7723345756531,927.7136242389679,947.8216750621796,960.0360276699066
total minutes,0.0,0.7609034498532613,1.4675779700279237,2.237932538986206,2.821779119968414,3.1705009857813518,3.8149630467096967,4.014854991436005,4.345514206091563,4.548728954792023,4.7495862483978275,4.892825591564178,5.116474525133769,5.722464370727539,5.994908074537913,6.270848524570465,6.618285850683848,6.760271088282267,6.9740620414415995,7.436774798234304,7.788083457946778,7.933451823393503,8.280274069309234,8.416859567165375,8.627768083413441,8.852348256111146,9.06174195210139,9.273903902371725,9.675770644346873,9.901641178131104,10.048099037011465,10.187112283706664,10.330348634719849,10.46821814775467,10.736064843336742,11.016787381966909,11.241799632708231,11.392852568626404,11.751764472325643,12.04932869275411,12.20604592959086,12.542343878746033,12.87593713204066,13.079736145337423,13.282583220799763,13.484997109572094,13.68786009947459,14.152715492248536,14.553294412295024,14.833489751815796,15.246205576260884,15.461893737316132,15.797027917702993,16.00060046116511
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,908.0,998.0,750.0,435.0,827.0,240.0,418.0,243.0,241.0,167.0,270.0,772.0,336.0,340.0,436.0,166.0,261.0,590.0,437.0,169.0,435.0,154.0,254.0,275.0,256.0,259.0,508.0,274.0,168.0,161.0,165.0,158.0,330.0,348.0,271.0,176.0,448.0,368.0,181.0,422.0,418.0,246.0,244.0,244.0,244.0,592.0,506.0,349.0,517.0,259.0,423.0,244.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
